actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-13T00:43:50.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-13T00:43:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-13T00:43:53.9Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,0,0,2024-12-13T00:43:53Z,40000,False,,,0,,Jump Ball B. Adebayo vs. B. Fernando: Tip to D. Robinson,"[1629130, 1628389, 1628981]",1610612748.0,MIA,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Adebayo,1628389.0,Fernando,1628981.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-12-13T00:44:11.1Z,1,REGULAR,3pt,Jump Shot,[],1629312,94.56307490144546,3.431372549019608,1610612748,3,0,2024-12-13T00:44:16Z,70000,False,-233.0,-1.0,1,right,H. Highsmith 3PT  (3 PTS) (D. Robinson 1 AST),"[1629312, 1629130]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,23.28,Made,3.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,
9,PT11M11.00S,2024-12-13T00:44:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641711,19.004599211563733,36.76470588235294,1610612761,3,2,2024-12-13T00:44:44Z,90000,False,66.0,126.0,1,left,G. Dick 14' pullup Jump Shot (2 PTS) (J. Mogbo 1 AST),"[1641711, 1642367]",1610612761.0,TOR,pullup,,,Dick,G. Dick,,,,,In The Paint (Non-RA),8-16 Center,14.24,Made,2.0,J. Mogbo,1642367.0,1.0,,,,,,,,,,,,,,
11,PT10M48.00S,2024-12-13T00:45:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629312,89.30683311432325,46.32352941176471,1610612748,3,2,2024-12-13T00:45:08Z,110000,False,-18.0,48.0,1,right,MISS H. Highsmith driving Layup - blocked,"[1629312, 1629628]",1610612748.0,MIA,driving,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,5.14,Missed,,,,,Barrett,1629628.0,,,,,,,,,,,,
12,PT10M48.00S,2024-12-13T00:45:01.6Z,1,REGULAR,block,,[],1629628,,,1610612748,3,2,2024-12-13T00:45:03Z,120000,False,,,0,,R. Barrett BLOCK (1 BLK),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2024-12-13T00:45:04.6Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,3,2,2024-12-13T00:45:08Z,130000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT10M36.00S,2024-12-13T00:45:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,6.521024967148489,50.0,1610612761,3,4,2024-12-13T00:45:19Z,140000,False,0.0,9.0,1,left,B. Fernando cutting finger roll Layup (2 PTS) (R. Barrett 1 AST),"[1628981, 1629628]",1610612761.0,TOR,cutting finger roll,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
16,PT10M22.00S,2024-12-13T00:45:27.3Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,3,4,2024-12-13T00:45:32Z,160000,False,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1628981]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Fernando,1628981.0,,,,,
17,PT10M22.00S,2024-12-13T00:45:27.3Z,1,REGULAR,steal,,[],1628981,,,1610612761,3,4,2024-12-13T00:45:29Z,170000,False,,,0,,B. Fernando STEAL (1 STL),[1628981],1610612761.0,TOR,,,,Fernando,B. Fernando,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
