actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-28T23:42:29.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-28T23:42:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-28T23:42:32.4Z,1,REGULAR,jumpball,recovered,[],1631107,,,1610612748,0,0,2024-10-28T23:42:32Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Duren: Tip to N. Jović,"[1631107, 1628389, 1631105]",1610612748.0,MIA,startperiod,N. Jović,1631107.0,Jović,N. Jović,Adebayo,1628389.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-10-28T23:43:09.6Z,1,REGULAR,2pt,Jump Shot,[],202710,16.68856767411301,31.487438725490197,1610612748,0,0,2024-10-28T23:43:21Z,80000,False,93.0,104.0,1,left,MISS J. Butler 13' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,13.95,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-10-28T23:43:13.6Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2024-10-28T23:43:21Z,90000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M24.00S,2024-10-28T23:43:25.2Z,1,REGULAR,2pt,Jump Shot,[],203501,91.14651773981603,66.17647058823529,1610612765,0,0,2024-10-28T23:43:31Z,100000,False,81.0,31.0,1,right,MISS T. Hardaway Jr. 8' turnaround fadeaway bank Shot,[203501],1610612765.0,DET,turnaround fadeaway bank,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Right,8.65,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-10-28T23:43:28.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-10-28T23:43:31Z,110000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M08.00S,2024-10-28T23:43:44.3Z,1,REGULAR,3pt,Jump Shot,[],1631107,31.488173455978973,64.2156862745098,1610612748,0,0,2024-10-28T23:44:11Z,120000,False,-71.0,243.0,1,left,MISS N. Jović 25' 3PT,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Center,25.37,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2024-10-28T23:43:46.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,0,0,2024-10-28T23:44:11Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2024-10-28T23:44:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,91.40932982917214,43.38235294117647,1610612765,0,2,2024-10-28T23:44:28Z,150000,False,-33.0,28.0,1,right,T. Harris driving Layup (2 PTS),[202699],1610612765.0,DET,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,4.35,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M49.00S,2024-10-28T23:44:15.9Z,1,REGULAR,foul,personal,['1freethrow'],1631107,,,1610612765,0,2,2024-10-28T23:45:07Z,160000,False,,,0,,N. Jović shooting personal FOUL (1 PF) (Harris 1 FT),"[1631107, 202699]",1610612748.0,MIA,shooting,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,,,,,,,,204058.0,1.0,0.0,Harris,202699.0,,,,,,,,
18,PT10M49.00S,2024-10-28T23:44:38.9Z,1,REGULAR,freethrow,1 of 1,[],202699,,,1610612765,0,3,2024-10-28T23:44:38Z,180000,False,,,0,,T. Harris Free Throw 1 of 1 (3 PTS),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
19,PT10M36.00S,2024-10-28T23:44:52.3Z,1,REGULAR,3pt,Jump Shot,[],1631107,9.806176084099869,3.6764705882352944,1610612748,3,3,2024-10-28T23:44:57Z,190000,False,232.0,40.0,1,left,N. Jović 3PT  (3 PTS) (J. Butler 1 AST),"[1631107, 202710]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,Right Corner 3,24+ Right,23.5,Made,,,,,3.0,,,,,,J. Butler,202710.0,1.0,,,,,
