actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-27T00:35:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-27T00:35:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-27T00:35:54.9Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2024-11-27T00:35:55Z,40000,False,,,0,,Jump Ball B. Adebayo vs. B. Lopez: Tip to T. Herro,"[1629639, 1628389, 201572]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-11-27T00:36:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.1268068331143235,61.274509803921575,1610612748,0,0,2024-11-27T00:37:30Z,70000,False,-56.0,5.0,1,left,MISS T. Herro driving Layup - blocked,"[1629639, 201572]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,5.66,Missed,Lopez,201572.0,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-11-27T00:36:06.6Z,1,REGULAR,block,,[],201572,,,1610612748,0,0,2024-11-27T00:36:08Z,80000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2024-11-27T00:36:08.6Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2024-11-27T00:36:48Z,90000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M35.00S,2024-11-27T00:36:28.6Z,1,REGULAR,3pt,Jump Shot,[],203081,73.40670170827858,82.35294117647058,1610612749,0,3,2024-11-27T00:36:36Z,110000,False,162.0,197.0,1,right,D. Lillard 25' 3PT  (3 PTS) (A. Green 1 AST),"[203081, 1631260]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.53,Made,,,,,,,3.0,A. Green,1631260.0,1.0,,,,,,,,
13,PT11M16.00S,2024-11-27T00:36:47.6Z,1,REGULAR,3pt,Jump Shot,[],1629639,6.389618922470433,96.56862745098039,1610612748,3,3,2024-11-27T00:37:52Z,130000,False,-233.0,8.0,1,left,T. Herro 3PT step back (3 PTS) (J. Butler 1 AST),"[1629639, 202710]",1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,23.29,Made,,,,,,,3.0,J. Butler,202710.0,1.0,,,,,,,,
15,PT10M46.00S,2024-11-27T00:37:17.3Z,1,REGULAR,3pt,Jump Shot,[],1631260,62.89421813403416,61.029411764705884,1610612749,3,3,2024-11-27T00:37:23Z,150000,False,55.0,296.0,1,right,MISS A. Green 30' step back 3PT,[1631260],1610612749.0,MIL,step back,,,Green,A. Green,,,,,Above the Break 3,24+ Center,30.14,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2024-11-27T00:37:18.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,3,3,2024-11-27T00:38:14Z,160000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M25.00S,2024-11-27T00:37:38.2Z,1,REGULAR,3pt,Jump Shot,[],1628389,24.26084099868594,14.215686274509803,1610612748,3,3,2024-11-27T00:37:45Z,170000,False,179.0,176.0,1,left,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,25.07,Missed,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2024-11-27T00:37:39.2Z,1,REGULAR,rebound,defensive,[],1641748,,,1610612749,3,3,2024-11-27T00:38:37Z,180000,False,,,0,,A. Jackson Jr. REBOUND (Off:0 Def:1),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M16.00S,2024-11-27T00:37:46.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1641748,91.67214191852825,50.0,1610612749,3,5,2024-11-27T00:38:47Z,190000,False,0.0,26.0,1,right,A. Jackson Jr. running DUNK (2 PTS) (D. Lillard 1 AST),"[1641748, 203081]",1610612749.0,MIL,running,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.58,Made,,,,,,,2.0,D. Lillard,203081.0,1.0,,,,,,,,
21,PT10M03.00S,2024-11-27T00:38:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,4.944152431011826,96.07843137254902,1610612748,3,5,2024-11-27T00:39:10Z,210000,False,-230.0,-6.0,1,left,MISS D. Robinson 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2024-11-27T00:38:06.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,3,5,2024-11-27T00:39:10Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Left Corner 3,24+ Left,,,,,21.0,,,,,,,,,,,,,,,
24,PT09M53.00S,2024-11-27T00:38:25.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628389,6.652431011826544,53.18627450980392,1610612748,5,5,2024-11-27T00:38:36Z,240000,False,-16.0,10.0,1,left,B. Adebayo DUNK (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,2.0,T. Herro,1629639.0,1.0,,,,,,,,
26,PT09M29.00S,2024-11-27T00:38:50.0Z,1,REGULAR,3pt,Jump Shot,[],203081,68.54467805519053,27.205882352941174,1610612749,5,8,2024-11-27T00:38:54Z,260000,False,-114.0,243.0,1,right,D. Lillard 26' 3PT  (6 PTS) (B. Lopez 1 AST),"[203081, 201572]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.86,Made,,,,,,,6.0,B. Lopez,201572.0,1.0,,,,,,,,
28,PT09M27.00S,2024-11-27T00:38:55.6Z,1,REGULAR,turnover,bad pass,[],1629130,,,1610612748,5,8,2024-11-27T00:40:32Z,280000,False,,,0,,D. Robinson bad pass TURNOVER (1 TO),"[1629130, 1641748]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Jackson Jr.,1641748.0,,,,,
29,PT09M27.00S,2024-11-27T00:38:55.6Z,1,REGULAR,steal,,[],1641748,,,1610612749,5,8,2024-11-27T00:38:57Z,290000,False,,,0,,A. Jackson Jr. STEAL (1 STL),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
30,PT09M13.00S,2024-11-27T00:39:05.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,76.42904073587385,86.76470588235294,1610612749,5,11,2024-11-27T00:39:10Z,300000,False,184.0,169.0,1,right,T. Prince 24' 3PT  (3 PTS) (D. Lillard 2 AST),"[1627752, 203081]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,24.98,Made,,,,,,,3.0,D. Lillard,203081.0,2.0,,,,,,,,
32,PT09M01.00S,2024-11-27T00:39:19.5Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,5,11,2024-11-27T00:39:31Z,320000,False,,,0,,B. Adebayo offensive FOUL (1 PF),"[1628389, 1627752]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Prince,1627752.0
34,PT09M01.00S,2024-11-27T00:39:19.5Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,5,11,2024-11-27T00:39:19Z,340000,False,,,0,,B. Adebayo offensive foul TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,,,1626301.0,,,,
35,PT08M49.00S,2024-11-27T00:39:45.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,67.23061760840999,27.941176470588236,1610612749,5,14,2024-11-27T00:39:50Z,350000,False,-110.0,256.0,1,right,D. Lillard 27' 3PT pullup (9 PTS),[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,27.83,Made,,,,,,,9.0,,,,,,,,,,,
