actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-08T23:12:27.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-08T23:12:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-08T23:12:28.3Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-12-08T23:12:28Z,40000,False,,,0,,Jump Ball J. Allen vs. B. Adebayo: Tip to D. Garland,"[1629636, 1628386, 1628389]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-12-08T23:12:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,7.440867279894875,41.911764705882355,1610612739,0,0,2024-12-08T23:12:49Z,70000,False,40.0,17.0,1,left,MISS D. Mitchell driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,4.4,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-12-08T23:12:45.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-12-08T23:12:45Z,80000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-12-08T23:13:01.9Z,1,REGULAR,foul,personal,[],1629731,,,1610612748,0,0,2024-12-08T23:13:15Z,90000,False,,,0,,D. Wade personal FOUL (1 PF),"[1629731, 1628389]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,8-16 Right,,,,,,,1151.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
11,PT11M11.00S,2024-12-08T23:13:28.4Z,1,REGULAR,3pt,Jump Shot,[],1629639,67.36202365308804,66.42156862745098,1610612748,0,0,2024-12-08T23:13:56Z,110000,False,82.0,254.0,1,right,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,26.72,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2024-12-08T23:13:33.4Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2024-12-08T23:13:34Z,120000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M56.00S,2024-12-08T23:13:44.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,11.383048620236531,48.03921568627451,1610612739,0,0,2024-12-08T23:13:50Z,130000,False,10.0,55.0,1,left,MISS D. Garland driving floating Shot,[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,5.54,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2024-12-08T23:13:46.4Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,0,2024-12-08T23:13:46Z,140000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M30.00S,2024-12-08T23:14:08.4Z,1,REGULAR,3pt,Jump Shot,[],202710,70.64717477003943,22.794117647058822,1610612748,0,0,2024-12-08T23:14:14Z,150000,False,-136.0,223.0,1,right,MISS J. Butler 26' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,,
