actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-28T23:10:02.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-28T23:10:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-28T23:10:05.7Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-03-28T23:10:05Z,40000,,,0,,Jump Ball E. Mobley vs. M. Bamba: Tip to L. Markkanen,"[1628374, 1630596, 1628964]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Mobley,1630596.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-28T23:10:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,11.645860709592641,49.01960784313725,1610612739,0,0,2022-03-28T23:10:26Z,70000,5.0,57.0,1,left,MISS C. LeVert driving floating Shot,[1627747],1610612739.0,CLE,driving floating,,,LeVert,C. LeVert,,,,,5.72,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-28T23:10:24.4Z,1,REGULAR,rebound,offensive,[],1627747,,,1610612739,0,0,2022-03-28T23:10:26Z,80000,,,0,,C. LeVert REBOUND (Off:1 Def:0),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-03-28T23:10:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627747,5.590000152587891,50.0,1610612739,0,0,2022-03-28T23:10:25Z,90000,0.0,0.0,1,left,MISS C. LeVert tip Layup,[1627747],1610612739.0,CLE,tip,,,LeVert,C. LeVert,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2022-03-28T23:10:26.2Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,0,2022-03-28T23:10:26Z,100000,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2022-03-28T23:10:28.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,25.443495400788436,83.08823529411765,1610612739,0,0,2022-03-28T23:10:32Z,110000,-165.0,187.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2022-03-28T23:10:31.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2022-03-28T23:10:32Z,120000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-03-28T23:10:49.9Z,1,REGULAR,2pt,Jump Shot,[],1628976,71.56701708278581,52.94117647058824,1610612753,0,0,2022-03-28T23:10:54Z,130000,15.0,215.0,1,right,MISS W. Carter Jr. 21' pullup Shot,[1628976],1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,21.53,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-03-28T23:10:52.9Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,0,0,2022-03-28T23:10:54Z,140000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
