actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-07T00:45:48.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-07T00:45:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-07T00:45:50.8Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-03-07T00:45:50Z,40000,,,0,,Jump Ball J. Allen vs. S. Barnes: Tip to D. Garland,"[1629636, 1628386, 1630567]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-07T00:46:00.3Z,1,REGULAR,turnover,bad pass,[],1630171,,,1610612739,0,0,2022-03-07T00:46:11Z,70000,,,0,,I. Okoro bad pass TURNOVER (1 TO),"[1630171, 1629018]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-03-07T00:46:00.3Z,1,REGULAR,steal,,[],1629018,,,1610612761,0,0,2022-03-07T00:46:02Z,80000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-03-07T00:46:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629018,5.601182654402102,50.49019607843137,1610612761,0,0,2022-03-07T00:46:19Z,90000,-2.0,0.0,1,left,MISS G. Trent Jr. running Layup,[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,,,,0.25,Missed,,,,,,,,,,,,,,,,
10,PT11M41.00S,2022-03-07T00:46:05.5Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,0,0,2022-03-07T00:47:10Z,100000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M41.00S,2022-03-07T00:46:09.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203920,5.590000152587891,50.0,1610612761,0,0,2022-03-07T00:47:21Z,110000,0.0,0.0,1,left,MISS K. Birch tip Layup,[203920],1610612761.0,TOR,tip,,,Birch,K. Birch,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
12,PT11M40.00S,2022-03-07T00:46:10.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,0,0,2022-03-07T00:47:21Z,120000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M38.00S,2022-03-07T00:46:13.7Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,0,0,2022-03-07T00:46:40Z,130000,,,0,,D. Garland lost ball out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,lost ball,,,Garland,D. Garland,,,,,1.0,,,,,,,,,1627961.0,,,,,,,,,,,
14,PT11M20.00S,2022-03-07T00:46:40.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,24.655059132720105,58.82352941176471,1610612761,0,0,2022-03-07T00:46:47Z,140000,-44.0,179.0,1,left,MISS P. Siakam 18' step back Shot,[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,,,,18.46,Missed,,,,,,,,,,,,,,,,
