actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-11T00:11:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T00:11:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-11T00:11:42.2Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2021-11-11T00:11:42Z,40000,,,0,,Jump Ball J. Allen vs. D. Gafford: Tip to D. Garland,"[1629636, 1628386, 1629655]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-11T00:11:55.9Z,1,REGULAR,foul,personal,[],1628398,,,1610612739,0,0,2021-11-11T00:12:37Z,70000,,,0,,K. Kuzma loose ball personal FOUL (1 PF),"[1628398, 1628386]",1610612764.0,WAS,loose ball,,,Kuzma,K. Kuzma,,,,,1627961.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-11-11T00:12:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,95.3515111695138,50.245098039215684,1610612739,2,0,2021-11-11T00:12:29Z,90000,1.0,-9.0,1,right,I. Okoro driving Layup (2 PTS) (D. Wade 1 AST),"[1630171, 1629731]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,,,0.89,Made,2.0,D. Wade,1629731.0,1.0,,,,,,,,,,
11,PT11M07.00S,2021-11-11T00:12:49.8Z,1,REGULAR,2pt,Jump Shot,[],1628398,15.719448094612352,73.2843137254902,1610612764,2,2,2021-11-11T00:12:55Z,110000,-116.0,95.0,1,left,K. Kuzma 15' turnaround fadeaway Jump Shot (2 PTS),[1628398],1610612764.0,WAS,turnaround fadeaway,,,Kuzma,K. Kuzma,,,,,,,,,,15.04,Made,2.0,,,,,,,,,,,,,
12,PT10M51.00S,2021-11-11T00:13:05.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,91.14651773981603,35.53921568627451,1610612739,2,2,2021-11-11T00:13:10Z,120000,-72.0,31.0,1,right,MISS J. Allen 7' turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,,,,,,7.85,Missed,,,,,,,,,,,,,,
13,PT10M48.00S,2021-11-11T00:13:08.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,2,2,2021-11-11T00:13:10Z,130000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M39.00S,2021-11-11T00:13:22.0Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612764,2,2,2021-11-11T00:13:38Z,140000,,,0,,E. Mobley shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[1630596, 203484]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,1627961.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,,,,,
16,PT10M39.00S,2021-11-11T00:13:49.4Z,1,REGULAR,freethrow,1 of 2,[],203484,,,1610612764,2,3,2021-11-11T00:13:49Z,160000,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (1 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
17,PT10M39.00S,2021-11-11T00:14:01.0Z,1,REGULAR,freethrow,2 of 2,[],203484,,,1610612764,2,4,2021-11-11T00:14:01Z,170000,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (2 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
