actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-09T00:10:08.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T00:10:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-09T00:10:10.6Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2021-12-09T00:10:10Z,40000,,,0,,Jump Ball J. Allen vs. N. Vucevic: Tip to D. Garland,"[1629636, 1628386, 202696]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-09T00:10:26.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,26.888961892247043,79.41176470588235,1610612739,0,0,2021-12-09T00:10:31Z,70000,-147.0,200.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-09T00:10:28.8Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,0,0,2021-12-09T00:10:28Z,80000,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-12-09T00:10:38.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630596,9.937582128777924,50.245098039215684,1610612739,0,0,2021-12-09T00:10:42Z,90000,-1.0,41.0,1,left,MISS E. Mobley Hook,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,4.09,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-12-09T00:10:39.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2021-12-09T00:15:55Z,100000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2021-12-09T00:10:47.4Z,1,REGULAR,foul,personal,[],1630245,,,1610612739,0,0,2021-12-09T00:15:46Z,110000,,,0,,A. Dosunmu loose ball personal FOUL (1 PF),"[1630245, 1630171]",1610612741.0,CHI,loose ball,,,Dosunmu,A. Dosunmu,,,,,,,,,,,202007.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,
13,PT11M17.00S,2021-12-09T00:11:10.4Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612739,0,0,2021-12-09T00:11:17Z,130000,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Allen 2 FT),"[202696, 1628386]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,,,,,,,2004.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,
15,PT11M17.00S,2021-12-09T00:11:31.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628386,,,1610612739,1,0,2021-12-09T00:11:56Z,150000,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
16,PT11M17.00S,2021-12-09T00:11:31.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628386,,,1610612739,1,0,2021-12-09T00:11:56Z,160000,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Missed,,,,,,,,,,,,,,,,,,,
