actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-12T01:10:24.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-12T01:10:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-12T01:10:27.8Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2021-12-12T01:10:27Z,40000,,,0,,Jump Ball A. Len vs. J. Allen: Tip to D. Fox,"[1628368, 203458, 1628386]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Len,203458.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-12T01:10:39.1Z,1,REGULAR,turnover,out-of-bounds,[],203084,,,1610612758,0,0,2021-12-12T01:10:59Z,70000,,,0,,H. Barnes bad pass out-of-bounds TURNOVER (1 TO),[203084],1610612758.0,SAC,bad pass,,,Barnes,H. Barnes,,,,,1363.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-12-12T01:10:55.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628374,81.15965834428384,43.627450980392155,1610612739,2,0,2021-12-12T01:11:01Z,80000,-32.0,125.0,1,right,L. Markkanen 12' turnaround fadeaway Jump Shot (2 PTS) (E. Mobley 1 AST),"[1628374, 1630596]",1610612739.0,CLE,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,,,12.86,Made,2.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,
10,PT11M26.00S,2021-12-12T01:11:09.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,2,0,2021-12-12T01:11:09Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2021-12-12T01:11:31.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203458,14.536793692509855,46.07843137254902,1610612758,2,0,2021-12-12T01:11:36Z,110000,20.0,84.0,1,left,MISS A. Len 8' Hook,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,8.64,Missed,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-12-12T01:11:33.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,0,2021-12-12T01:11:36Z,120000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M01.00S,2021-12-12T01:11:48.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,88.25558475689881,53.67647058823529,1610612739,2,0,2021-12-12T01:12:09Z,130000,18.0,58.0,1,right,MISS E. Mobley 6' floating Shot,[1630596],1610612739.0,CLE,floating,,,Mobley,E. Mobley,,,,,,,6.08,Missed,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-12-12T01:11:48.4Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,0,2021-12-12T01:12:24Z,140000,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,
15,PT10M59.00S,2021-12-12T01:11:53.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630596,94.40999984741211,50.0,1610612739,4,0,2021-12-12T01:12:46Z,150000,0.0,0.0,1,right,E. Mobley tip Layup (2 PTS),[1630596],1610612739.0,CLE,tip,,,Mobley,E. Mobley,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,
16,PT10M51.00S,2021-12-12T01:11:58.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,14.931011826544022,59.31372549019608,1610612758,4,0,2021-12-12T01:12:06Z,160000,-47.0,88.0,1,left,MISS D. Fox 9' Jump Shot - blocked,"[1628368, 1629636]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,9.95,Missed,,,,,,,,,Garland,1629636.0,,,,,,,
17,PT10M51.00S,2021-12-12T01:11:58.7Z,1,REGULAR,block,,[],1629636,,,1610612758,4,0,2021-12-12T01:16:46Z,170000,,,0,,D. Garland BLOCK (1 BLK),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M48.00S,2021-12-12T01:12:01.7Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,4,0,2021-12-12T01:12:06Z,180000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
19,PT10M43.00S,2021-12-12T01:12:07.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,89.83245729303549,37.00980392156863,1610612739,4,0,2021-12-12T01:12:15Z,190000,-65.0,43.0,1,right,MISS L. Markkanen 7' bank Hook,[1628374],1610612739.0,CLE,bank,,,Markkanen,L. Markkanen,,,,,,,7.8,Missed,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2021-12-12T01:12:10.2Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,4,0,2021-12-12T01:12:15Z,200000,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M27.00S,2021-12-12T01:12:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203458,7.703679369250986,49.26470588235294,1610612758,4,0,2021-12-12T01:12:34Z,210000,4.0,20.0,1,left,MISS A. Len Layup,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,2.02,Missed,,,,,,,,,,,,,,,,,
22,PT10M27.00S,2021-12-12T01:12:22.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,0,2021-12-12T01:12:34Z,220000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
23,PT10M15.00S,2021-12-12T01:12:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,92.85479632063075,50.0,1610612739,6,0,2021-12-12T01:12:40Z,230000,0.0,15.0,1,right,D. Garland driving Layup (2 PTS),[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,1.47,Made,2.0,,,,,,,,,,,,,,,,
24,PT10M00.00S,2021-12-12T01:12:48.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203458,5.601182654402102,48.28431372549019,1610612758,6,2,2021-12-12T01:12:54Z,240000,9.0,0.0,1,left,A. Len cutting DUNK (2 PTS) (T. Haliburton 1 AST),"[203458, 1630169]",1610612758.0,SAC,cutting,,,Len,A. Len,,,,,,,0.86,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,
26,PT09M48.00S,2021-12-12T01:13:00.8Z,1,REGULAR,2pt,Jump Shot,[],1629636,90.48948751642575,31.372549019607842,1610612739,8,2,2021-12-12T01:13:08Z,260000,-93.0,37.0,1,right,D. Garland 10' driving floating bank Jump Shot (4 PTS),[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,,,10.01,Made,4.0,,,,,,,,,,,,,,,,
27,PT09M35.00S,2021-12-12T01:13:14.3Z,1,REGULAR,3pt,Jump Shot,[],203084,31.09395532194481,30.14705882352941,1610612758,8,2,2021-12-12T01:13:20Z,270000,99.0,240.0,1,left,MISS H. Barnes 25' pullup 3PT,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,,,25.95,Missed,,,,,,,,,,,,,,,,,
28,PT09M33.00S,2021-12-12T01:13:16.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,8,2,2021-12-12T01:13:20Z,280000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT09M27.00S,2021-12-12T01:13:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,92.32917214191852,52.20588235294118,1610612739,8,2,2021-12-12T01:15:23Z,290000,11.0,20.0,1,right,MISS L. Markkanen driving floating Shot,[1628374],1610612739.0,CLE,driving floating,,,Markkanen,L. Markkanen,,,,,,,2.25,Missed,,,,,,,,,,,,,,,,,
30,PT09M23.00S,2021-12-12T01:13:27.0Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,8,2,2021-12-12T01:14:01Z,300000,,,0,,A. Len REBOUND (Off:0 Def:2),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,
31,PT09M15.00S,2021-12-12T01:13:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,8.015768725361367,44.9984681372549,1610612758,8,2,2021-12-12T01:13:42Z,310000,25.0,23.0,1,left,MISS T. Haliburton driving floating bank Shot,[1630169],1610612758.0,SAC,driving floating bank,,,Haliburton,T. Haliburton,,,,,,,3.38,Missed,,,,,,,,,,,,,,,,,
32,PT09M13.00S,2021-12-12T01:13:36.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,8,2,2021-12-12T01:13:42Z,320000,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,
33,PT09M03.00S,2021-12-12T01:13:47.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,72.35545335085413,80.14705882352942,1610612739,8,2,2021-12-12T01:13:52Z,330000,151.0,207.0,1,right,MISS D. Garland 25' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,25.64,Missed,,,,,,,,,,,,,,,,,
34,PT09M01.00S,2021-12-12T01:13:49.0Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,8,2,2021-12-12T01:13:52Z,340000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT08M49.00S,2021-12-12T01:14:00.5Z,1,REGULAR,3pt,Jump Shot,[],1630169,23.340998685939553,12.254901960784313,1610612758,8,2,2021-12-12T01:14:06Z,350000,189.0,167.0,1,left,MISS T. Haliburton 25' 3PT,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,25.19,Missed,,,,,,,,,,,,,,,,,
36,PT08M44.00S,2021-12-12T01:14:05.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,8,2,2021-12-12T01:14:06Z,360000,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,35.0,3.0,2.0,1.0,,,,,,,,,
37,PT08M41.00S,2021-12-12T01:14:11.1Z,1,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612739,8,2,2021-12-12T01:14:18Z,370000,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Okoro 2 FT),"[1630169, 1630171]",1610612758.0,SAC,shooting,,,Haliburton,T. Haliburton,,,,,200834.0,,,,,,,,,,,,,,1.0,0.0,Okoro,1630171.0,,,
39,PT08M41.00S,2021-12-12T01:14:32.3Z,1,REGULAR,freethrow,1 of 2,[],1630171,,,1610612739,9,2,2021-12-12T01:14:32Z,390000,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
40,PT08M41.00S,2021-12-12T01:14:45.6Z,1,REGULAR,freethrow,2 of 2,[],1630171,,,1610612739,10,2,2021-12-12T01:14:45Z,400000,,,0,,I. Okoro Free Throw 2 of 2 (2 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
41,PT08M33.00S,2021-12-12T01:14:54.3Z,1,REGULAR,3pt,Jump Shot,[],1628963,27.677398160315374,19.11764705882353,1610612758,10,2,2021-12-12T01:15:01Z,410000,154.0,208.0,1,left,MISS M. Bagley III 25' 3PT,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,25.88,Missed,,,,,,,,,,,,,,,,,
42,PT08M31.00S,2021-12-12T01:14:57.9Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,10,2,2021-12-12T01:14:58Z,420000,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,,
43,PT08M31.00S,2021-12-12T01:15:01.0Z,1,REGULAR,foul,personal,['2freethrow'],1629636,,,1610612758,10,2,2021-12-12T01:15:19Z,430000,,,0,,D. Garland shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629636, 203084]",1610612739.0,CLE,shooting,,,Garland,D. Garland,,,,,2715.0,,,,,,,,,,,,,,1.0,0.0,Barnes,203084.0,,,
