actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-05T00:11:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-05T00:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-05T00:11:23.9Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-01-05T00:11:23Z,40000,,,0,,Jump Ball J. Allen vs. S. Adams: Tip to D. Garland,"[1629636, 1628386, 203500]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-05T00:11:36.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,5.995400788436268,64.4607843137255,1610612739,0,0,2022-01-05T00:11:44Z,70000,-72.0,4.0,1,left,MISS J. Allen 7' turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,7.24,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-05T00:11:40.0Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2022-01-05T00:11:44Z,80000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-05T00:11:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,93.64323258869908,50.0,1610612763,0,0,2022-01-05T00:12:11Z,90000,0.0,7.0,1,right,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 1628386]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,0.73,Missed,,,,,Allen,1628386.0,,,,,,,,,,,,,
10,PT11M27.00S,2022-01-05T00:11:51.6Z,1,REGULAR,block,,[],1628386,,,1610612763,0,0,2022-01-05T00:11:56Z,100000,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2022-01-05T00:11:52.6Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,0,0,2022-01-05T00:12:11Z,110000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M18.00S,2022-01-05T00:12:01.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,34.90473061760841,64.95098039215686,1610612739,3,0,2022-01-05T00:12:17Z,120000,-75.0,276.0,1,left,D. Garland 28' 3PT  (3 PTS) (L. Stevens 1 AST),"[1629636, 1630205]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,28.56,Made,,,,,,,3.0,L. Stevens,1630205.0,1.0,,,,,,,,,
13,PT11M05.00S,2022-01-05T00:12:14.5Z,1,REGULAR,3pt,Jump Shot,[],1629681,94.82588699080158,3.1862745098039214,1610612763,3,0,2022-01-05T00:12:20Z,130000,-234.0,-4.0,1,right,MISS K. Tillie 3PT,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2022-01-05T00:12:14.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,3,0,2022-01-05T00:12:20Z,140000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-01-05T00:12:25.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,10.33180026281209,46.568627450980394,1610612739,3,0,2022-01-05T00:12:30Z,150000,17.0,45.0,1,left,MISS J. Allen turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,4.78,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2022-01-05T00:12:27.0Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,3,0,2022-01-05T00:12:30Z,160000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M35.00S,2022-01-05T00:12:44.4Z,1,REGULAR,2pt,Jump Shot,[],1629630,82.47371879106439,68.38235294117648,1610612763,3,0,2022-01-05T00:12:53Z,170000,92.0,112.0,1,right,MISS J. Morant 14' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,14.5,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2022-01-05T00:12:48.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,3,0,2022-01-05T00:12:53Z,180000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
20,PT10M28.00S,2022-01-05T00:12:51.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629681,92.06636005256242,3.431372549019608,1610612763,3,0,2022-01-05T00:12:56Z,190000,-233.0,22.0,1,right,MISS K. Tillie 3PT,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,23.38,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2022-01-05T00:12:51.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,0,2022-01-05T00:12:56Z,200000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M19.00S,2022-01-05T00:13:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,7.046649145860711,49.26470588235294,1610612739,5,0,2022-01-05T00:13:09Z,210000,4.0,14.0,1,left,E. Mobley Layup (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,1.42,Made,,,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,
23,PT10M07.00S,2022-01-05T00:13:16.2Z,1,REGULAR,turnover,traveling,[],1629681,,,1610612763,5,0,2022-01-05T00:13:35Z,220000,,,0,,K. Tillie traveling TURNOVER (1 TO),[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,,,,,204059.0,1.0,,,,,,,
25,PT09M44.00S,2022-01-05T00:13:49.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630596,4.862023653088042,61.78768382352941,1610612739,7,0,2022-01-05T00:13:56Z,230000,-59.0,-7.0,1,left,E. Mobley Hook (4 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,5.93,Made,,,,,,,4.0,,,,,,,,,,,,
26,PT09M31.00S,2022-01-05T00:14:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,93.64323258869908,50.73529411764706,1610612763,7,0,2022-01-05T00:16:13Z,240000,4.0,7.0,1,right,MISS S. Adams reverse Layup,[203500],1610612763.0,MEM,reverse,,,Adams,S. Adams,,,,,0.82,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2022-01-05T00:14:06.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,7,0,2022-01-05T00:14:08Z,250000,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
28,PT09M23.00S,2022-01-05T00:14:10.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,26.363337713534822,79.90196078431373,1610612739,7,0,2022-01-05T00:14:15Z,260000,-150.0,195.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M21.00S,2022-01-05T00:14:12.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,7,0,2022-01-05T00:14:15Z,270000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,28.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
30,PT09M16.00S,2022-01-05T00:14:21.5Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612763,7,0,2022-01-05T00:14:38Z,280000,,,0,,J. Allen shooting personal FOUL (1 PF) (Morant 2 FT),"[1628386, 1629630]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,,,,,,,,,,,,,204059.0,,1.0,0.0,Morant,1629630.0,,,
32,PT09M16.00S,2022-01-05T00:14:50.1Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,7,1,2022-01-05T00:14:50Z,300000,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
33,PT09M16.00S,2022-01-05T00:15:02.8Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,7,2,2022-01-05T00:15:02Z,310000,,,0,,J. Morant Free Throw 2 of 2 (2 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
34,PT09M03.00S,2022-01-05T00:15:16.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,13.485545335085414,58.82352941176471,1610612739,9,2,2022-01-05T00:15:22Z,320000,-44.0,74.0,1,left,D. Garland 8' pullup Jump Shot (5 PTS) (L. Markkanen 1 AST),"[1629636, 1628374]",1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,8.64,Made,,,,,,,5.0,L. Markkanen,1628374.0,1.0,,,,,,,,,
36,PT08M45.00S,2022-01-05T00:15:37.7Z,1,REGULAR,foul,personal,['2freethrow'],1628374,,,1610612763,9,2,2022-01-05T00:15:56Z,340000,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Adams 2 FT),"[1628374, 203500]",1610612739.0,CLE,shooting,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,1628168.0,,1.0,0.0,Adams,203500.0,,,
