actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-27T00:10:18.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T00:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-01-27T00:10:23.5Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-01-27T00:10:23Z,40000,,,0,,Jump Ball B. Portis vs. J. Allen: Tip to G. Antetokounmpo,"[203507, 1626171, 1628386]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2022-01-27T00:10:45.0Z,1,REGULAR,3pt,Jump Shot,[],203114,73.66951379763469,85.5392156862745,1610612749,0,0,2022-01-27T00:10:49Z,70000,178.0,195.0,1,right,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-01-27T00:10:47.0Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,0,0,2022-01-27T00:10:49Z,80000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M08.00S,2022-01-27T00:11:08.8Z,1,REGULAR,3pt,Jump Shot,[],1629731,27.808804204993432,73.77450980392157,1610612739,0,0,2022-01-27T00:11:13Z,90000,-119.0,209.0,1,left,MISS D. Wade 24' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,24.04,Missed,,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2022-01-27T00:11:10.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,0,0,2022-01-27T00:11:13Z,100000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M03.00S,2022-01-27T00:11:18.2Z,1,REGULAR,turnover,traveling,[],203507,,,1610612749,0,0,2022-01-27T00:11:26Z,110000,,,0,,G. Antetokounmpo traveling TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,201638.0,1.0,,,,,,,,,,,,
12,PT10M47.00S,2022-01-27T00:11:49.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630171,6.389618922470433,0.9803921568627451,1610612739,0,0,2022-01-27T00:11:54Z,120000,245.0,8.0,1,left,MISS I. Okoro 24' 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,24.52,Missed,,,,,,,,,,,,,,,,,,
13,PT10M43.00S,2022-01-27T00:11:53.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-01-27T00:11:54Z,130000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M38.00S,2022-01-27T00:11:57.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626192,93.9060446780552,3.1862745098039214,1610612749,0,3,2022-01-27T00:12:04Z,140000,-234.0,5.0,1,right,P. Connaughton 3PT  (3 PTS) (B. Portis 1 AST),"[1626192, 1626171]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,23.41,Made,,,,,,,3.0,B. Portis,1626171.0,1.0,,,,,,,,
16,PT10M25.00S,2022-01-27T00:12:11.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,6.652431011826544,50.73529411764706,1610612739,2,3,2022-01-27T00:12:17Z,160000,-4.0,10.0,1,left,J. Allen cutting DUNK (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,1.07,Made,,,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,
18,PT10M12.00S,2022-01-27T00:12:24.3Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,2,3,2022-01-27T00:12:29Z,180000,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1630171]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,1.0,,,,,Okoro,1630171.0,,,,,,
19,PT10M12.00S,2022-01-27T00:12:24.3Z,1,REGULAR,steal,,[],1630171,,,1610612739,2,3,2022-01-27T00:12:26Z,190000,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M04.00S,2022-01-27T00:12:32.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630596,16.4257555847569,4.434742647058823,1610612739,2,3,2022-01-27T00:12:48Z,200000,228.0,102.0,1,left,MISS E. Mobley 24' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2022-01-27T00:12:35.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,3,2022-01-27T00:12:48Z,210000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT09M54.00S,2022-01-27T00:12:42.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,71.17279894875165,78.43137254901961,1610612749,2,6,2022-01-27T00:12:50Z,220000,142.0,218.0,1,right,B. Portis 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1626171, 203507]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.07,Made,,,,,,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,
24,PT09M26.00S,2022-01-27T00:13:09.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,9.017739816031538,44.11764705882353,1610612739,4,6,2022-01-27T00:13:21Z,240000,29.0,32.0,1,left,J. Allen driving Hook (4 PTS) (D. Garland 2 AST),"[1628386, 1629636]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,4.37,Made,,,,,,,4.0,D. Garland,1629636.0,2.0,,,,,,,,
26,PT09M18.00S,2022-01-27T00:13:18.8Z,1,REGULAR,3pt,Jump Shot,[],203114,93.24901445466492,3.6764705882352944,1610612749,4,9,2022-01-27T00:13:25Z,260000,-232.0,11.0,1,right,K. Middleton 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[203114, 203507]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,23.19,Made,,,,,,,3.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,
28,PT08M59.00S,2022-01-27T00:13:36.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,6.258212877792378,2.2058823529411766,1610612739,7,9,2022-01-27T00:13:41Z,280000,239.0,6.0,1,left,I. Okoro 3PT  (3 PTS) (E. Mobley 1 AST),"[1630171, 1630596]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,23.91,Made,,,,,,,3.0,E. Mobley,1630596.0,1.0,,,,,,,,
30,PT08M47.00S,2022-01-27T00:13:56.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203507,92.46057818659659,37.745098039215684,1610612749,7,9,2022-01-27T00:14:01Z,300000,-61.0,18.0,1,right,MISS G. Antetokounmpo 6' turnaround Hook,[203507],1610612749.0,MIL,turnaround,,,Antetokounmpo,G. Antetokounmpo,,,,,6.4,Missed,,,,,,,,,,,,,,,,,,
31,PT08M45.00S,2022-01-27T00:13:58.3Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,7,9,2022-01-27T00:14:01Z,310000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M38.00S,2022-01-27T00:14:05.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,13.222733245729303,39.46078431372549,1610612739,9,9,2022-01-27T00:14:10Z,320000,53.0,72.0,1,left,D. Garland 8' driving floating Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,8.91,Made,,,,,,,2.0,,,,,,,,,,,
33,PT08M21.00S,2022-01-27T00:14:22.4Z,1,REGULAR,2pt,Jump Shot,[],1626171,95.26938239159001,7.621017156862746,1610612749,9,11,2022-01-27T00:19:24Z,330000,-212.0,-8.0,1,right,B. Portis 21' Jump Shot (5 PTS) (K. Middleton 1 AST),"[1626171, 203114]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,21.21,Made,,,,,,,5.0,K. Middleton,203114.0,1.0,,,,,,,,
35,PT08M07.00S,2022-01-27T00:14:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,6.258212877792378,50.73529411764706,1610612739,9,11,2022-01-27T00:14:56Z,350000,-4.0,6.0,1,left,MISS J. Allen alley-oop Layup,[1628386],1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,0.73,Missed,,,,,,,,,,,,,,,,,,
36,PT08M07.00S,2022-01-27T00:14:38.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,9,11,2022-01-27T00:14:56Z,360000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,
37,PT08M07.00S,2022-01-27T00:14:53.9Z,1,REGULAR,foul,personal,[],1626171,,,1610612739,9,11,2022-01-27T00:15:03Z,370000,,,0,,B. Portis personal FOUL (1 PF),"[1626171, 1628386]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,1628954.0,,,,,,,,1.0,0.0,Allen,1628386.0,,
39,PT07M53.00S,2022-01-27T00:15:16.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629636,13.87976346911958,14.950980392156863,1610612739,11,11,2022-01-27T00:15:21Z,390000,175.0,78.0,1,left,D. Garland 19' pullup Jump Shot (4 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,19.18,Made,,,,,,,4.0,,,,,,,,,,,
40,PT07M47.00S,2022-01-27T00:15:26.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,11,11,2022-01-27T00:15:26Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M38.00S,2022-01-27T00:15:47.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,11,11,2022-01-27T00:15:47Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M35.00S,2022-01-27T00:16:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,93.77463863337714,50.73529411764706,1610612749,11,13,2022-01-27T00:16:09Z,420000,4.0,6.0,1,right,P. Connaughton cutting Layup (5 PTS) (G. Antetokounmpo 3 AST),"[1626192, 203507]",1610612749.0,MIL,cutting,,,Connaughton,P. Connaughton,,,,,0.7,Made,,,,,,,5.0,G. Antetokounmpo,203507.0,3.0,,,,,,,,
44,PT07M09.00S,2022-01-27T00:16:26.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,7.835085413929041,51.71568627450981,1610612739,11,13,2022-01-27T00:16:38Z,440000,-9.0,21.0,1,left,MISS E. Mobley driving Hook,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,
45,PT07M08.00S,2022-01-27T00:16:27.2Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,11,13,2022-01-27T00:17:02Z,450000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,44.0,1.0,0.0,1.0,,,,,,,,,,,,,,
46,PT07M08.00S,2022-01-27T00:16:30.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628386,5.590000152587891,50.0,1610612739,11,13,2022-01-27T00:17:22Z,460000,0.0,0.0,1,left,MISS J. Allen tip Layup,[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
47,PT07M08.00S,2022-01-27T00:16:30.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,11,13,2022-01-27T01:44:45Z,470000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,,,
48,PT07M05.00S,2022-01-27T00:16:34.8Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612749,11,13,2022-01-27T00:16:42Z,480000,,,0,,I. Okoro shooting personal FOUL (1 PF) (Portis 2 FT),"[1630171, 1626171]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,,,,,,,202049.0,,,,,,,,1.0,0.0,Portis,1626171.0,,
50,PT07M05.00S,2022-01-27T00:17:03.1Z,1,REGULAR,freethrow,1 of 2,[],1626171,,,1610612749,11,13,2022-01-27T00:17:03Z,500000,,,0,,MISS B. Portis Free Throw 1 of 2,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT07M05.00S,2022-01-27T00:17:03.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,11,13,2022-01-27T00:17:03Z,510000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
52,PT07M05.00S,2022-01-27T00:17:05.5Z,1,REGULAR,substitution,out,[],203114,,,1610612749,11,13,2022-01-27T00:17:18Z,520000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M05.00S,2022-01-27T00:17:05.5Z,1,REGULAR,substitution,in,[],1628978,,,1610612749,11,13,2022-01-27T00:17:18Z,530000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M05.00S,2022-01-27T00:17:30.4Z,1,REGULAR,freethrow,2 of 2,[],1626171,,,1610612749,11,14,2022-01-27T00:17:30Z,540000,,,0,,B. Portis Free Throw 2 of 2 (6 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
55,PT06M52.00S,2022-01-27T00:17:45.6Z,1,REGULAR,3pt,Jump Shot,[],1630596,30.962549277266753,62.5,1610612739,11,14,2022-01-27T00:17:50Z,550000,-62.0,239.0,1,left,MISS E. Mobley 24' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,24.66,Missed,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2022-01-27T00:17:48.6Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,11,14,2022-01-27T00:17:50Z,560000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
57,PT06M29.00S,2022-01-27T00:18:08.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,94.69448094612353,3.1862745098039214,1610612749,11,17,2022-01-27T00:18:16Z,570000,-234.0,-3.0,1,right,D. DiVincenzo 3PT  (3 PTS) (J. Holiday 1 AST),"[1628978, 201950]",1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,23.41,Made,,,,,,,3.0,J. Holiday,201950.0,1.0,,,,,,,,
59,PT06M11.00S,2022-01-27T00:18:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,36.61300919842313,17.892156862745097,1610612739,14,17,2022-01-27T00:18:31Z,590000,161.0,292.0,1,left,D. Garland 33' 3PT  (7 PTS) (I. Okoro 1 AST),"[1629636, 1630171]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,33.29,Made,,,,,,,7.0,I. Okoro,1630171.0,1.0,,,,,,,,
61,PT06M10.00S,2022-01-27T00:18:34.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,14,17,2022-01-27T00:18:34Z,610000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M10.00S,2022-01-27T00:20:16.1Z,1,REGULAR,substitution,out,[],1628386,,,1610612749,14,17,2022-01-27T00:21:17Z,620000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M10.00S,2022-01-27T00:20:16.1Z,1,REGULAR,substitution,out,[],1629731,,,1610612749,14,17,2022-01-27T00:21:17Z,630000,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M10.00S,2022-01-27T00:20:16.1Z,1,REGULAR,substitution,out,[],203507,,,1610612749,14,17,2022-01-27T00:21:17Z,640000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M10.00S,2022-01-27T00:20:16.1Z,1,REGULAR,substitution,in,[],1626224,,,1610612749,14,17,2022-01-27T00:21:17Z,650000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M10.00S,2022-01-27T00:20:16.1Z,1,REGULAR,substitution,in,[],201567,,,1610612749,14,17,2022-01-27T00:21:17Z,660000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M10.00S,2022-01-27T00:20:16.1Z,1,REGULAR,substitution,in,[],203114,,,1610612749,14,17,2022-01-27T00:21:17Z,670000,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M52.00S,2022-01-27T00:21:48.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201950,89.17542706964521,42.64705882352941,1610612749,14,19,2022-01-27T00:21:53Z,680000,-37.0,49.0,1,right,J. Holiday 6' driving Hook (2 PTS),[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,6.15,Made,,,,,,,2.0,,,,,,,,,,,
69,PT05M34.00S,2022-01-27T00:22:07.8Z,1,REGULAR,2pt,Jump Shot,[],1630596,22.683968462549277,54.41176470588235,1610612739,14,19,2022-01-27T00:22:30Z,690000,-22.0,161.0,1,left,MISS E. Mobley 16' pullup Shot,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,16.22,Missed,,,,,,,,,,,,,,,,,,
70,PT05M33.00S,2022-01-27T00:22:08.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,14,19,2022-01-27T00:22:13Z,700000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,
71,PT05M23.00S,2022-01-27T00:22:25.4Z,1,REGULAR,3pt,Jump Shot,[],203114,66.83639947437582,69.36274509803921,1610612749,14,22,2022-01-27T00:23:23Z,710000,97.0,259.0,1,right,K. Middleton 27' 3PT pullup (6 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,27.67,Made,,,,,,,6.0,,,,,,,,,,,
72,PT05M06.00S,2022-01-27T00:22:41.8Z,1,REGULAR,3pt,Jump Shot,[],1626224,5.601182654402102,2.696078431372549,1610612739,17,22,2022-01-27T00:22:46Z,720000,237.0,0.0,1,left,C. Osman 3PT  (3 PTS) (I. Okoro 2 AST),"[1626224, 1630171]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,23.65,Made,,,,,,,3.0,I. Okoro,1630171.0,2.0,,,,,,,,
74,PT04M58.00S,2022-01-27T00:22:50.9Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,17,22,2022-01-27T00:25:20Z,740000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1629636]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,1.0,,,,,Garland,1629636.0,,,,,,
75,PT04M58.00S,2022-01-27T00:22:50.9Z,1,REGULAR,steal,,[],1629636,,,1610612739,17,22,2022-01-27T00:22:53Z,750000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M51.00S,2022-01-27T00:22:57.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201567,30.436925098554536,63.23529411764706,1610612739,20,22,2022-01-27T00:23:01Z,760000,-66.0,234.0,1,left,K. Love 24' 3PT  (3 PTS) (D. Garland 3 AST),"[201567, 1629636]",1610612739.0,CLE,,,,Love,K. Love,,,,,24.28,Made,,,,,,,3.0,D. Garland,1629636.0,3.0,,,,,,,,
78,PT04M39.00S,2022-01-27T00:23:09.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626171,93.51182654402102,49.50980392156863,1610612749,20,24,2022-01-27T00:23:14Z,780000,-2.0,8.0,1,right,B. Portis cutting DUNK (8 PTS) (J. Holiday 2 AST),"[1626171, 201950]",1610612749.0,MIL,cutting,,,Portis,B. Portis,,,,,0.89,Made,,,,,,,8.0,J. Holiday,201950.0,2.0,,,,,,,,
