actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-03T00:10:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-03T00:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-03T00:10:29.8Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-03-03T00:10:29Z,40000,,,0,,Jump Ball J. Allen vs. M. Plumlee: Tip to D. Garland,"[1629636, 1628386, 203486]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-03T00:10:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,93.51182654402102,51.9607843137255,1610612739,2,0,2022-03-03T00:10:47Z,70000,10.0,8.0,1,right,J. Allen cutting finger roll Layup (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting finger roll,,,Allen,J. Allen,,,,,1.3,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2022-03-03T00:10:43.9Z,1,REGULAR,foul,personal,['1freethrow'],1630163,,,1610612739,2,0,2022-03-03T00:10:56Z,90000,,,0,,L. Ball shooting personal FOUL (1 PF) (Allen 1 FT),"[1630163, 1628386]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,,,,,,,202058.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,
11,PT11M48.00S,2022-03-03T00:11:00.6Z,1,REGULAR,freethrow,1 of 1,[],1628386,,,1610612739,3,0,2022-03-03T00:11:00Z,110000,,,0,,J. Allen Free Throw 1 of 1 (3 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2022-03-03T00:11:17.8Z,1,REGULAR,3pt,Jump Shot,[],1626179,15.193823915900131,4.901960784313726,1610612766,3,0,2022-03-03T00:11:22Z,120000,225.0,90.0,1,left,MISS T. Rozier 24' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,24.29,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M31.00S,2022-03-03T00:11:20.8Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,3,0,2022-03-03T00:11:22Z,130000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT11M27.00S,2022-03-03T00:11:28.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,3,0,2022-03-03T00:11:28Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2022-03-03T00:11:47.8Z,1,REGULAR,2pt,Jump Shot,[],1629636,71.96123521681997,60.049019607843135,1610612739,3,0,2022-03-03T00:11:54Z,150000,50.0,211.0,1,right,MISS D. Garland 21' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,21.7,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M15.00S,2022-03-03T00:11:51.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,3,0,2022-03-03T00:11:51Z,160000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
