actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-03T23:11:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T23:11:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-03T23:11:44.2Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-11-03T23:11:44Z,40000,,,0,,Jump Ball J. Nurkic vs. J. Allen: Tip to D. Lillard,"[203081, 203994, 1628386]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-03T23:11:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.1268068331143235,52.20588235294118,1610612757,0,0,2021-11-03T23:12:00Z,70000,-11.0,5.0,1,left,MISS J. Nurkic cutting Layup,[203994],1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,1.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-11-03T23:11:56.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2021-11-03T23:12:00Z,80000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M39.00S,2021-11-03T23:12:00.4Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,0,0,2021-11-03T23:12:04Z,90000,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 203496]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,1.0,Covington,203496.0,,,,,,,,,,,
10,PT11M39.00S,2021-11-03T23:12:00.4Z,1,REGULAR,steal,,[],203496,,,1610612757,0,0,2021-11-03T23:12:21Z,100000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2021-11-03T23:12:05.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203496,28.203022339027594,19.852941176470587,1610612757,0,3,2021-11-03T23:12:09Z,110000,151.0,213.0,1,left,R. Covington 26' 3PT  (3 PTS) (D. Lillard 1 AST),"[203496, 203081]",1610612757.0,POR,,,,Covington,R. Covington,,,,,26.06,Made,,,,,,,,3.0,D. Lillard,203081.0,1.0,,,,,,,
13,PT11M11.00S,2021-11-03T23:12:27.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,91.14651773981603,52.450980392156865,1610612739,0,3,2021-11-03T23:12:33Z,130000,12.0,31.0,1,right,MISS J. Allen cutting DUNK,[1628386],1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,3.31,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2021-11-03T23:12:31.8Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,0,3,2021-11-03T23:12:33Z,140000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M05.00S,2021-11-03T23:12:35.6Z,1,REGULAR,3pt,Jump Shot,[],1626181,6.783837056504599,98.52941176470588,1610612757,0,6,2021-11-03T23:12:39Z,150000,-243.0,11.0,1,left,N. Powell 24' 3PT  (3 PTS) (C. McCollum 1 AST),"[1626181, 203468]",1610612757.0,POR,,,,Powell,N. Powell,,,,,24.29,Made,,,,,,,,3.0,C. McCollum,203468.0,1.0,,,,,,,
17,PT11M05.00S,2021-11-03T23:12:41.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,0,6,2021-11-03T23:12:41Z,170000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2021-11-03T23:15:53.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,92.72339027595268,50.73529411764706,1610612739,2,6,2021-11-03T23:17:03Z,180000,4.0,16.0,1,right,J. Allen cutting DUNK (2 PTS) (C. Sexton 1 AST),"[1628386, 1629012]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,1.63,Made,,,,,,,,2.0,C. Sexton,1629012.0,1.0,,,,,,,
20,PT10M46.00S,2021-11-03T23:15:58.5Z,1,REGULAR,foul,personal,['1freethrow'],203496,,,1610612739,2,6,2021-11-03T23:16:11Z,200000,,,0,,R. Covington shooting personal FOUL (1 PF) (Allen 1 FT),"[203496, 1628386]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Allen,1628386.0,,
22,PT10M46.00S,2021-11-03T23:16:15.9Z,1,REGULAR,freethrow,1 of 1,[],1628386,,,1610612739,2,6,2021-11-03T23:16:16Z,220000,,,0,,MISS J. Allen Free Throw 1 of 1,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M44.00S,2021-11-03T23:16:17.9Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,2,6,2021-11-03T23:16:18Z,230000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M31.00S,2021-11-03T23:16:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,7.835085413929041,58.57843137254902,1610612757,2,6,2021-11-03T23:16:33Z,240000,-43.0,21.0,1,left,MISS C. McCollum driving floating Shot,[203468],1610612757.0,POR,driving floating,,,McCollum,C. McCollum,,,,,4.78,Missed,,,,,,,,,,,,,,,,,,
