actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-18T23:40:41.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-18T23:40:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-18T23:40:44.0Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-03-18T23:40:44Z,40000,,,0,,Jump Ball N. Jokic vs. E. Mobley: Tip to A. Gordon,"[203932, 203999, 1630596]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2022-03-18T23:40:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,5.206964520367937,51.71568627450981,1610612743,0,2,2022-03-18T23:40:55Z,70000,-9.0,-4.0,1,left,N. Jokic Layup (2 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,0.93,Made,2.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-18T23:41:11.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,92.9862023653088,50.0,1610612739,2,2,2022-03-18T23:41:16Z,90000,0.0,13.0,1,right,E. Mobley alley-oop DUNK (2 PTS) (L. Stevens 1 AST),"[1630596, 1630205]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,1.34,Made,2.0,L. Stevens,1630205.0,1.0,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-03-18T23:41:33.0Z,1,REGULAR,3pt,Jump Shot,[],203115,29.122864651773984,28.676470588235293,1610612743,2,2,2022-03-18T23:41:46Z,110000,107.0,221.0,1,left,MISS W. Barton 24' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,24.56,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2022-03-18T23:41:36.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,2,2,2022-03-18T23:41:46Z,120000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M56.00S,2022-03-18T23:41:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.9862023653088,50.98039215686274,1610612739,2,2,2022-03-18T23:42:53Z,130000,5.0,13.0,1,right,MISS I. Okoro Layup,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,1.43,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-03-18T23:41:48.9Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,2,2,2022-03-18T23:42:53Z,140000,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M55.00S,2022-03-18T23:41:53.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630171,94.40999984741211,50.0,1610612739,4,2,2022-03-18T23:42:59Z,150000,0.0,0.0,1,right,I. Okoro tip Layup (2 PTS),[1630171],1610612739.0,CLE,tip,,,Okoro,I. Okoro,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2022-03-18T23:41:58.6Z,1,REGULAR,3pt,Jump Shot,[],203932,30.962549277266753,68.62745098039215,1610612743,4,2,2022-03-18T23:42:08Z,160000,-93.0,239.0,1,left,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2022-03-18T23:41:59.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,4,2,2022-03-18T23:42:08Z,170000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
27,PT10M41.00S,2022-03-18T23:42:11.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,4,2,2022-03-18T23:43:23Z,175000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M26.00S,2022-03-18T23:42:23.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,87.99277266754271,54.166666666666664,1610612739,4,2,2022-03-18T23:42:29Z,180000,21.0,60.0,1,right,MISS E. Mobley 6' driving Hook,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,6.39,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2022-03-18T23:42:25.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,2,2022-03-18T23:42:25Z,190000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M16.00S,2022-03-18T23:42:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,5.732588699080158,49.01960784313725,1610612743,4,4,2022-03-18T23:44:07Z,200000,5.0,1.0,1,left,W. Barton running Layup (2 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,0.51,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,,
22,PT10M05.00S,2022-03-18T23:42:44.1Z,1,REGULAR,3pt,Jump Shot,[],1629636,68.9388961892247,18.627450980392158,1610612739,7,4,2022-03-18T23:43:01Z,220000,-157.0,239.0,1,right,D. Garland 28' 3PT  (3 PTS) (L. Stevens 2 AST),"[1629636, 1630205]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,28.63,Made,3.0,L. Stevens,1630205.0,2.0,,,,,,,,,,,,,,,
24,PT09M47.00S,2022-03-18T23:43:03.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,5.469776609724048,50.245098039215684,1610612743,7,6,2022-03-18T23:43:10Z,240000,-1.0,-1.0,1,left,A. Gordon cutting DUNK (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,0.16,Made,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,,
