actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-01T00:10:59.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-01T00:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-01T00:11:02.1Z,1,REGULAR,jumpball,recovered,[],1629164,,,1610612739,0,0,2022-03-01T00:11:02Z,40000,,,0,,Jump Ball J. Allen vs. K. Towns: Tip to B. Goodwin,"[1629164, 1628386, 1626157]",1610612739.0,CLE,startperiod,B. Goodwin,1629164.0,Goodwin,B. Goodwin,Allen,1628386.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-01T00:11:28.0Z,1,REGULAR,foul,personal,[],1626156,,,1610612739,0,0,2022-03-01T00:11:38Z,70000,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1628386]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,204058.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,,
22,PT11M27.00S,2022-03-01T00:11:52.1Z,1,REGULAR,3pt,Jump Shot,[],1628374,75.82128777923785,10.317095588235293,1610612739,0,0,2022-03-01T00:14:08Z,105000,-198.0,175.0,1,right,MISS L. Markkanen 26' 3PT - blocked,"[1628374, 201976]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,26.44,Missed,Beverley,201976.0,,,,,,,,,,,,
23,PT11M27.00S,2022-03-01T00:11:52.1Z,1,REGULAR,block,,[],201976,,,1610612739,0,0,2022-03-01T00:13:18Z,107500,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT11M27.00S,2022-03-01T00:11:52.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,0,2022-03-01T00:44:03Z,108750,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
11,PT11M22.00S,2022-03-01T00:11:54.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201976,7.440867279894875,51.71568627450981,1610612750,0,0,2022-03-01T00:13:18Z,110000,-9.0,17.0,1,left,MISS P. Beverley running Layup,[201976],1610612750.0,MIN,running,,,Beverley,P. Beverley,,,,,,,,,,1.94,Missed,,,,,,,,,,,,,,
12,PT11M19.00S,2022-03-01T00:11:56.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,0,0,2022-03-01T00:11:56Z,120000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M12.00S,2022-03-01T00:12:04.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,94.1688567674113,50.245098039215684,1610612739,2,0,2022-03-01T00:12:09Z,130000,1.0,2.0,1,right,J. Allen reverse DUNK (2 PTS) (B. Goodwin 1 AST),"[1628386, 1629164]",1610612739.0,CLE,reverse,,,Allen,J. Allen,,,,,,,,,,0.26,Made,,,,,,,2.0,B. Goodwin,1629164.0,1.0,,,,
15,PT10M57.00S,2022-03-01T00:12:21.6Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,2,0,2022-03-01T00:12:32Z,150000,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,204058.0,,,,,,,,,,,,,,,,,1.0,,,
