actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-30T23:10:31.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-30T23:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-30T23:10:34.4Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-03-30T23:10:34Z,40000,,,0,,Jump Ball M. Brown vs. D. Powell: Tip to L. Markkanen,"[1628374, 1629650, 203939]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Brown,1629650.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-30T23:10:49.6Z,1,REGULAR,3pt,Jump Shot,[],1628374,67.36202365308804,28.921568627450984,1610612739,0,0,2022-03-30T23:10:55Z,70000,-105.0,254.0,1,right,MISS L. Markkanen 27' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,27.53,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-30T23:10:52.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-03-30T23:10:55Z,80000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-03-30T23:11:02.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,5.469776609724048,47.794117647058826,1610612742,0,2,2022-03-30T23:11:09Z,90000,11.0,-1.0,1,left,D. Powell cutting DUNK (2 PTS) (D. Finney-Smith 1 AST),"[203939, 1627827]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,1.11,Made,,,,,2.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,
11,PT11M14.00S,2022-03-30T23:11:16.6Z,1,REGULAR,turnover,out-of-bounds,[],1627747,,,1610612739,0,2,2022-03-30T23:11:37Z,110000,,,0,,C. LeVert bad pass out-of-bounds TURNOVER (1 TO),[1627747],1610612739.0,CLE,bad pass,,,LeVert,C. LeVert,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
12,PT11M03.00S,2022-03-30T23:11:44.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,9.411957950065702,96.07843137254902,1610612742,0,5,2022-03-30T23:11:49Z,120000,-230.0,36.0,1,left,J. Brunson 3PT  (3 PTS) (L. Doncic 1 AST),"[1628973, 1629029]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,23.32,Made,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
14,PT10M53.00S,2022-03-30T23:11:55.2Z,1,REGULAR,2pt,Jump Shot,[],1629636,80.3712220762155,80.14705882352942,1610612739,0,5,2022-03-30T23:11:59Z,140000,151.0,132.0,1,right,MISS D. Garland 20' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,20.03,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2022-03-30T23:11:57.4Z,1,REGULAR,rebound,offensive,[],1627747,,,1610612739,0,5,2022-03-30T23:11:57Z,150000,,,0,,C. LeVert REBOUND (Off:1 Def:0),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-03-30T23:12:00.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,66.04796320630749,22.794117647058822,1610612739,0,5,2022-03-30T23:12:05Z,160000,-136.0,267.0,1,right,MISS L. Markkanen 29' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,29.93,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2022-03-30T23:12:04.9Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,5,2022-03-30T23:12:05Z,170000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M34.00S,2022-03-30T23:12:14.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,4.944152431011826,96.07843137254902,1610612742,0,5,2022-03-30T23:12:18Z,180000,-230.0,-6.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2022-03-30T23:12:16.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,0,5,2022-03-30T23:12:16Z,190000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M25.00S,2022-03-30T23:12:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,93.11760840998686,48.28431372549019,1610612739,0,5,2022-03-30T23:12:35Z,200000,-9.0,12.0,1,right,MISS I. Okoro driving Layup - blocked,"[1630171, 203939]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,1.49,Missed,,,,,,,,,,,Powell,203939.0,,,,,,,
21,PT10M25.00S,2022-03-30T23:12:21.8Z,1,REGULAR,block,,[],203939,,,1610612739,0,5,2022-03-30T23:12:24Z,210000,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M22.00S,2022-03-30T23:12:24.8Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,5,2022-03-30T23:12:35Z,220000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
23,PT10M14.00S,2022-03-30T23:12:36.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,5,2022-03-30T23:12:36Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M10.00S,2022-03-30T23:12:52.7Z,1,REGULAR,3pt,Jump Shot,[],203493,8.360709592641262,97.79411764705883,1610612742,0,5,2022-03-30T23:12:57Z,240000,-239.0,26.0,1,left,MISS R. Bullock 24' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,24.04,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2022-03-30T23:12:54.7Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,0,5,2022-03-30T23:12:57Z,250000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M57.00S,2022-03-30T23:13:05.8Z,1,REGULAR,2pt,Jump Shot,[],1628374,83.65637319316689,31.127450980392158,1610612739,2,5,2022-03-30T23:13:20Z,260000,-94.0,101.0,1,right,L. Markkanen 13' pullup Jump Shot (2 PTS),[1628374],1610612739.0,CLE,pullup,,,Markkanen,L. Markkanen,,,,,13.83,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT09M42.00S,2022-03-30T23:13:21.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,9.280551905387648,2.941176470588235,1610612742,2,8,2022-03-30T23:13:26Z,270000,235.0,35.0,1,left,D. Finney-Smith 3PT  (3 PTS) (L. Doncic 2 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.78,Made,,,,,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,
29,PT09M31.00S,2022-03-30T23:13:35.2Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612739,2,8,2022-03-30T23:13:46Z,290000,,,0,,D. Powell shooting personal FOUL (1 PF) (LeVert 2 FT),"[203939, 1627747]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,,,,,,,,,,,200833.0,,,,1.0,0.0,LeVert,1627747.0,,,
31,PT09M31.00S,2022-03-30T23:13:58.7Z,1,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,3,8,2022-03-30T23:13:58Z,310000,,,0,,C. LeVert Free Throw 1 of 2 (1 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
32,PT09M31.00S,2022-03-30T23:14:14.8Z,1,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,4,8,2022-03-30T23:14:14Z,320000,,,0,,C. LeVert Free Throw 2 of 2 (2 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
33,PT09M17.00S,2022-03-30T23:14:33.6Z,1,REGULAR,foul,personal,['2freethrow'],1629650,,,1610612742,4,8,2022-03-30T23:14:43Z,330000,,,0,,M. Brown shooting personal FOUL (1 PF) (Doncic 2 FT),"[1629650, 1629029]",1610612739.0,CLE,shooting,,,Brown,M. Brown,,,,,,,,,,,,,,,200833.0,,,,1.0,0.0,Doncic,1629029.0,,,
35,PT09M17.00S,2022-03-30T23:15:01.0Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,4,9,2022-03-30T23:15:01Z,350000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
36,PT09M17.00S,2022-03-30T23:15:18.4Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,4,10,2022-03-30T23:15:18Z,360000,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
37,PT09M00.00S,2022-03-30T23:15:37.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,91.67214191852825,35.049019607843135,1610612739,6,10,2022-03-30T23:15:42Z,370000,-75.0,26.0,1,right,D. Garland 7' driving floating bank Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,7.91,Made,,,,,2.0,,,,,,,,,,,,,,
38,PT08M48.00S,2022-03-30T23:15:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,7.966491458607096,35.294117647058826,1610612742,6,10,2022-03-30T23:15:54Z,380000,74.0,22.0,1,left,MISS L. Doncic 7' driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,7.68,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-03-30T23:15:53.0Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,6,10,2022-03-30T23:15:54Z,390000,,,0,,M. Brown REBOUND (Off:0 Def:1),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT08M36.00S,2022-03-30T23:16:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,93.9060446780552,64.95098039215686,1610612739,6,10,2022-03-30T23:16:07Z,400000,75.0,5.0,1,right,MISS C. LeVert 7' fadeaway Shot,[1627747],1610612739.0,CLE,fadeaway,,,LeVert,C. LeVert,,,,,7.5,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M33.00S,2022-03-30T23:16:04.2Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612739,6,10,2022-03-30T23:16:04Z,410000,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
42,PT08M28.00S,2022-03-30T23:16:09.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628374,88.38699080157687,22.058823529411764,1610612739,8,10,2022-03-30T23:16:14Z,420000,-140.0,57.0,1,right,L. Markkanen 15' pullup Jump Shot (4 PTS) (C. LeVert 1 AST),"[1628374, 1627747]",1610612739.0,CLE,pullup,,,Markkanen,L. Markkanen,,,,,15.08,Made,,,,,4.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,
44,PT08M07.00S,2022-03-30T23:16:30.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,12.040078843626807,32.59803921568628,1610612742,8,10,2022-03-30T23:16:34Z,440000,87.0,61.0,1,left,MISS J. Brunson 10' turnaround fadeaway Shot,[1628973],1610612742.0,DAL,turnaround fadeaway,,,Brunson,J. Brunson,,,,,10.61,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M05.00S,2022-03-30T23:16:32.4Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,8,10,2022-03-30T23:16:34Z,450000,,,0,,M. Brown REBOUND (Off:0 Def:2),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
46,PT07M57.00S,2022-03-30T23:16:40.5Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,8,10,2022-03-30T23:16:45Z,460000,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 1629029]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,1.0,,,,,,,Doncic,1629029.0,
