actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-28T01:10:45.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T01:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-28T01:10:49.3Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2021-11-28T01:10:49Z,40000,,,0,,Jump Ball J. Allen vs. R. Lopez: Tip to D. Garland,"[1629636, 1628386, 201577]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Lopez,201577.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-28T01:11:04.4Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,0,0,2021-11-28T01:11:12Z,70000,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1628976]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,1.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-28T01:11:04.4Z,1,REGULAR,steal,,[],1628976,,,1610612753,0,0,2021-11-28T01:19:31Z,80000,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-11-28T01:11:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,92.9862023653088,52.20588235294118,1610612753,0,0,2021-11-28T01:11:19Z,90000,11.0,13.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,,,,1.73,Missed,,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-11-28T01:11:16.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,0,0,2021-11-28T01:11:16Z,100000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M22.00S,2021-11-28T01:11:22.3Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612739,0,0,2021-11-28T01:19:39Z,110000,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 203914]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,1.0,Harris,203914.0,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2021-11-28T01:11:22.3Z,1,REGULAR,steal,,[],203914,,,1610612753,0,0,2021-11-28T01:11:24Z,120000,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2021-11-28T01:11:28.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203914,80.76544021024968,93.87254901960785,1610612753,0,3,2021-11-28T01:11:34Z,130000,219.0,128.0,1,right,G. Harris 25' 3PT  (3 PTS),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,25.42,Made,,,,,3.0,,,,,,,,,,,
14,PT10M50.00S,2021-11-28T01:11:53.7Z,1,REGULAR,3pt,Jump Shot,[],1628374,8.754927726675426,2.696078431372549,1610612739,0,3,2021-11-28T01:11:58Z,140000,237.0,30.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,23.84,Missed,,,,,,,,,,,,,,,,
