actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-01T00:11:06.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T00:11:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-01T00:11:09.5Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2022-02-01T00:11:09Z,40000,,,0,,Jump Ball J. Valanciunas vs. J. Allen: Tip to J. Hart,"[1628404, 202685, 1628386]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-01T00:11:25.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629637,93.24901445466492,50.49019607843137,1610612740,0,2,2022-02-01T00:11:30Z,70000,2.0,11.0,1,right,J. Hayes driving Hook (2 PTS) (D. Graham 1 AST),"[1629637, 1628984]",1610612740.0,NOP,driving,,,Hayes,J. Hayes,,,,,1.13,Made,2.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-02-01T00:11:43.8Z,1,REGULAR,turnover,bad pass,[],1629731,,,1610612739,0,2,2022-02-01T00:11:47Z,90000,,,0,,D. Wade bad pass TURNOVER (1 TO),"[1629731, 1628404]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,1.0,Hart,1628404.0,,,,,,,,,,,,
10,PT11M21.00S,2022-02-01T00:11:43.8Z,1,REGULAR,steal,,[],1628404,,,1610612740,0,2,2022-02-01T00:11:46Z,100000,,,0,,J. Hart STEAL (1 STL),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-02-01T00:11:50.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,69.59592641261499,22.54901960784314,1610612740,0,2,2022-02-01T00:11:57Z,110000,-137.0,233.0,1,right,MISS D. Graham 27' step back 3PT,[1628984],1610612740.0,NOP,step back,,,Graham,D. Graham,,,,,27.07,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-02-01T00:11:53.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,2,2022-02-01T00:11:57Z,120000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M57.00S,2022-02-01T00:12:07.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626224,8.492115637319317,59.55882352941176,1610612739,0,2,2022-02-01T00:12:11Z,130000,-48.0,27.0,1,left,MISS C. Osman driving floating Shot,[1626224],1610612739.0,CLE,driving floating,,,Osman,C. Osman,,,,,5.5,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-02-01T00:12:09.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,2,2022-02-01T00:12:09Z,140000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M47.00S,2022-02-01T00:12:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.51182654402102,50.245098039215684,1610612740,0,4,2022-02-01T00:12:24Z,150000,1.0,8.0,1,right,J. Valanciunas driving Layup (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,0.86,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,,
17,PT10M25.00S,2022-02-01T00:12:40.2Z,1,REGULAR,2pt,Jump Shot,[],1628386,17.0335085413929,25.98039215686275,1610612739,0,4,2022-02-01T00:12:44Z,170000,120.0,108.0,1,left,MISS J. Allen 16' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,16.13,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2022-02-01T00:12:43.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,0,4,2022-02-01T00:12:44Z,180000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
