actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-04-03T22:10:16.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T22:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-03T22:10:20.6Z,1,REGULAR,jumpball,recovered,[],1629680,,,1610612755,0,0,2022-04-03T22:10:20Z,40000,,,0,,Jump Ball J. Embiid vs. M. Brown: Tip to M. Thybulle,"[1629680, 203954, 1629650]",1610612755.0,PHI,startperiod,M. Thybulle,1629680.0,Thybulle,M. Thybulle,Embiid,203954.0,Brown,1629650.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-04-03T22:10:37.9Z,1,REGULAR,foul,personal,['2freethrow'],1629650,,,1610612755,0,0,2022-04-03T22:10:48Z,70000,,,0,,M. Brown shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629650, 203954]",1610612739.0,CLE,shooting,,,Brown,M. Brown,,,,,202026.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-04-03T22:11:04.0Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,1,2022-04-03T22:11:04Z,90000,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M41.00S,2022-04-03T22:11:21.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,0,2,2022-04-03T22:11:21Z,100000,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M23.00S,2022-04-03T22:11:40.8Z,1,REGULAR,2pt,Jump Shot,[],1629636,81.2910643889619,15.441176470588236,1610612739,0,2,2022-04-03T22:11:46Z,110000,-173.0,123.0,1,right,MISS D. Garland 21' turnaround Shot,[1629636],1610612739.0,CLE,turnaround,,,Garland,D. Garland,,,,,,,,,,Missed,,21.23,,,,,,,,,,,,,
12,PT11M19.00S,2022-04-03T22:11:44.5Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612739,0,2,2022-04-03T22:11:44Z,120000,,,0,,M. Brown REBOUND (Off:1 Def:0),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,
13,PT11M19.00S,2022-04-03T22:11:45.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,69.99014454664915,21.568627450980394,1610612739,0,2,2022-04-03T22:11:51Z,130000,-142.0,230.0,1,right,MISS L. Markkanen 27' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Missed,,27.01,,,,,,,,,,,,,
14,PT11M14.00S,2022-04-03T22:11:50.6Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612739,0,2,2022-04-03T22:11:50Z,140000,,,0,,M. Brown REBOUND (Off:2 Def:0),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,13.0,2.0,0.0,2.0,,,,,,,,,
17,PT10M59.00S,2022-04-03T22:12:11.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612739,0,2,2022-04-03T22:12:43Z,170000,,,0,,CLE shot clock Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,2882.0,,,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2022-04-03T22:12:40.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,7.178055190538765,46.568627450980394,1610612755,0,4,2022-04-03T22:13:43Z,180000,17.0,15.0,1,left,J. Embiid finger roll Layup (4 PTS),[203954],1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,,,,,,Made,4.0,2.28,,,,,,,,,,,,,
