actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-05T20:41:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-05T20:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-05T20:41:04.5Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-12-05T20:41:04Z,40000,,,0,,Jump Ball R. Gobert vs. J. Allen: Tip to R. O'Neale,"[1626220, 203497, 1628386]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-12-05T20:41:23.0Z,1,REGULAR,3pt,Jump Shot,[],202711,72.22404730617609,18.137254901960784,1610612762,0,0,2021-12-05T20:41:29Z,70000,-159.0,209.0,1,right,MISS B. Bogdanovic 26' step back 3PT,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-12-05T20:41:25.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,0,0,2021-12-05T20:41:29Z,80000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M12.00S,2021-12-05T20:41:47.8Z,1,REGULAR,2pt,Jump Shot,[],1630596,7.835085413929041,26.96078431372549,1610612739,0,0,2021-12-05T20:41:52Z,90000,115.0,21.0,1,left,MISS E. Mobley 11' Jump Shot,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,11.71,Missed,,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2021-12-05T20:41:50.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,0,2021-12-05T20:41:50Z,100000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M02.00S,2021-12-05T20:41:58.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,83.13074901445466,49.26470588235294,1610612762,0,2,2021-12-05T20:42:05Z,110000,-4.0,106.0,1,right,M. Conley 10' driving floating Jump Shot (2 PTS),[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,10.62,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M50.00S,2021-12-05T20:42:10.5Z,1,REGULAR,3pt,Jump Shot,[],1630171,29.6484888304862,72.54901960784314,1610612739,3,2,2021-12-05T20:42:17Z,120000,-113.0,226.0,1,left,I. Okoro 25' 3PT  (3 PTS) (D. Garland 1 AST),"[1630171, 1629636]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,25.27,Made,,,,,3.0,D. Garland,1629636.0,1.0,,,,,,,,,,
14,PT10M34.00S,2021-12-05T20:42:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.77463863337714,50.245098039215684,1610612762,3,4,2021-12-05T20:42:32Z,140000,1.0,6.0,1,right,D. Mitchell driving Layup (2 PTS) (M. Conley 1 AST),"[1628378, 201144]",1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,0.61,Made,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,,,,
16,PT10M22.00S,2021-12-05T20:42:40.8Z,1,REGULAR,foul,personal,['2freethrow'],202711,,,1610612739,3,4,2021-12-05T20:42:47Z,160000,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Allen 2 FT),"[202711, 1628386]",1610612762.0,UTA,shooting,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,1627526.0,1.0,0.0,Allen,1628386.0,,,,,
