actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-25T00:10:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-25T00:10:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-25T00:10:12.8Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2022-01-25T00:10:12Z,40000,,,0,,Jump Ball N. Noel vs. E. Mobley: Tip to K. Walker,"[202689, 203457, 1630596]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Noel,203457.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-25T00:10:22.3Z,1,REGULAR,3pt,Jump Shot,[],203095,29.6484888304862,71.81372549019608,1610612752,0,0,2022-01-25T00:12:23Z,70000,-109.0,226.0,1,left,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-01-25T00:10:25.1Z,1,REGULAR,rebound,defensive,[],202334,,,1610612739,0,0,2022-01-25T00:10:25Z,80000,,,0,,E. Davis REBOUND (Off:0 Def:1),[202334],1610612739.0,CLE,,,,Davis,E. Davis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-01-25T00:10:42.8Z,1,REGULAR,2pt,Hook,[],1630596,89.56964520367937,33.82352941176471,1610612739,0,0,2022-01-25T00:11:41Z,90000,-81.0,46.0,1,right,MISS E. Mobley 9' Hook,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,9.28,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-01-25T00:10:45.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2022-01-25T00:10:45Z,100000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2022-01-25T00:10:51.8Z,1,REGULAR,2pt,Jump Shot,[],203944,14.14257555847569,78.43137254901961,1610612752,0,0,2022-01-25T00:12:21Z,110000,-142.0,80.0,1,left,MISS J. Randle 16' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,16.34,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-01-25T00:10:54.2Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2022-01-25T00:10:54Z,120000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M07.00S,2022-01-25T00:11:01.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,94.30026281208936,46.81372549019608,1610612739,2,0,2022-01-25T00:12:41Z,130000,-16.0,1.0,1,right,E. Mobley cutting DUNK (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,1.59,Made,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,
15,PT10M44.00S,2022-01-25T00:11:24.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203944,10.200394218134035,64.2156862745098,1610612752,2,0,2022-01-25T00:12:49Z,150000,-71.0,43.0,1,left,MISS J. Randle 8' turnaround Hook,[203944],1610612752.0,NYK,turnaround,,,Randle,J. Randle,,,,,8.33,Missed,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2022-01-25T00:11:28.6Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,2,0,2022-01-25T00:11:28Z,160000,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M37.00S,2022-01-25T00:11:31.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203095,4.517082785808142,8.57843137254902,1610612752,2,2,2022-01-25T00:14:35Z,170000,207.0,-10.0,1,left,E. Fournier 20' Jump Shot (2 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,20.73,Made,,,,,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,
19,PT10M13.00S,2022-01-25T00:11:55.4Z,1,REGULAR,3pt,Jump Shot,[],1629636,66.70499342969777,33.82352941176471,1610612739,2,2,2022-01-25T00:12:05Z,190000,-81.0,260.0,1,right,MISS D. Garland 27' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,27.28,Missed,,,,,,,,,,,,,,,,,,
