actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-10T00:10:17.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-10T00:10:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-10T00:10:20.4Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2022-02-10T00:10:20Z,40000,,,0,,Jump Ball J. Allen vs. J. Poeltl: Tip to E. Mobley,"[1630596, 1628386, 1627751]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-10T00:10:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,88.25558475689881,60.5392156862745,1610612739,0,0,2022-02-10T00:10:43Z,70000,53.0,58.0,1,right,MISS D. Garland 7' turnaround fadeaway Shot,[1629636],1610612739.0,CLE,turnaround fadeaway,,,Garland,D. Garland,,,,,7.83,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-10T00:10:39.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-02-10T00:10:43Z,80000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-02-10T00:10:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,10.726018396846255,42.8921568627451,1610612759,0,0,2022-02-10T00:10:53Z,90000,36.0,48.0,1,left,MISS D. Murray driving floating Shot,[1627749],1610612759.0,SAS,driving floating,,,Murray,D. Murray,,,,,5.99,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-02-10T00:10:51.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2022-02-10T00:10:53Z,100000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-02-10T00:11:03.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,90.62089356110381,44.11764705882353,1610612739,0,0,2022-02-10T00:11:08Z,110000,-29.0,36.0,1,right,MISS E. Mobley driving Hook,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,4.62,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-02-10T00:11:05.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-02-10T00:11:08Z,120000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M06.00S,2022-02-10T00:11:11.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,6.1268068331143235,2.941176470588235,1610612759,0,3,2022-02-10T00:11:20Z,130000,235.0,5.0,1,left,K. Johnson 3PT  (3 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,23.54,Made,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,,
15,PT10M50.00S,2022-02-10T00:11:32.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,3,2022-02-10T00:11:32Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2022-02-10T00:11:50.9Z,1,REGULAR,violation,kicked ball,[],1627751,,,1610612739,0,3,2022-02-10T00:11:58Z,160000,,,0,,J. Poeltl kicked ball VIOLATION,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,1626302.0,,,,,,,,,,
