actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-16T00:10:35.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T00:10:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-16T00:10:39.5Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-11-16T00:10:39Z,40000,,,0,,Jump Ball R. Williams III vs. E. Mobley: Tip to M. Smart,"[203935, 1629057, 1630596]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-11-16T00:10:57.8Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,0,0,2021-11-16T00:11:13Z,70000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,1146.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2021-11-16T00:11:33.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630171,6.783837056504599,4.166666666666666,1610612739,0,0,2021-11-16T00:11:41Z,80000,229.0,11.0,1,left,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,22.95,Missed,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2021-11-16T00:11:35.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-11-16T00:11:41Z,90000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M01.00S,2021-11-16T00:11:47.0Z,1,REGULAR,3pt,Jump Shot,[],203935,89.30683311432325,95.09803921568627,1610612738,0,0,2021-11-16T00:11:54Z,100000,225.0,48.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,23.06,Missed,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2021-11-16T00:11:49.0Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2021-11-16T00:11:54Z,110000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M49.00S,2021-11-16T00:11:58.9Z,1,REGULAR,3pt,Jump Shot,[],1629636,5.206964520367937,97.79411764705883,1610612739,3,0,2021-11-16T00:12:03Z,120000,-239.0,-4.0,1,left,D. Garland 3PT  (3 PTS) (R. Rubio 1 AST),"[1629636, 201937]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,23.9,Made,,,,,3.0,R. Rubio,201937.0,1.0,,,,,,,,,
14,PT10M39.00S,2021-11-16T00:12:10.3Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,3,0,2021-11-16T00:12:17Z,140000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 1630171]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,1.0,,,,,,,,,,,Okoro,1630171.0,,,,,,,
15,PT10M39.00S,2021-11-16T00:12:10.3Z,1,REGULAR,steal,,[],1630171,,,1610612739,3,0,2021-11-16T00:12:12Z,150000,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
