actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M57.00S,2021-10-22T23:13:39.1Z,1,REGULAR,steal,,[],201937,,,1610612739,0,2,2021-10-22T23:13:42Z,160000,,,0,,R. Rubio STEAL (1 STL),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2021-10-22T23:13:48.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628386,92.72339027595268,51.225490196078425,1610612739,0,2,2021-10-22T23:13:53Z,170000,6.0,16.0,1,right,MISS J. Allen driving Layup,[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,,,,1.7,Missed,,,,,,,,,,,,,,,
19,PT10M44.00S,2021-10-22T23:13:52.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,2,2021-10-22T23:13:53Z,190000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,17.0,2.0,1.0,1.0,,,,,,,
20,PT10M42.00S,2021-10-22T23:13:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,5.601182654402102,50.0,1610612766,0,4,2021-10-22T23:14:01Z,200000,0.0,0.0,1,left,M. Plumlee alley-oop Layup (2 PTS) (G. Hayward 1 AST),"[203486, 202330]",1610612766.0,CHA,alley-oop,,,Plumlee,M. Plumlee,,,,,,,,0.02,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,
22,PT10M21.00S,2021-10-22T23:14:16.0Z,1,REGULAR,3pt,Jump Shot,[],201937,77.08607095926413,8.088235294117647,1610612739,3,4,2021-10-22T23:14:21Z,220000,-210.0,163.0,1,right,R. Rubio 26' 3PT  (3 PTS) (J. Allen 1 AST),"[201937, 1628386]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,26.55,Made,3.0,J. Allen,1628386.0,1.0,,,,,,,,,,,
24,PT09M58.00S,2021-10-22T23:14:37.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,28.465834428383708,72.54901960784314,1610612766,3,4,2021-10-22T23:14:42Z,240000,-113.0,215.0,1,left,MISS M. Bridges 24' step back 3PT,[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,,,,24.28,Missed,,,,,,,,,,,,,,,
25,PT09M56.00S,2021-10-22T23:14:39.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,4,2021-10-22T23:14:42Z,250000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,
26,PT09M46.00S,2021-10-22T23:14:49.8Z,1,REGULAR,2pt,Jump Shot,[],1629012,92.32917214191852,70.09803921568627,1610612739,5,4,2021-10-22T23:14:54Z,260000,100.0,20.0,1,right,C. Sexton 10' pullup Jump Shot (2 PTS) (E. Mobley 1 AST),"[1629012, 1630596]",1610612739.0,CLE,pullup,,,Sexton,C. Sexton,,,,,,,,10.24,Made,2.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,
28,PT09M33.00S,2021-10-22T23:15:03.4Z,1,REGULAR,2pt,Jump Shot,[],202330,15.850854139290407,21.07843137254902,1610612766,5,6,2021-10-22T23:15:08Z,280000,145.0,96.0,1,left,G. Hayward 17' step back Jump Shot (2 PTS),[202330],1610612766.0,CHA,step back,,,Hayward,G. Hayward,,,,,,,,17.38,Made,2.0,,,,,,,,,,,,,,
29,PT09M19.00S,2021-10-22T23:15:17.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,91.01511169513797,3.6764705882352944,1610612739,8,6,2021-10-22T23:15:33Z,290000,-232.0,32.0,1,right,L. Markkanen 3PT  (3 PTS) (J. Allen 2 AST),"[1628374, 1628386]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,23.38,Made,3.0,J. Allen,1628386.0,2.0,,,,,,,,,,,
31,PT08M59.00S,2021-10-22T23:15:40.2Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612766,8,6,2021-10-22T23:15:53Z,310000,,,0,,J. Allen shooting personal FOUL (1 PF) (Rozier 2 FT),"[1628386, 1626179]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Rozier,1626179.0,,
33,PT08M59.00S,2021-10-22T23:16:03.7Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,8,7,2021-10-22T23:16:03Z,330000,,,0,,T. Rozier Free Throw 1 of 2 (1 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
34,PT08M59.00S,2021-10-22T23:16:21.7Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,8,8,2021-10-22T23:16:21Z,340000,,,0,,T. Rozier Free Throw 2 of 2 (2 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
35,PT08M38.00S,2021-10-22T23:16:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201937,85.3646517739816,44.36274509803921,1610612739,8,8,2021-10-22T23:16:48Z,350000,-28.0,85.0,1,right,MISS R. Rubio 8' fadeaway Shot,[201937],1610612739.0,CLE,fadeaway,,,Rubio,R. Rubio,,,,,,,,8.97,Missed,,,,,,,,,,,,,,,
36,PT08M36.00S,2021-10-22T23:16:46.0Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,8,8,2021-10-22T23:16:48Z,360000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,35.0,3.0,2.0,1.0,,,,,,,
37,PT08M28.00S,2021-10-22T23:16:55.1Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,8,8,2021-10-22T23:16:59Z,370000,,,0,,L. Ball lost ball TURNOVER (1 TO),"[1630163, 201937]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,1.0,Rubio,201937.0,,,,,,,,,,,,,,,,,
38,PT08M28.00S,2021-10-22T23:16:55.1Z,1,REGULAR,steal,,[],201937,,,1610612739,8,8,2021-10-22T23:16:57Z,380000,,,0,,R. Rubio STEAL (2 STL),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M28.00S,2021-10-22T23:16:59.5Z,1,REGULAR,foul,personal,[],1630163,,,1610612739,8,8,2021-10-22T23:17:09Z,390000,,,0,,L. Ball loose ball personal FOUL (1 PF),"[1630163, 201937]",1610612766.0,CHA,loose ball,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Rubio,201937.0,,
41,PT08M20.00S,2021-10-22T23:17:33.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628386,93.51182654402102,49.50980392156863,1610612739,10,8,2021-10-22T23:32:24Z,410000,-2.0,8.0,1,right,J. Allen driving finger roll Layup (2 PTS) (R. Rubio 1 AST),"[1628386, 201937]",1610612739.0,CLE,driving finger roll,,,Allen,J. Allen,,,,,,,,0.89,Made,2.0,R. Rubio,201937.0,1.0,,,,,,,,,,,
43,PT08M20.00S,2021-10-22T23:17:36.6Z,1,REGULAR,foul,personal,['1freethrow'],1628970,,,1610612739,10,8,2021-10-22T23:17:47Z,430000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Allen 1 FT),"[1628970, 1628386]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Allen,1628386.0,,
45,PT08M20.00S,2021-10-22T23:17:56.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628386,,,1610612739,11,8,2021-10-22T23:17:56Z,450000,,,0,,J. Allen Free Throw 1 of 1 (3 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
46,PT08M05.00S,2021-10-22T23:18:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,4.681340341655716,52.20588235294118,1610612766,11,10,2021-10-22T23:18:24Z,460000,-11.0,-8.0,1,left,M. Plumlee cutting Layup (4 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,,,,1.39,Made,4.0,L. Ball,1630163.0,1.0,,,,,,,,,,,
48,PT07M52.00S,2021-10-22T23:18:26.2Z,1,REGULAR,3pt,Jump Shot,[],201937,67.62483574244416,28.186274509803923,1610612739,11,10,2021-10-22T23:18:32Z,480000,-109.0,252.0,1,right,MISS R. Rubio 27' 3PT,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,27.44,Missed,,,,,,,,,,,,,,,
49,PT07M47.00S,2021-10-22T23:18:31.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,11,10,2021-10-22T23:18:32Z,490000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,
50,PT07M42.00S,2021-10-22T23:18:35.7Z,1,REGULAR,3pt,Jump Shot,[],1626179,26.49474375821288,16.42156862745098,1610612766,11,10,2021-10-22T23:18:41Z,500000,168.0,197.0,1,left,MISS T. Rozier 25' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,,,,25.85,Missed,,,,,,,,,,,,,,,
51,PT07M41.00S,2021-10-22T23:18:36.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,11,10,2021-10-22T23:18:41Z,510000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,
52,PT07M27.00S,2021-10-22T23:18:59.3Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612739,11,10,2021-10-22T23:19:08Z,520000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Mobley 2 FT),"[203486, 1630596]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Mobley,1630596.0,,
54,PT07M27.00S,2021-10-22T23:19:20.7Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,12,10,2021-10-22T23:19:20Z,540000,,,0,,E. Mobley Free Throw 1 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
55,PT07M27.00S,2021-10-22T23:19:39.0Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,13,10,2021-10-22T23:19:39Z,550000,,,0,,E. Mobley Free Throw 2 of 2 (2 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
56,PT07M16.00S,2021-10-22T23:19:54.5Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,13,10,2021-10-22T23:20:01Z,560000,,,0,,M. Plumlee bad pass TURNOVER (2 TO),"[203486, 1630596]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,2.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,
57,PT07M16.00S,2021-10-22T23:19:54.5Z,1,REGULAR,steal,,[],1630596,,,1610612739,13,10,2021-10-22T23:19:59Z,570000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M09.00S,2021-10-22T23:20:00.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629012,91.80354796320631,53.431372549019606,1610612739,15,10,2021-10-22T23:20:06Z,580000,17.0,25.0,1,right,C. Sexton running Layup (4 PTS) (R. Rubio 2 AST),"[1629012, 201937]",1610612739.0,CLE,running,,,Sexton,C. Sexton,,,,,,,,2.99,Made,4.0,R. Rubio,201937.0,2.0,,,,,,,,,,,
60,PT07M03.00S,2021-10-22T23:20:17.3Z,1,REGULAR,foul,personal,[],1628386,,,1610612766,15,10,2021-10-22T23:20:32Z,600000,,,0,,J. Allen personal FOUL (2 PF),"[1628386, 203486]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,1628951.0,2.0,0.0,Plumlee,203486.0,,
62,PT07M03.00S,2021-10-22T23:20:31.7Z,1,REGULAR,substitution,out,[],1628386,,,1610612766,15,10,2021-10-22T23:21:03Z,620000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M03.00S,2021-10-22T23:20:31.7Z,1,REGULAR,substitution,out,[],1629012,,,1610612766,15,10,2021-10-22T23:21:03Z,630000,,,0,,SUB out: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2021-10-22T23:20:31.7Z,1,REGULAR,substitution,in,[],201567,,,1610612766,15,10,2021-10-22T23:21:03Z,640000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M03.00S,2021-10-22T23:20:31.7Z,1,REGULAR,substitution,in,[],1630171,,,1610612766,15,10,2021-10-22T23:22:07Z,655000,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
103,PT06M54.00S,2021-10-22T23:20:49.1Z,1,REGULAR,2pt,Jump Shot,[],202330,8.984888304862025,26.225490196078425,1610612766,15,10,2021-10-22T23:28:11Z,657500,119.0,32.0,1,left,MISS G. Hayward 12' fadeaway Shot,[202330],1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,,,,12.31,Missed,,,,,,,,,,,,,,,
104,PT06M53.00S,2021-10-22T23:20:50.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,15,10,2021-10-22T23:28:11Z,658750,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,103.0,1.0,1.0,0.0,,,,,,,
111,PT06M48.00S,2021-10-22T23:20:57.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,72.84822601839684,20.833333333333343,1610612739,15,10,2021-10-22T23:29:04Z,659375,-146.0,203.0,1,right,MISS L. Markkanen 24' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,24.97,Missed,,,,,,,,,,,,,,,
112,PT06M46.00S,2021-10-22T23:20:59.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,15,10,2021-10-22T23:29:04Z,659687,,,0,,M. Plumlee REBOUND (Off:1 Def:3),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,111.0,4.0,3.0,1.0,,,,,,,
121,PT06M39.00S,2021-10-22T23:21:02.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,20.154402102496718,92.6470588235294,1610612766,15,10,2021-10-22T23:30:13Z,659843,-213.0,137.0,1,left,MISS G. Hayward 25' running 3PT,[202330],1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,,,,25.34,Missed,,,,,,,,,,,,,,,
122,PT06M37.00S,2021-10-22T23:21:04.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,15,10,2021-10-22T23:30:11Z,659921,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,121.0,2.0,2.0,0.0,,,,,,,
66,PT06M28.00S,2021-10-22T23:21:06.5Z,1,REGULAR,3pt,Jump Shot,[],201937,79.84559789750328,4.411764705882353,1610612739,18,10,2021-10-22T23:21:12Z,660000,-228.0,137.0,1,right,R. Rubio 26' 3PT  (6 PTS),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,26.59,Made,6.0,,,,,,,,,,,,,,
