actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-02-27T01:10:58.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T01:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-27T01:11:00.8Z,1,REGULAR,jumpball,recovered,[],1629164,,,1610612739,0,0,2022-02-27T01:11:00Z,40000,,,0,,Jump Ball J. Allen vs. D. Gafford: Tip to B. Goodwin,"[1629164, 1628386, 1629655]",1610612739.0,CLE,startperiod,B. Goodwin,1629164.0,Goodwin,B. Goodwin,Allen,1628386.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-27T01:11:18.0Z,1,REGULAR,2pt,Jump Shot,[],1628374,83.39356110381078,25.735294117647058,1610612739,0,0,2022-02-27T01:11:23Z,70000,-121.0,104.0,1,right,MISS L. Markkanen 15' turnaround fadeaway Shot,[1628374],1610612739.0,CLE,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,15.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-27T01:11:20.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2022-02-27T01:11:23Z,80000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-27T01:11:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203526,16.376478318002626,36.76470588235294,1610612764,0,0,2022-02-27T01:11:37Z,90000,66.0,101.0,1,left,MISS R. Neto 12' driving floating Shot,[203526],1610612764.0,WAS,driving floating,,,Neto,R. Neto,,,,,12.11,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-02-27T01:11:32.7Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,0,2022-02-27T01:11:37Z,100000,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M22.00S,2022-02-27T01:11:35.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629655,5.863994743758213,50.49019607843137,1610612764,0,2,2022-02-27T01:11:43Z,110000,-2.0,3.0,1,left,D. Gafford putback Layup (2 PTS),[1629655],1610612764.0,WAS,putback,,,Gafford,D. Gafford,,,,,0.36,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M58.00S,2022-02-27T01:11:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,93.11760840998686,49.26470588235294,1610612739,0,2,2022-02-27T01:12:03Z,120000,-4.0,12.0,1,right,MISS I. Okoro driving Layup,[1630171],1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,1.27,Missed,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2022-02-27T01:12:00.8Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,0,2,2022-02-27T01:12:03Z,130000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M39.00S,2022-02-27T01:12:17.8Z,1,REGULAR,3pt,Jump Shot,[],1628398,29.25427069645204,28.186274509803923,1610612764,0,2,2022-02-27T01:12:22Z,140000,109.0,222.0,1,left,MISS K. Kuzma 24' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,24.78,Missed,,,,,,,,,,,,,,,,,,
