actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
28,PT10M08.00S,2021-11-23T00:14:24.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,4,4,2021-11-23T00:14:39Z,260000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M59.00S,2021-11-23T00:14:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,5.863994743758213,49.754901960784316,1610612751,4,6,2021-11-23T00:14:43Z,270000,1.0,3.0,1,left,D. Bembry Layup (2 PTS) (K. Durant 1 AST),"[1627761, 201142]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,0.29,Made,,,,,,,,,,,,2.0,K. Durant,201142.0,1.0,,,,
31,PT09M48.00S,2021-11-23T00:14:45.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,73.01248357424441,82.84313725490196,1610612739,4,6,2021-11-23T00:16:46Z,290000,164.0,201.0,1,right,MISS D. Garland 25' step back 3PT,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M46.00S,2021-11-23T00:14:47.0Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,4,6,2021-11-23T00:15:11Z,300000,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,
33,PT09M45.00S,2021-11-23T00:14:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630171,93.9060446780552,50.245098039215684,1610612739,6,6,2021-11-23T00:15:30Z,310000,1.0,5.0,1,right,I. Okoro putback Layup (2 PTS),[1630171],1610612739.0,CLE,putback,,,Okoro,I. Okoro,,,,,0.49,Made,,,,,,,,,,,,2.0,,,,,,,
34,PT09M26.00S,2021-11-23T00:15:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627761,6.389618922470433,94.6078431372549,1610612751,6,6,2021-11-23T00:15:16Z,320000,-223.0,8.0,1,left,MISS D. Bembry 3PT,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,22.31,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M24.00S,2021-11-23T00:15:08.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,6,6,2021-11-23T00:15:16Z,330000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT09M18.00S,2021-11-23T00:15:15.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,96.40275952693824,97.05882352941177,1610612739,6,6,2021-11-23T00:15:20Z,340000,235.0,-19.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,23.6,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M13.00S,2021-11-23T00:15:19.5Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,6,6,2021-11-23T00:15:19Z,350000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT09M07.00S,2021-11-23T00:15:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,5.995400788436268,49.26470588235294,1610612751,6,6,2021-11-23T00:15:34Z,360000,4.0,4.0,1,left,MISS D. Bembry Layup - blocked,"[1627761, 1628386]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,0.54,Missed,Allen,1628386.0,,,,,,,,,,,,,,,,,
