actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-14T00:10:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T00:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-14T00:10:32.7Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2021-12-14T00:10:32Z,40000,,,0,,Jump Ball J. Allen vs. D. Dedmon: Tip to L. Markkanen,"[1628374, 1628386, 203473]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Allen,1628386.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-14T00:10:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,92.32917214191852,52.20588235294118,1610612739,0,0,2021-12-14T00:10:57Z,70000,11.0,20.0,1,right,MISS L. Markkanen Layup - blocked,"[1628374, 1629216]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,2.25,Missed,Vincent,1629216.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-14T00:10:44.5Z,1,REGULAR,block,,[],1629216,,,1610612739,0,0,2021-12-14T00:10:49Z,80000,,,0,,G. Vincent BLOCK (1 BLK),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2021-12-14T00:10:44.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2021-12-14T00:10:57Z,90000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
10,PT11M45.00S,2021-12-14T00:10:58.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,0,2021-12-14T00:10:58Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M44.00S,2021-12-14T00:11:02.4Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612739,0,0,2021-12-14T00:12:48Z,110000,,,0,,D. Robinson away-from-play personal FOUL (1 PF) (Markkanen 1 FT),"[1629130, 1628374]",1610612748.0,MIA,away-from-play,,,Robinson,D. Robinson,,,,,,,,,,201639.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,,,
16,PT11M44.00S,2021-12-14T00:12:50.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629636,,,1610612739,1,0,2021-12-14T00:12:50Z,160000,,,0,,D. Garland away-from-play Free Throw 1 of 1 (1 PTS),[1629636],1610612739.0,CLE,away-from-play,,,Garland,D. Garland,,,,,,Made,,,,,,,,,1.0,,,,,,,,,,
17,PT11M31.00S,2021-12-14T00:13:07.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630596,73.14388961892247,35.294117647058826,1610612739,1,0,2021-12-14T00:16:36Z,162500,-74.0,200.0,1,right,MISS E. Mobley 21' Jump Shot,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,21.3,Missed,,,,,,,,,,,,,,,,,,,
18,PT11M30.00S,2021-12-14T00:13:08.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,1,0,2021-12-14T00:18:48Z,163750,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,
19,PT11M30.00S,2021-12-14T00:13:14.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612739,1,0,2021-12-14T00:16:43Z,165000,,,0,,CLE shot clock Team TURNOVER,[],1610612739.0,CLE,,,,,,,,,,,,,,,201245.0,,,,,,,,,,,,,,,
20,PT11M22.00S,2021-12-14T00:13:35.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,1,0,2021-12-14T00:13:35Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
