actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-21T23:10:48.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-21T23:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-21T23:10:51.0Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,0,0,2022-03-21T23:10:51Z,40000,,,0,,Jump Ball D. Howard vs. E. Mobley: Tip to A. Reaves,"[1630559, 2730, 1630596]",1610612747.0,LAL,startperiod,A. Reaves,1630559.0,Reaves,A. Reaves,Howard,2730.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-21T23:11:05.1Z,1,REGULAR,2pt,Jump Shot,[],2544,20.71287779237845,62.254901960784316,1610612747,0,2,2022-03-21T23:11:11Z,70000,-61.0,142.0,1,left,L. James 15' turnaround fadeaway Jump Shot (2 PTS) (R. Westbrook 1 AST),"[2544, 201566]",1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,15.49,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-03-21T23:11:30.2Z,1,REGULAR,turnover,lost ball,[],1630205,,,1610612739,0,2,2022-03-21T23:11:35Z,90000,,,0,,L. Stevens lost ball TURNOVER (1 TO),"[1630205, 201566]",1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,1.0,Westbrook,201566.0,,,,,,,,,,,,
10,PT11M17.00S,2022-03-21T23:11:30.2Z,1,REGULAR,steal,,[],201566,,,1610612747,0,2,2022-03-21T23:11:32Z,100000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-03-21T23:11:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630559,5.469776609724048,50.0,1610612747,0,4,2022-03-21T23:11:42Z,110000,0.0,-1.0,1,left,A. Reaves running Layup (2 PTS) (R. Westbrook 2 AST),"[1630559, 201566]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,0.11,Made,2.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-03-21T23:11:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,92.59198423127464,51.71568627450981,1610612739,0,4,2022-03-21T23:11:52Z,130000,9.0,17.0,1,right,MISS D. Garland driving reverse Layup,[1629636],1610612739.0,CLE,driving reverse,,,Garland,D. Garland,,,,,1.91,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2022-03-21T23:11:48.1Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,4,2022-03-21T23:11:52Z,140000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M51.00S,2022-03-21T23:11:56.6Z,1,REGULAR,2pt,Jump Shot,[],1630559,6.389618922470433,25.245098039215684,1610612747,0,6,2022-03-21T23:12:02Z,150000,124.0,8.0,1,left,A. Reaves 12' Jump Shot (4 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,12.4,Made,4.0,L. James,2544.0,1.0,,,,,,,,,,,,,,,
17,PT10M38.00S,2022-03-21T23:12:09.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,65.65374507227332,54.90196078431373,1610612739,0,6,2022-03-21T23:12:14Z,170000,25.0,270.0,1,right,MISS L. Markkanen 27' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,27.15,Missed,,,,,,,,,,,,,,,,,,,
