actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-16T23:10:33.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-16T23:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-16T23:10:36.2Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-03-16T23:10:36Z,40000,,,0,,Jump Ball E. Mobley vs. J. Embiid: Tip to D. Garland,"[1629636, 1630596, 203954]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Mobley,1630596.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-16T23:10:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630205,87.33574244415243,58.82352941176471,1610612739,0,0,2022-03-16T23:11:04Z,70000,44.0,67.0,1,right,MISS L. Stevens 7' step back Shot,[1630205],1610612739.0,CLE,step back,,,Stevens,L. Stevens,,,,,7.98,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-03-16T23:10:54.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-03-16T23:11:04Z,80000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-03-16T23:11:08.0Z,1,REGULAR,2pt,Jump Shot,[],203954,24.129434954007884,43.872549019607845,1610612755,0,2,2022-03-16T23:11:15Z,90000,31.0,174.0,1,left,J. Embiid 17' Jump Shot (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,17.7,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M00.00S,2022-03-16T23:11:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,94.03745072273325,50.49019607843137,1610612739,0,2,2022-03-16T23:11:39Z,100000,2.0,4.0,1,right,MISS D. Garland driving finger roll Layup,[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,0.43,Missed,,,,,,,,,,,,,,,,,,,
11,PT10M57.00S,2022-03-16T23:11:35.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,2,2022-03-16T23:11:39Z,110000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
12,PT10M55.00S,2022-03-16T23:11:37.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202699,26.231931668856767,18.38235294117647,1610612755,0,2,2022-03-16T23:12:01Z,120000,158.0,194.0,1,left,MISS T. Harris 25' running 3PT,[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-03-16T23:11:41.5Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,0,2,2022-03-16T23:11:47Z,130000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M39.00S,2022-03-16T23:11:53.2Z,1,REGULAR,2pt,Jump Shot,[],1628374,84.44480946123521,33.33333333333333,1610612739,0,2,2022-03-16T23:12:00Z,140000,-83.0,94.0,1,right,MISS L. Markkanen 12' turnaround fadeaway Shot,[1628374],1610612739.0,CLE,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,12.54,Missed,,,,,,,,,,,,,,,,,,,
