actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-23T01:10:21.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-23T01:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-01-23T01:10:26.7Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-01-23T01:10:26Z,40000,,,0,,Jump Ball J. Allen vs. D. Bazley: Tip to D. Garland,"[1629636, 1628386, 1629647]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Bazley,1629647.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-01-23T01:10:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,91.14651773981603,57.84313725490197,1610612739,2,0,2022-01-23T01:10:52Z,70000,39.0,31.0,1,right,E. Mobley driving floating Jump Shot (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,driving floating,,,Mobley,E. Mobley,,,,,4.98,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-01-23T01:10:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,5.863994743758213,49.01960784313725,1610612760,2,2,2022-01-23T01:11:07Z,90000,5.0,3.0,1,left,L. Dort driving Layup (2 PTS),[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,0.55,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2022-01-23T01:11:15.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.38042049934296,50.49019607843137,1610612739,2,2,2022-01-23T01:12:10Z,100000,2.0,10.0,1,right,MISS J. Allen DUNK,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,1.0,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2022-01-23T01:11:18.4Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,2,2022-01-23T01:11:22Z,110000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M57.00S,2022-01-23T01:11:23.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629647,5.863994743758213,48.77450980392157,1610612760,2,4,2022-01-23T01:11:29Z,120000,6.0,3.0,1,left,D. Bazley driving DUNK (2 PTS),[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,0.66,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2022-01-23T01:11:38.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,94.03745072273325,49.50980392156863,1610612739,4,4,2022-01-23T01:11:44Z,130000,-2.0,4.0,1,right,J. Allen driving Hook (2 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,0.43,Made,2.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,,
15,PT10M19.00S,2022-01-23T01:12:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,8.360709592641262,47.05882352941176,1610612760,4,4,2022-01-23T01:12:07Z,150000,15.0,26.0,1,left,MISS J. Giddey cutting Layup,[1630581],1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,3.0,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M14.00S,2022-01-23T01:12:06.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,4,2022-01-23T01:12:07Z,160000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M07.00S,2022-01-23T01:12:13.8Z,1,REGULAR,2pt,Jump Shot,[],1629636,76.16622864651774,30.637254901960787,1610612739,4,4,2022-01-23T01:12:18Z,170000,-97.0,172.0,1,right,MISS D. Garland 19' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,19.69,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M03.00S,2022-01-23T01:12:17.8Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,4,4,2022-01-23T01:12:18Z,180000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,
19,PT09M42.00S,2022-01-23T01:12:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,10.85742444152431,49.50980392156863,1610612760,4,4,2022-01-23T01:14:06Z,190000,2.0,50.0,1,left,MISS D. Bazley driving Layup - blocked,"[1629647, 1628374]",1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,4.97,Missed,,,,,,,,,Markkanen,1628374.0,,,,,,,,,
20,PT09M42.00S,2022-01-23T01:12:40.1Z,1,REGULAR,block,,[],1628374,,,1610612760,4,4,2022-01-23T01:12:46Z,200000,,,0,,L. Markkanen BLOCK (1 BLK),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M41.00S,2022-01-23T01:12:41.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,4,4,2022-01-23T01:14:22Z,210000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
