actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
23,PT10M38.00S,2021-11-13T00:43:43.7Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,3,0,2021-11-13T00:43:43Z,230000,,,0,,E. Mobley Free Throw 2 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
24,PT10M15.00S,2021-11-13T00:44:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.1268068331143235,50.245098039215684,1610612765,3,0,2021-11-13T00:44:22Z,240000,-1.0,5.0,1,left,MISS J. Grant driving reverse Layup,[203924],1610612765.0,DET,driving reverse,,,Grant,J. Grant,,,,,,,,,,0.52,Missed,,,,,,,,,,,,,,
25,PT10M14.00S,2021-11-13T00:44:10.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,3,0,2021-11-13T00:50:47Z,250000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
26,PT10M14.00S,2021-11-13T00:44:53.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612739,3,0,2021-11-13T00:50:47Z,260000,,,0,,Jump Ball D. Wade vs. L. Garza: Tip to Team (CLE),"[1629731, 1630568]",1610612739.0,CLE,heldball,Team (CLE),,,,Wade,1629731.0,Garza,1630568.0,,,,,,,,,,,,,,,,,,,,,
31,PT09M56.00S,2021-11-13T00:45:13.8Z,1,REGULAR,2pt,Jump Shot,[],1630596,91.14651773981603,29.411764705882355,1610612739,3,0,2021-11-13T00:50:21Z,310000,-103.0,31.0,1,right,MISS E. Mobley 10' pullup bank Shot,[1630596],1610612739.0,CLE,pullup bank,,,Mobley,E. Mobley,,,,,,,,,,10.74,Missed,,,,,,,,,,,,,,
32,PT09M56.00S,2021-11-13T00:45:13.8Z,1,REGULAR,rebound,defensive,[],1630568,,,1610612765,3,0,2021-11-13T00:52:29Z,320000,,,0,,L. Garza REBOUND (Off:0 Def:1),[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M56.00S,2021-11-13T00:45:19.0Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,3,0,2021-11-13T00:45:42Z,330000,,,0,,C. Cunningham lost ball out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,lost ball,,,Cunningham,C. Cunningham,,,,,1162.0,,,,,,,,,,,,1.0,,,,,,,,
34,PT09M54.00S,2021-11-13T00:45:44.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,76.69185282522996,7.598039215686274,1610612739,6,0,2021-11-13T00:45:54Z,340000,-212.0,167.0,1,right,D. Garland 26' 3PT  (5 PTS) (D. Wade 1 AST),"[1629636, 1629731]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,26.96,Made,5.0,,,,,,,,D. Wade,1629731.0,1.0,,,
36,PT09M37.00S,2021-11-13T00:46:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,38.32128777923784,52.69607843137255,1610612765,6,0,2021-11-13T00:46:10Z,360000,-13.0,308.0,1,left,MISS S. Bey 30' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,30.8,Missed,,,,,,,,,,,,,,
37,PT09M32.00S,2021-11-13T00:46:06.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,6,0,2021-11-13T00:46:10Z,370000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,
