actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-17T20:10:25.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-17T20:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-01-17T20:10:30.1Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-01-17T20:10:30Z,40000,,,0,,Jump Ball J. Allen vs. D. Sharpe: Tip to L. Markkanen,"[1628374, 1628386, 1630549]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Allen,1628386.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-17T20:10:38.4Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612739,0,0,2022-01-17T20:10:42Z,70000,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 202681]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,1.0,Irving,202681.0,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-01-17T20:10:38.4Z,1,REGULAR,steal,,[],202681,,,1610612751,0,0,2022-01-17T20:10:40Z,80000,,,0,,K. Irving STEAL (1 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-01-17T20:10:52.9Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,0,0,2022-01-17T20:10:57Z,90000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1629636]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,1.0,Garland,1629636.0,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-01-17T20:10:52.9Z,1,REGULAR,steal,,[],1629636,,,1610612739,0,0,2022-01-17T20:14:56Z,100000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2022-01-17T20:10:58.6Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1629636,81.8166885676741,68.87254901960785,1610612739,2,0,2022-01-17T20:11:04Z,110000,94.0,118.0,1,right,D. Garland 15' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,15.14,Made,2.0,,,,,,,,,,,,,,,
12,PT10M59.00S,2022-01-17T20:11:24.7Z,1,REGULAR,3pt,Jump Shot,[],201988,13.091327201051248,96.07843137254902,1610612751,2,0,2022-01-17T20:11:28Z,120000,-230.0,71.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,24.1,Missed,,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-01-17T20:11:26.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,0,2022-01-17T20:11:28Z,130000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M55.00S,2022-01-17T20:11:29.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630171,94.30026281208936,50.98039215686274,1610612739,4,0,2022-01-17T20:11:35Z,140000,5.0,1.0,1,right,I. Okoro running DUNK (2 PTS) (D. Garland 1 AST),"[1630171, 1629636]",1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,,,,0.5,Made,2.0,,,,,D. Garland,1629636.0,1.0,,,,,,,,
16,PT10M38.00S,2022-01-17T20:11:45.8Z,1,REGULAR,2pt,Jump Shot,[],1630556,13.748357424441524,28.921568627450984,1610612751,4,2,2022-01-17T20:11:50Z,160000,105.0,77.0,1,left,K. Edwards 13' pullup Jump Shot (2 PTS) (J. Harden 1 AST),"[1630556, 201935]",1610612751.0,BKN,pullup,,,Edwards,K. Edwards,,,,,,,,13.04,Made,2.0,,,,,J. Harden,201935.0,1.0,,,,,,,,
