actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-10T19:41:07.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T19:41:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-10T19:41:10.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-04-10T19:41:10Z,40000,,,0,,Jump Ball E. Mobley vs. S. Mamukelashvili: Tip to D. Garland,"[1629636, 1630596, 1630572]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Mobley,1630596.0,Mamukelashvili,1630572.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-04-10T19:41:16.8Z,1,REGULAR,foul,personal,[],201950,,,1610612739,0,0,2022-04-10T19:41:45Z,70000,,,0,,J. Holiday take personal FOUL (1 PF),"[201950, 1629636]",1610612749.0,MIL,take,,,Holiday,J. Holiday,,,,,1162.0,1.0,0.0,Garland,1629636.0,,,,,,,,,,,,,,,,
9,PT11M52.00S,2022-04-10T19:41:27.5Z,1,REGULAR,substitution,out,[],201950,,,1610612739,0,0,2022-04-10T19:41:39Z,90000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M52.00S,2022-04-10T19:41:27.5Z,1,REGULAR,substitution,in,[],1629623,,,1610612739,0,0,2022-04-10T19:41:39Z,100000,,,0,,SUB in: L. Wigginton,[1629623],1610612749.0,MIL,,,,Wigginton,L. Wigginton,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M41.00S,2022-04-10T19:41:42.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,5.075558475689881,4.6568627450980395,1610612739,3,0,2022-04-10T19:41:51Z,110000,227.0,-5.0,1,left,L. Markkanen 3PT  (3 PTS) (C. LeVert 1 AST),"[1628374, 1627747]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,22.68,Made,3.0,C. LeVert,1627747.0,1.0,,,,,,,,,,
13,PT11M26.00S,2022-04-10T19:41:57.9Z,1,REGULAR,turnover,bad pass,[],1629670,,,1610612749,3,0,2022-04-10T19:42:05Z,130000,,,0,,J. Nwora bad pass TURNOVER (1 TO),"[1629670, 1627747]",1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,1.0,LeVert,1627747.0,,,,,,,
14,PT11M26.00S,2022-04-10T19:41:57.9Z,1,REGULAR,steal,,[],1627747,,,1610612739,3,0,2022-04-10T19:42:02Z,140000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M23.00S,2022-04-10T19:42:03.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630596,5.863994743758213,52.450980392156865,1610612739,3,0,2022-04-10T19:43:03Z,150000,-12.0,3.0,1,left,MISS E. Mobley running Layup,[1630596],1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,,,,,,1.26,Missed,,,,,,,,,,,,,,
16,PT11M23.00S,2022-04-10T19:42:03.7Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,3,0,2022-04-10T19:44:20Z,160000,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,
17,PT11M23.00S,2022-04-10T19:42:08.3Z,1,REGULAR,foul,personal,['2freethrow'],1629623,,,1610612739,3,0,2022-04-10T19:42:33Z,170000,,,0,,L. Wigginton shooting personal FOUL (1 PF) (Mobley 2 FT),"[1629623, 1630596]",1610612749.0,MIL,shooting,,,Wigginton,L. Wigginton,,,,,200834.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,,
19,PT11M23.00S,2022-04-10T19:42:35.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1630596,,,1610612739,3,0,2022-04-10T19:42:35Z,190000,,,0,,MISS E. Mobley Free Throw 1 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Missed,,,,,,,,,,,,,,
20,PT11M23.00S,2022-04-10T19:42:35.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,3,0,2022-04-10T19:42:35Z,200000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,
21,PT11M23.00S,2022-04-10T19:42:51.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1630596,,,1610612739,4,0,2022-04-10T19:42:51Z,210000,,,0,,E. Mobley Free Throw 2 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
22,PT11M14.00S,2022-04-10T19:43:02.2Z,1,REGULAR,3pt,Jump Shot,[],1629670,70.25295663600527,77.45098039215686,1610612749,4,0,2022-04-10T19:43:14Z,220000,137.0,227.0,1,right,MISS J. Nwora 26' 3PT,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,26.54,Missed,,,,,,,,,,,,,,
23,PT11M11.00S,2022-04-10T19:43:05.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,4,0,2022-04-10T19:43:14Z,230000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,
24,PT11M03.00S,2022-04-10T19:43:12.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,27.151773981603156,80.3921568627451,1610612739,7,0,2022-04-10T19:43:18Z,240000,-152.0,203.0,1,left,D. Garland 25' 3PT  (3 PTS) (E. Mobley 1 AST),"[1629636, 1630596]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,25.34,Made,3.0,E. Mobley,1630596.0,1.0,,,,,,,,,,
26,PT10M45.00S,2022-04-10T19:43:31.5Z,1,REGULAR,2pt,Jump Shot,[],1630572,85.49605781865965,27.941176470588236,1610612749,7,0,2022-04-10T19:43:37Z,260000,-110.0,84.0,1,right,MISS S. Mamukelashvili 13' turnaround Shot,[1630572],1610612749.0,MIL,turnaround,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,13.85,Missed,,,,,,,,,,,,,,
27,PT10M42.00S,2022-04-10T19:43:34.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,7,0,2022-04-10T19:43:37Z,270000,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,26.0,2.0,1.0,1.0,,,
