actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-20T02:48:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-20T02:48:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-20T02:48:11.3Z,1,REGULAR,jumpball,recovered,[],1629013,,,1610612752,0,0,2025-11-20T02:48:11Z,40000,False,,,0,,Jump Ball M. Robinson vs. D. Lively II: Tip to L. Shamet,"[1629013, 1629011, 1641726]",1610612752.0,NYK,startperiod,L. Shamet,1629013.0,Shamet,L. Shamet,Robinson,1629011.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-20T02:48:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629013,7.046649145860711,45.09803921568628,1610612752,0,2,2025-11-20T02:48:41Z,70000,False,25.0,14.0,1,left,L. Shamet cutting Layup (2 PTS) (K. Towns 1 AST),"[1629013, 1626157]",1610612752.0,NYK,cutting,,,Shamet,L. Shamet,,,,,Restricted Area,0-8 Center,2.81,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
9,PT11M42.00S,2025-11-20T02:48:30.8Z,1,REGULAR,foul,personal,['1freethrow'],1630314,,,1610612752,0,2,2025-11-20T02:48:41Z,90000,False,,,0,,B. Williams shooting personal FOUL (1 PF) (Shamet 1 FT),"[1630314, 1629013]",1610612742.0,DAL,shooting,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,1.0,0.0,Shamet,1629013.0,,,,,,,,,
11,PT11M42.00S,2025-11-20T02:48:53.3Z,1,REGULAR,freethrow,1 of 1,[],1629013,,,1610612752,0,3,2025-11-20T02:48:53Z,110000,False,,,0,,L. Shamet Free Throw 1 of 1 (3 PTS),[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2025-11-20T02:49:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,93.77463863337714,55.14705882352941,1610612742,0,3,2025-11-20T02:49:16Z,120000,False,26.0,6.0,1,right,MISS B. Williams driving Layup,[1630314],1610612742.0,DAL,driving,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2025-11-20T02:49:14.1Z,1,REGULAR,rebound,offensive,[],1630314,,,1610612742,0,3,2025-11-20T02:49:16Z,130000,False,,,0,,B. Williams REBOUND (Off:1 Def:0),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,
14,PT11M19.00S,2025-11-20T02:49:17.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,69.59592641261499,27.696078431372552,1610612742,0,3,2025-11-20T02:49:24Z,140000,False,-112.0,233.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2025-11-20T02:49:21.2Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,0,3,2025-11-20T02:49:24Z,150000,False,,,0,,D. Lively II REBOUND (Off:1 Def:0),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
16,PT11M14.00S,2025-11-20T02:49:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641726,92.85479632063075,49.50980392156863,1610612742,0,3,2025-11-20T02:49:30Z,160000,False,-2.0,15.0,1,right,MISS D. Lively II putback Layup - blocked,"[1641726, 1629011]",1610612742.0,DAL,putback,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,Robinson,1629011.0,,,
