actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-13T23:42:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-13T23:42:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-13T23:42:50.9Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612739,0,0,2026-03-13T23:42:51Z,40000,False,,,0,,Jump Ball E. Mobley vs. M. Bagley III: Tip to J. Harden,"[201935, 1630596, 1628963]",1610612739.0,CLE,startperiod,J. Harden,201935.0,Harden,J. Harden,Mobley,1630596.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-13T23:43:01.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,89.30683311432325,50.49019607843137,1610612739,0,2,2026-03-13T23:43:07Z,70000,False,2.0,48.0,1,right,E. Mobley turnaround Hook (2 PTS) (J. Harden 1 AST),"[1630596, 201935]",1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,4.81,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-03-13T23:43:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,7.178055190538765,45.34313725490196,1610612742,2,2,2026-03-13T23:43:19Z,90000,False,23.0,15.0,1,left,N. Marshall cutting Layup (2 PTS) (R. Nembhard 1 AST),"[1630230, 1642948]",1610612742.0,DAL,cutting,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,2.77,Made,2.0,R. Nembhard,1642948.0,1.0,,,,,,,,,,,,,,
11,PT11M24.00S,2026-03-13T23:43:25.2Z,1,REGULAR,foul,personal,[],1631108,,,1610612739,2,2,2026-03-13T23:43:44Z,110000,False,,,0,,M. Christie personal FOUL (1 PF),"[1631108, 1628378]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Mid-Range,16-24 Right,,,,,,,1626301.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
13,PT11M18.00S,2026-03-13T23:43:52.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629731,93.38042049934296,50.49019607843137,1610612739,2,2,2026-03-13T23:44:23Z,130000,False,2.0,10.0,1,right,MISS D. Wade cutting DUNK - blocked,"[1629731, 1628963]",1610612739.0,CLE,cutting,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,1.0,Missed,,,,,,,,,,Bagley III,1628963.0,,,,,,,
14,PT11M18.00S,2026-03-13T23:43:52.0Z,1,REGULAR,block,,[],1628963,,,1610612739,2,2,2026-03-13T23:43:54Z,140000,False,,,0,,M. Bagley III BLOCK (1 BLK),[1628963],1610612742.0,DAL,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M17.00S,2026-03-13T23:43:53.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,2,2,2026-03-13T23:43:59Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,13.0,,,,,,
17,PT11M14.00S,2026-03-13T23:44:16.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630596,69.99014454664915,77.69607843137256,1610612739,2,2,2026-03-13T23:44:20Z,170000,False,138.0,230.0,1,right,MISS E. Mobley 26' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
18,PT11M12.00S,2026-03-13T23:44:18.2Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,2,2,2026-03-13T23:44:20Z,180000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,
19,PT10M55.00S,2026-03-13T23:44:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630230,3.892904073587385,97.30392156862744,1610612742,5,2,2026-03-13T23:44:39Z,190000,False,-237.0,-16.0,1,left,N. Marshall 3PT  (5 PTS) (R. Nembhard 2 AST),"[1630230, 1642948]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,23.7,Made,5.0,R. Nembhard,1642948.0,2.0,,,,,,,,,,,,,,
21,PT10M39.00S,2026-03-13T23:44:51.7Z,1,REGULAR,2pt,Jump Shot,[],1628378,80.50262812089356,80.3921568627451,1610612739,5,2,2026-03-13T23:44:57Z,210000,False,152.0,131.0,1,right,MISS D. Mitchell 20' step back Shot,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,20.05,Missed,,,,,,,,,,,,,,,,,,
22,PT10M35.00S,2026-03-13T23:44:55.7Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,5,2,2026-03-13T23:44:57Z,220000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,
23,PT10M33.00S,2026-03-13T23:44:56.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630596,92.46057818659659,47.549019607843135,1610612739,5,4,2026-03-13T23:45:00Z,230000,False,-12.0,18.0,1,right,E. Mobley putback Layup (4 PTS),[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,2.21,Made,4.0,,,,,,,,,,,,,,,,,
24,PT10M20.00S,2026-03-13T23:45:10.1Z,1,REGULAR,3pt,Jump Shot,[],1630230,12.040078843626807,5.392156862745098,1610612742,8,4,2026-03-13T23:45:16Z,240000,False,223.0,61.0,1,left,N. Marshall 3PT  (8 PTS) (R. Nembhard 3 AST),"[1630230, 1642948]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,23.11,Made,8.0,R. Nembhard,1642948.0,3.0,,,,,,,,,,,,,,
26,PT09M59.00S,2026-03-13T23:45:30.9Z,1,REGULAR,3pt,Jump Shot,[],201935,79.97700394218134,92.64705882352942,1610612739,8,4,2026-03-13T23:45:41Z,260000,False,213.0,136.0,1,right,MISS J. Harden 25' step back 3PT,[201935],1610612739.0,CLE,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
