actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-17T22:13:38.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-17T22:13:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-17T22:13:39.7Z,1,REGULAR,jumpball,recovered,[],1628997,,,1610612742,0,0,2026-01-17T22:13:39Z,40000,False,,,0,,Jump Ball D. Powell vs. K. Filipowski: Tip to C. Martin,"[1628997, 203939, 1642271]",1610612742.0,DAL,startperiod,C. Martin,1628997.0,Martin,C. Martin,Powell,203939.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-01-17T22:13:55.0Z,1,REGULAR,3pt,Jump Shot,[],1631108,31.225361366622867,39.950980392156865,1610612742,0,0,2026-01-17T22:14:40Z,70000,False,50.0,241.0,1,left,MISS M. Christie 24' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,24.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2026-01-17T22:13:57.0Z,1,REGULAR,rebound,defensive,[],1642846,,,1610612762,0,0,2026-01-17T22:14:40Z,80000,False,,,0,,A. Bailey REBOUND (Off:0 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2026-01-17T22:13:59.9Z,1,REGULAR,turnover,traveling,[],1642846,,,1610612762,0,0,2026-01-17T22:14:08Z,90000,False,,,0,,A. Bailey traveling TURNOVER (1 TO),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,201246.0,1.0,,,,,,,,,,,,
10,PT11M27.00S,2026-01-17T22:14:27.8Z,1,REGULAR,turnover,bad pass,[],1630314,,,1610612742,0,0,2026-01-17T22:14:31Z,100000,False,,,0,,B. Williams bad pass TURNOVER (1 TO),"[1630314, 1641718]",1610612742.0,DAL,,,,Williams,B. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,George,1641718.0,,,,,,,,,,
11,PT11M27.00S,2026-01-17T22:14:27.8Z,1,REGULAR,steal,,[],1641718,,,1610612762,0,0,2026-01-17T22:14:29Z,110000,False,,,0,,K. George STEAL (1 STL),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2026-01-17T22:14:50.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642262,93.38042049934296,96.07843137254902,1610612762,0,0,2026-01-17T22:14:55Z,130000,False,230.0,10.0,1,right,MISS C. Williams 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Right Corner 3,24+ Right,23.06,Missed,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2026-01-17T22:14:52.8Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612742,0,0,2026-01-17T22:14:55Z,140000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M07.00S,2026-01-17T22:15:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,11.432325886990801,63.50337009803921,1610612742,2,0,2026-01-17T22:15:08Z,150000,False,-68.0,55.0,1,left,N. Marshall 8' driving floating Jump Shot (2 PTS) (C. Martin 1 AST),"[1630230, 1628997]",1610612742.0,DAL,driving floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Left,8.71,Made,,,,,,,,,2.0,C. Martin,1628997.0,1.0,,,,,,
17,PT10M50.00S,2026-01-17T22:15:16.8Z,1,REGULAR,2pt,Jump Shot,[],1642846,73.14388961892247,49.26470588235294,1610612762,2,0,2026-01-17T22:15:46Z,170000,False,-4.0,200.0,1,right,MISS A. Bailey 19' pullup Shot,[1642846],1610612762.0,UTA,pullup,,,Bailey,A. Bailey,,,,,Mid-Range,16-24 Center,19.99,Missed,,,,,,,,,,,,,,,,,,
18,PT10M49.00S,2026-01-17T22:15:17.8Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,2,0,2026-01-17T22:15:46Z,180000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
