actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-06T01:40:39.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-06T01:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-06T01:40:41.0Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612742,0,0,2025-11-06T01:40:41Z,40000,False,,,0,,Jump Ball D. Gafford vs. K. Looney: Tip to D. Russell,"[1626156, 1629655, 1626172]",1610612742.0,DAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gafford,1629655.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-11-06T01:40:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642843,7.966491458607096,44.6078431372549,1610612742,0,0,2025-11-06T01:40:59Z,70000,False,27.0,22.0,1,left,MISS C. Flagg driving finger roll Layup,[1642843],1610612742.0,DAL,driving finger roll,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-11-06T01:40:54.3Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,0,0,2025-11-06T01:40:59Z,80000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-11-06T01:41:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642847,91.5407358738502,60.78431372549019,1610612740,0,0,2025-11-06T01:42:52Z,90000,False,54.0,27.0,1,right,MISS J. Fears 6' driving floating bank Shot,[1642847],1610612740.0,NOP,driving floating bank,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,6.03,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-11-06T01:41:15.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,0,2025-11-06T01:41:17Z,100000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M19.00S,2025-11-06T01:41:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,12.565703022339028,42.40196078431372,1610612742,0,0,2025-11-06T01:44:04Z,105000,False,38.0,66.0,1,left,MISS P. Washington 7' driving floating Shot - blocked,"[1629023, 1630529]",1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,7.58,Missed,,,,,Jones,1630529.0,,,,,,,,,,,,
17,PT11M19.00S,2025-11-06T01:41:18.4Z,1,REGULAR,block,,[],1630529,,,1610612742,0,0,2025-11-06T01:44:04Z,107500,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M17.00S,2025-11-06T01:41:20.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,0,0,2025-11-06T01:44:04Z,108750,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2025-11-06T01:41:48.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,0,0,2025-11-06T01:41:48Z,140000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
