actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-11T01:40:21.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-11T01:40:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-11T01:40:35.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612742,0,0,2025-11-11T01:40:35Z,40000,False,,,0,,Jump Ball D. Gafford vs. M. Turner: Tip to Team (DAL),"[1629655, 1626167]",1610612742.0,DAL,startperiod,Team (DAL),Gafford,1629655.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-11-11T01:40:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631108,5.863994743758213,52.94117647058824,1610612742,2,0,2025-11-11T01:41:02Z,80000,False,-15.0,3.0,1,left,M. Christie driving Layup (2 PTS) (D. Gafford 1 AST),"[1631108, 1629655]",1610612742.0,DAL,driving,,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,Christie,M. Christie,D. Gafford,1629655.0,1.0,,,,,,,,,,,,,,
10,PT11M22.00S,2025-11-11T01:41:15.7Z,1,REGULAR,foul,offensive,[],1629018,,,1610612749,2,0,2025-11-11T01:41:39Z,100000,False,,,0,,G. Trent Jr. offensive FOUL (1 PF),"[1629018, 1630314]",1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,,,,Trent Jr.,G. Trent Jr.,,,,203054.0,1.0,0.0,Williams,1630314.0,,,,,,,,,
12,PT11M22.00S,2025-11-11T01:41:15.7Z,1,REGULAR,turnover,offensive foul,[],1629018,,,1610612749,2,0,2025-11-11T01:41:15Z,120000,False,,,0,,G. Trent Jr. offensive foul TURNOVER (1 TO),[1629018],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,,,,Trent Jr.,G. Trent Jr.,,,,203054.0,,,,,1.0,,,,,,,,
13,PT11M10.00S,2025-11-11T01:41:52.0Z,1,REGULAR,turnover,out-of-bounds,[],1630314,,,1610612742,2,0,2025-11-11T01:41:57Z,130000,False,,,0,,B. Williams bad pass out-of-bounds TURNOVER (1 TO),[1630314],1610612742.0,DAL,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,,Williams,B. Williams,,,,203054.0,,,,,1.0,,,,,,,,
14,PT10M55.00S,2025-11-11T01:42:08.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626167,83.39356110381078,44.11764705882353,1610612749,2,2,2025-11-11T01:52:07Z,140000,False,-29.0,104.0,1,right,M. Turner 10' floating Jump Shot (2 PTS),[1626167],1610612749.0,MIL,floating,,,,,,In The Paint (Non-RA),8-16 Center,10.77,Made,2.0,Turner,M. Turner,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2025-11-11T01:42:20.1Z,1,REGULAR,foul,personal,[],1631157,,,1610612742,2,2,2025-11-11T01:42:23Z,160000,False,,,0,,R. Rollins personal FOUL (1 PF),"[1631157, 1630314]",1610612749.0,MIL,,,,,,,Mid-Range,16-24 Right,,,,Rollins,R. Rollins,,,,203593.0,1.0,0.0,Williams,1630314.0,,,,,,,,,
18,PT10M40.00S,2025-11-11T01:42:40.1Z,1,REGULAR,turnover,bad pass,[],1629655,,,1610612742,2,2,2025-11-11T01:42:47Z,180000,False,,,0,,D. Gafford bad pass TURNOVER (1 TO),"[1629655, 1626167]",1610612742.0,DAL,,,,,,,Mid-Range,16-24 Center,,,,Gafford,D. Gafford,,,,,,,,,1.0,Turner,1626167.0,,,,,,
19,PT10M40.00S,2025-11-11T01:42:40.1Z,1,REGULAR,steal,,[],1626167,,,1610612749,2,2,2025-11-11T01:42:42Z,190000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612749.0,MIL,,,,,,,Mid-Range,16-24 Center,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
