actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-10-30T00:41:00.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-30T00:41:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-30T00:41:03.4Z,1,REGULAR,jumpball,recovered,[],1642843,,,1610612742,0,0,2025-10-30T00:41:03Z,40000,False,,,0,,Jump Ball A. Davis vs. I. Jackson: Tip to C. Flagg,"[1642843, 203076, 1630543]",1610612742.0,DAL,startperiod,C. Flagg,1642843.0,Flagg,C. Flagg,Davis,203076.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-10-30T00:41:20.8Z,1,REGULAR,3pt,Jump Shot,[],202691,27.677398160315374,75.73529411764706,1610612742,0,0,2025-10-30T00:41:25Z,70000,False,-129.0,208.0,1,left,MISS K. Thompson 24' step back 3PT,[202691],1610612742.0,DAL,step back,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,24.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-10-30T00:41:23.8Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,0,0,2025-10-30T00:41:25Z,80000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-10-30T00:41:29.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641767,69.72733245729303,18.627450980392158,1610612754,0,0,2025-10-30T00:41:37Z,90000,False,-157.0,232.0,1,right,MISS B. Sheppard 28' running 3PT,[1641767],1610612754.0,IND,running,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Left Center,28.02,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2025-10-30T00:41:32.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,0,0,2025-10-30T00:41:37Z,100000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2025-10-30T00:41:42.3Z,1,REGULAR,3pt,Jump Shot,[],1631108,27.808804204993432,21.07843137254902,1610612742,0,0,2025-10-30T00:41:45Z,110000,False,145.0,209.0,1,left,MISS M. Christie 25' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2025-10-30T00:41:45.3Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,0,0,2025-10-30T00:41:45Z,120000,False,,,0,,J. Walker REBOUND (Off:0 Def:2),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M04.00S,2025-10-30T00:41:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641716,82.47371879106439,44.6078431372549,1610612754,0,0,2025-10-30T00:42:00Z,130000,False,-27.0,112.0,1,right,MISS J. Walker 11' turnaround fadeaway bank Shot,[1641716],1610612754.0,IND,turnaround fadeaway bank,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,11.54,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2025-10-30T00:41:57.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,0,0,2025-10-30T00:42:00Z,140000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT10M57.00S,2025-10-30T00:42:02.5Z,1,REGULAR,turnover,lost ball,[],202691,,,1610612742,0,0,2025-10-30T00:42:06Z,150000,False,,,0,,K. Thompson lost ball TURNOVER (1 TO),"[202691, 1627783]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Siakam,1627783.0,,,,,,,,,,,
16,PT10M57.00S,2025-10-30T00:42:02.5Z,1,REGULAR,steal,,[],1627783,,,1610612754,0,0,2025-10-30T00:42:04Z,160000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
