actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-04T01:13:06.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-04T01:13:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-04T01:13:09.4Z,1,REGULAR,jumpball,recovered,[],1642843,,,1610612742,0,0,2026-02-04T01:13:09Z,40000,False,,,0,,Jump Ball D. Gafford vs. N. Queta: Tip to C. Flagg,"[1642843, 1629655, 1629674]",1610612742.0,DAL,startperiod,C. Flagg,1642843.0,Flagg,C. Flagg,Gafford,1629655.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-02-04T01:13:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,92.19776609724047,52.69607843137255,1610612742,0,0,2026-02-04T01:14:34Z,70000,False,13.0,21.0,1,right,MISS N. Marshall driving finger roll Layup,[1630230],1610612742.0,DAL,driving finger roll,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,2.48,Missed,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2026-02-04T01:13:23.3Z,1,REGULAR,rebound,defensive,[],1631248,,,1610612738,0,0,2026-02-04T01:13:24Z,90000,False,,,0,,B. Scheierman REBOUND (Off:0 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M37.00S,2026-02-04T01:13:29.2Z,1,REGULAR,2pt,Jump Shot,[],1628401,12.089356110381077,69.87591911764706,1610612738,0,0,2026-02-04T01:13:35Z,100000,False,-99.0,61.0,1,left,MISS D. White 11' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,8-16 Left,11.67,Missed,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2026-02-04T01:13:32.2Z,1,REGULAR,rebound,defensive,[],1642843,,,1610612742,0,0,2026-02-04T01:13:35Z,110000,False,,,0,,C. Flagg REBOUND (Off:0 Def:1),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Mid-Range,8-16 Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M29.00S,2026-02-04T01:13:39.8Z,1,REGULAR,turnover,lost ball,[],1642843,,,1610612742,0,0,2026-02-04T01:14:26Z,120000,False,,,0,,C. Flagg lost ball TURNOVER (1 TO),"[1642843, 1627759]",1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Brown,1627759.0,,,,,,,,,,,
13,PT11M29.00S,2026-02-04T01:13:39.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2026-02-04T01:13:42Z,130000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2026-02-04T01:13:42.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,6.783837056504599,52.450980392156865,1610612738,0,2,2026-02-04T01:15:14Z,140000,False,-12.0,11.0,1,left,J. Brown running DUNK (2 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,,2.0,,,,,,,,,,
15,PT11M08.00S,2026-02-04T01:13:57.6Z,1,REGULAR,2pt,Jump Shot,[],1642843,82.07950065703022,83.33333333333334,1610612742,0,2,2026-02-04T01:15:44Z,150000,False,167.0,116.0,1,right,MISS C. Flagg 20' step back Shot,[1642843],1610612742.0,DAL,step back,,,Flagg,C. Flagg,,,,,Mid-Range,16-24 Right,20.31,Missed,,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2026-02-04T01:13:57.6Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,0,2,2026-02-04T01:14:37Z,160000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,16-24 Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M59.00S,2026-02-04T01:14:07.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,14.011169513797633,71.56862745098039,1610612738,0,4,2026-02-04T01:14:13Z,170000,False,-108.0,79.0,1,left,J. Brown 13' step back Jump Shot (4 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,13.38,Made,,,,,,,,4.0,,,,,,,,,,
18,PT10M47.00S,2026-02-04T01:14:19.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628997,91.80354796320631,48.77450980392157,1610612742,2,4,2026-02-04T01:16:25Z,180000,False,-6.0,25.0,1,right,C. Martin driving Layup (2 PTS),[1628997],1610612742.0,DAL,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,,2.0,,,,,,,,,,
19,PT10M47.00S,2026-02-04T01:14:22.1Z,1,REGULAR,violation,defensive goaltending,[],1629674,,,1610612742,2,4,2026-02-04T01:14:33Z,190000,False,,,0,,N. Queta defensive goaltending VIOLATION,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,203593.0,,,,,,,,,
