actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-27T01:40:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-27T01:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-27T01:40:51.8Z,1,REGULAR,jumpball,recovered,[],1642269,,,1610612758,0,0,2026-02-27T01:40:51Z,40000,False,,,0,,Jump Ball M. Raynaud vs. M. Bagley III: Tip to D. Carter,"[1642269, 1642875, 1628963]",1610612758.0,SAC,startperiod,D. Carter,1642269.0,Carter,D. Carter,Raynaud,1642875.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-02-27T01:41:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,9.806176084099869,46.32352941176471,1610612758,0,0,2026-02-27T01:41:14Z,70000,False,18.0,40.0,1,left,MISS M. Raynaud driving floating Shot,[1642875],1610612758.0,SAC,driving floating,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,4.38,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-02-27T01:41:09.4Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,0,0,2026-02-27T01:41:50Z,80000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2026-02-27T01:41:11.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630173,5.590000152587891,50.0,1610612758,0,0,2026-02-27T01:41:56Z,90000,False,0.0,0.0,1,left,MISS P. Achiuwa tip Layup,[1630173],1610612758.0,SAC,tip,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2026-02-27T01:41:12.4Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,0,0,2026-02-27T01:41:56Z,100000,False,,,0,,P. Achiuwa REBOUND (Off:2 Def:0),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
11,PT11M37.00S,2026-02-27T01:41:12.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,7.703679369250986,49.01960784313725,1610612758,0,2,2026-02-27T01:41:20Z,110000,False,5.0,20.0,1,left,P. Achiuwa putback Layup (2 PTS),[1630173],1610612758.0,SAC,putback,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,2.05,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M23.00S,2026-02-27T01:41:25.2Z,1,REGULAR,turnover,lost ball,[],1628963,,,1610612742,0,2,2026-02-27T01:41:28Z,120000,False,,,0,,M. Bagley III lost ball TURNOVER (1 TO),"[1628963, 1642363]",1610612742.0,DAL,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Clifford,1642363.0,,,,,,,,,,
13,PT11M23.00S,2026-02-27T01:41:25.2Z,1,REGULAR,steal,,[],1642363,,,1610612758,0,2,2026-02-27T01:41:27Z,130000,False,,,0,,N. Clifford STEAL (1 STL),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2026-02-27T01:41:39.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642363,27.677398160315374,32.35294117647059,1610612758,0,2,2026-02-27T01:42:22Z,140000,False,88.0,208.0,1,left,MISS N. Clifford 22' pullup Shot,[1642363],1610612758.0,SAC,pullup,,,Clifford,N. Clifford,,,,,Mid-Range,16-24 Right Center,22.57,Missed,,,,,,,,,,,,,,,,,,
