actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-29T01:41:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-29T01:41:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT12M00.00S,2026-01-29T01:41:27.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2026-01-29T01:43:41Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,101284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-29T01:41:29.3Z,1,REGULAR,jumpball,recovered,[],1628997,,,1610612742,0,0,2026-01-29T01:41:29Z,40000,False,,,0,,Jump Ball D. Gafford vs. R. Gobert: Tip to C. Martin,"[1628997, 1629655, 203497]",1610612742.0,DAL,,startperiod,C. Martin,1628997.0,Martin,C. Martin,Gafford,1629655.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
36,PT11M56.00S,2026-01-29T01:41:39.8Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612742,0,0,2026-01-29T01:44:47Z,75000,False,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 1628978]",1610612742.0,DAL,,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,,,
37,PT11M56.00S,2026-01-29T01:41:39.8Z,1,REGULAR,steal,,[],1628978,,,1610612750,0,0,2026-01-29T01:44:47Z,82500,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2026-01-29T01:41:50.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,77.7431011826544,63.48039215686274,1610612750,0,2,2026-01-29T01:45:18Z,90000,False,67.0,157.0,1,right,J. Randle 17' step back Jump Shot (2 PTS) (J. McDaniels 1 AST),"[203944, 1630183]",1610612750.0,MIN,,step back,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right Center,,,,17.06,Made,2.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,
12,PT11M20.00S,2026-01-29T01:42:05.4Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612742,0,2,2026-01-29T01:42:37Z,110000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 1628978]",1610612742.0,DAL,,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,,,
13,PT11M20.00S,2026-01-29T01:42:05.4Z,1,REGULAR,steal,,[],1628978,,,1610612750,0,2,2026-01-29T01:42:06Z,120000,False,,,0,,D. DiVincenzo STEAL (2 STL),[1628978],1610612750.0,MIN,,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2026-01-29T01:42:13.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630183,89.96386333771353,52.20588235294118,1610612750,0,2,2026-01-29T01:42:40Z,130000,False,11.0,42.0,1,right,MISS J. McDaniels driving Layup,[1630183],1610612750.0,MIN,,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,4.32,Missed,,,,,,,,,,,,,,
15,PT11M08.00S,2026-01-29T01:42:16.7Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612742,0,2,2026-01-29T01:42:16Z,140000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612742.0,DAL,,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT11M05.00S,2026-01-29T01:42:21.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630230,9.411957950065702,60.29411764705882,1610612742,2,2,2026-01-29T01:46:31Z,150000,False,-51.0,36.0,1,left,N. Marshall 6' running Layup (2 PTS) (C. Martin 1 AST),"[1630230, 1628997]",1610612742.0,DAL,,running,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,6.28,Made,2.0,C. Martin,1628997.0,1.0,,,,,,,,,,
17,PT10M46.00S,2026-01-29T01:42:39.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,92.32917214191852,52.94117647058824,1610612750,2,2,2026-01-29T01:47:19Z,160000,False,15.0,20.0,1,right,MISS R. Gobert driving DUNK,[203497],1610612750.0,MIN,,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,2.45,Missed,,,,,,,,,,,,,,
18,PT10M46.00S,2026-01-29T01:42:39.8Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,2,2,2026-01-29T01:42:53Z,170000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M41.00S,2026-01-29T01:42:44.6Z,1,REGULAR,turnover,lost ball,[],1629023,,,1610612742,2,2,2026-01-29T01:42:57Z,180000,False,,,0,,P. Washington lost ball TURNOVER (2 TO),"[1629023, 203944]",1610612742.0,DAL,,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,2.0,Randle,203944.0,,,,,,,,,,,,,,,,
20,PT10M41.00S,2026-01-29T01:42:44.6Z,1,REGULAR,steal,,[],203944,,,1610612750,2,2,2026-01-29T01:42:46Z,190000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612750.0,MIN,,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
21,PT10M38.00S,2026-01-29T01:42:47.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203944,95.0886990801577,51.470588235294116,1610612750,2,4,2026-01-29T01:48:28Z,200000,False,7.0,-6.0,1,right,J. Randle driving DUNK (4 PTS),[203944],1610612750.0,MIN,,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,0.97,Made,4.0,,,,,,,,,,,,,
22,PT10M22.00S,2026-01-29T01:43:03.9Z,1,REGULAR,turnover,lost ball,[],1629655,,,1610612742,2,4,2026-01-29T01:43:10Z,210000,False,,,0,,D. Gafford lost ball TURNOVER (1 TO),"[1629655, 203497]",1610612742.0,DAL,,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,1.0,Gobert,203497.0,,,,,,,,,,,,,,,,
23,PT10M22.00S,2026-01-29T01:43:03.9Z,1,REGULAR,steal,,[],203497,,,1610612750,2,4,2026-01-29T01:43:05Z,220000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
24,PT10M17.00S,2026-01-29T01:43:08.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628978,68.28186596583443,32.35294117647059,1610612750,2,4,2026-01-29T01:48:56Z,230000,False,-88.0,246.0,1,right,MISS D. DiVincenzo 26' running pullup 3PT,[1628978],1610612750.0,MIN,,running pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,26.11,Missed,,,,,,,,,,,,,,
25,PT10M14.00S,2026-01-29T01:43:11.9Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612742,2,4,2026-01-29T01:43:14Z,240000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612742.0,DAL,,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,
26,PT10M09.00S,2026-01-29T01:43:17.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631108,30.436925098554536,69.11764705882352,1610612742,2,4,2026-01-29T01:49:17Z,250000,False,-96.0,234.0,1,left,MISS M. Christie 25' running pullup 3PT,[1631108],1610612742.0,DAL,,running pullup,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,25.24,Missed,,,,,,,,,,,,,,
27,PT10M06.00S,2026-01-29T01:43:20.0Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612742,2,4,2026-01-29T01:43:20Z,260000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612742.0,DAL,,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,
28,PT10M06.00S,2026-01-29T01:43:21.8Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612742,2,4,2026-01-29T01:43:30Z,270000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Gafford 2 FT),"[1630183, 1629655]",1610612750.0,MIN,1628484.0,shooting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Gafford,1629655.0,,
30,PT10M06.00S,2026-01-29T01:43:50.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629655,,,1610612742,2,4,2026-01-29T01:43:50Z,290000,False,,,0,,MISS D. Gafford Free Throw 1 of 2,[1629655],1610612742.0,DAL,,,,,Gafford,D. Gafford,,,,,,,,,,,Missed,,,,,,,,,,,,,,
31,PT10M06.00S,2026-01-29T01:43:50.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,2,4,2026-01-29T01:43:50Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,
32,PT10M06.00S,2026-01-29T01:44:12.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629655,,,1610612742,3,4,2026-01-29T01:44:12Z,310000,False,,,0,,D. Gafford Free Throw 2 of 2 (1 PTS),[1629655],1610612742.0,DAL,,,,,Gafford,D. Gafford,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
33,PT09M51.00S,2026-01-29T01:44:30.0Z,1,REGULAR,2pt,Jump Shot,[],203944,85.10183968462549,18.137254901960784,1610612750,3,4,2026-01-29T01:45:04Z,320000,False,-159.0,88.0,1,right,MISS J. Randle 18' Jump Shot,[203944],1610612750.0,MIN,,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left,,,,18.17,Missed,,,,,,,,,,,,,,
34,PT09M50.00S,2026-01-29T01:44:31.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,3,4,2026-01-29T01:45:04Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,,,33.0,,,,,,,,,
38,PT09M44.00S,2026-01-29T01:44:52.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630183,70.25295663600527,74.50980392156863,1610612750,3,7,2026-01-29T01:45:01Z,350000,False,123.0,227.0,1,right,J. McDaniels 25' 3PT step back (3 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,,step back,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,25.8,Made,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,
40,PT09M28.00S,2026-01-29T01:45:07.6Z,1,REGULAR,3pt,Jump Shot,[],1631108,23.73521681997372,87.00980392156863,1610612742,3,7,2026-01-29T01:45:11Z,370000,False,-185.0,171.0,1,left,MISS M. Christie 25' 3PT,[1631108],1610612742.0,DAL,,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,25.17,Missed,,,,,,,,,,,,,,
41,PT09M26.00S,2026-01-29T01:45:09.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,7,2026-01-29T01:45:11Z,380000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,
