actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,pointsTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
17,PT11M03.00S,2025-10-25T00:42:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642259,7.30946123521682,51.9607843137255,1610612764,3,2,2025-10-25T00:42:32Z,170000,False,-10.0,16.0,1,left,A. Sarr Layup (2 PTS) (C. McCollum 1 AST),"[1642259, 203468]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,1.89,Made,,,,,,,,2.0,,,C. McCollum,203468.0,1.0,,
19,PT10M42.00S,2025-10-25T00:42:48.1Z,1,REGULAR,3pt,Jump Shot,[],202691,70.77858081471747,74.75490196078431,1610612742,3,2,2025-10-25T00:42:57Z,190000,False,124.0,222.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,25.44,Missed,,,,,,,,,,,,,,,
20,PT10M38.00S,2025-10-25T00:42:52.1Z,1,REGULAR,rebound,offensive,[],1642843,,,1610612742,3,2,2025-10-25T00:42:57Z,200000,False,,,0,,C. Flagg REBOUND (Off:1 Def:0),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Above the Break 3,24+ Right Center,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,
21,PT10M28.00S,2025-10-25T00:43:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629023,92.59198423127464,54.166666666666664,1610612742,5,2,2025-10-25T00:43:06Z,210000,False,21.0,17.0,1,right,P. Washington driving Layup (4 PTS) (D. Lively II 2 AST),"[1629023, 1641726]",1610612742.0,DAL,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,2.69,Made,,,,,,,,4.0,,,D. Lively II,1641726.0,2.0,,
23,PT10M08.00S,2025-10-25T00:43:20.7Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612764,5,2,2025-10-25T00:43:25Z,230000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 202691]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,1.0,Thompson,202691.0,,,,,,,,,,,,,,,,,
24,PT10M08.00S,2025-10-25T00:43:20.7Z,1,REGULAR,steal,,[],202691,,,1610612742,5,2,2025-10-25T00:43:22Z,240000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2025-10-25T00:43:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641726,93.38042049934296,49.754901960784316,1610612742,5,2,2025-10-25T00:54:16Z,250000,False,-1.0,10.0,1,right,MISS D. Lively II running Layup,[1641726],1610612742.0,DAL,running,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,0.98,Missed,,,,,,,,,,,,,,,
26,PT10M01.00S,2025-10-25T00:43:29.1Z,1,REGULAR,rebound,offensive,[],203076,,,1610612742,5,2,2025-10-25T00:44:29Z,260000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,
27,PT09M58.00S,2025-10-25T00:43:30.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203076,94.40999984741211,50.0,1610612742,5,2,2025-10-25T00:53:37Z,270000,False,0.0,0.0,1,right,MISS A. Davis putback Layup - blocked,"[203076, 1642259]",1610612742.0,DAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,Sarr,1642259.0
28,PT09M58.00S,2025-10-25T00:43:30.4Z,1,REGULAR,block,,[],1642259,,,1610612742,5,2,2025-10-25T00:43:32Z,280000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
