actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
524,PT00M01.40S,2026-03-19T02:16:38.8Z,3,REGULAR,3pt,Jump Shot,[],1630228,14.931011826544022,45.83333333333333,1610612737,82,101,2026-03-19T02:21:23Z,5180000,False,-21.0,747.0,1,right,J. Kuminga 74' 3PT pullup (16 PTS),[1630228],1610612737.0,ATL,pullup,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,74.74,Made,,,,,16.0,,,,,,,,,,,,,
527,PT00M00.30S,2026-03-19T02:18:20.1Z,3,REGULAR,heave,,[],0,,,1610612742,82,101,2026-03-19T02:21:05Z,5210000,False,,,0,,DAL Heave,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,64.23,,,,,,,,,,,,,,,,,,,
528,PT00M00.30S,2026-03-19T02:18:20.1Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612742,82,101,2026-03-19T02:21:05Z,5220000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,527.0,,,,,,,,,,,,,,,,,
529,PT00M00.00S,2026-03-19T02:18:30.4Z,3,REGULAR,period,end,[],0,,,1610612742,82,101,2026-03-19T02:18:30Z,5230000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,out,['startperiod'],1642948,,,1610612742,82,101,2026-03-19T02:20:43Z,5240000,False,,,0,,SUB out: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
531,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,out,['startperiod'],1629023,,,1610612742,82,101,2026-03-19T02:20:43Z,5250000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
532,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,out,['startperiod'],1629216,,,1610612742,82,101,2026-03-19T02:20:43Z,5260000,False,,,0,,SUB out: G. Vincent,[1629216],1610612737.0,ATL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
533,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,out,['startperiod'],1629638,,,1610612742,82,101,2026-03-19T02:20:43Z,5270000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
534,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,in,['startperiod'],1631108,,,1610612742,82,101,2026-03-19T02:20:43Z,5280000,False,,,0,,SUB in: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
535,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,in,['startperiod'],1642843,,,1610612742,82,101,2026-03-19T02:20:43Z,5290000,False,,,0,,SUB in: C. Flagg,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,,,,,,,,,,,,,,,,,,,
536,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,in,['startperiod'],203468,,,1610612742,82,101,2026-03-19T02:20:43Z,5300000,False,,,0,,SUB in: C. McCollum,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
537,PT12M00.00S,2026-03-19T02:20:31.4Z,4,REGULAR,substitution,in,['startperiod'],1630557,,,1610612742,82,101,2026-03-19T02:20:43Z,5310000,False,,,0,,SUB in: C. Kispert,[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
538,PT12M00.00S,2026-03-19T02:21:00.8Z,4,REGULAR,period,start,[],0,,,1610612742,82,101,2026-03-19T02:21:00Z,5320000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,PT11M50.00S,2026-03-19T02:21:11.1Z,4,REGULAR,foul,personal,['2freethrow'],1629111,,,1610612742,82,101,2026-03-19T02:21:20Z,5330000,False,,,0,,J. Landale shooting personal FOUL (2 PF) (Christie 2 FT),"[1629111, 1631108]",1610612737.0,ATL,shooting,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,201245.0,2.0,0.0,Christie,1631108.0,,
