actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-07T01:41:42.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-07T01:41:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-07T01:41:44.4Z,1,REGULAR,jumpball,recovered,[],1642843,,,1610612742,0,0,2025-12-07T01:41:44Z,40000,False,,,0,,Jump Ball A. Davis vs. C. Capela: Tip to C. Flagg,"[1642843, 203076, 203991]",1610612742.0,DAL,startperiod,C. Flagg,1642843.0,Flagg,C. Flagg,Davis,203076.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-07T01:41:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,14.4053876478318,46.81372549019608,1610612742,0,0,2025-12-07T01:42:07Z,70000,False,16.0,83.0,1,left,MISS A. Davis 8' turnaround Shot,[203076],1610612742.0,DAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,8.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-07T01:42:00.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2025-12-07T01:42:00Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M23.00S,2025-12-07T01:44:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,92.46057818659659,45.588235294117645,1610612745,0,0,2025-12-07T01:46:12Z,100000,False,-22.0,18.0,1,right,MISS C. Capela cutting Layup - blocked,"[203991, 1642843]",1610612745.0,HOU,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,Flagg,1642843.0,,,,,,,,,,,,
11,PT11M23.00S,2025-12-07T01:44:20.9Z,1,REGULAR,block,,[],1642843,,,1610612745,0,0,2025-12-07T01:44:22Z,110000,False,,,0,,C. Flagg BLOCK (1 BLK),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2025-12-07T01:44:22.9Z,1,REGULAR,rebound,offensive,[],203991,,,1610612745,0,0,2025-12-07T01:44:24Z,120000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M21.00S,2025-12-07T01:44:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,91.5407358738502,50.98039215686274,1610612745,0,0,2025-12-07T01:46:53Z,130000,False,5.0,27.0,1,right,MISS C. Capela putback Layup,[203991],1610612745.0,HOU,putback,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.74,Missed,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2025-12-07T01:44:25.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612745,0,0,2025-12-07T01:44:36Z,140000,False,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,13.0,2.0,0.0,2.0,,,,,,,,,,,,,,
15,PT11M17.00S,2025-12-07T01:44:27.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612745,0,2,2025-12-07T01:44:27Z,150000,False,0.0,0.0,1,right,C. Capela tip Layup (2 PTS),[203991],1610612745.0,HOU,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
