actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-30T01:40:31.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-30T01:40:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-30T01:40:35.4Z,1,REGULAR,jumpball,recovered,[],1642851,,,1610612766,0,0,2026-01-30T01:40:35Z,40000,False,,,0,,Jump Ball M. Diabaté vs. D. Gafford: Tip to K. Knueppel,"[1642851, 1631217, 1629655]",1610612766.0,CHA,startperiod,K. Knueppel,1642851.0,Knueppel,K. Knueppel,Diabaté,1631217.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-01-30T01:40:56.0Z,1,REGULAR,3pt,Jump Shot,[],1641706,69.99014454664915,74.01960784313727,1610612766,0,0,2026-01-30T01:42:05Z,70000,False,120.0,230.0,1,right,MISS B. Miller 25' step back 3PT,[1641706],1610612766.0,CHA,step back,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2026-01-30T01:40:59.0Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612742,0,0,2026-01-30T01:41:05Z,80000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-01-30T01:41:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629023,5.338370565045992,47.549019607843135,1610612742,0,0,2026-01-30T01:41:09Z,90000,False,12.0,-2.0,1,left,MISS P. Washington running Layup,[1629023],1610612742.0,DAL,running,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.25,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2026-01-30T01:41:05.0Z,1,REGULAR,rebound,defensive,[],1642851,,,1610612766,0,0,2026-01-30T01:41:09Z,100000,False,,,0,,K. Knueppel REBOUND (Off:0 Def:1),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2026-01-30T01:41:11.7Z,1,REGULAR,3pt,Jump Shot,[],1630163,67.23061760840999,51.470588235294116,1610612766,0,3,2026-01-30T01:41:16Z,110000,False,7.0,256.0,1,right,L. Ball 25' 3PT pullup (3 PTS),[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,25.56,Made,,,,,3.0,,,,,,,,,,,,,
12,PT10M59.00S,2026-01-30T01:41:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,6.307490144546649,45.8984375,1610612742,0,3,2026-01-30T01:41:40Z,120000,False,21.0,7.0,1,left,MISS P. Washington driving Layup - blocked,"[1629023, 1628970]",1610612742.0,DAL,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.16,Missed,,,,,,Bridges,1628970.0,,,,,,,,,,,
66,PT10M59.00S,2026-01-30T01:41:32.4Z,1,REGULAR,block,,[],1628970,,,1610612742,0,3,2026-01-30T01:49:50Z,125000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2026-01-30T01:41:33.4Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612742,0,3,2026-01-30T01:41:40Z,130000,False,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M56.00S,2026-01-30T01:41:35.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629023,8.278580814717477,54.33134191176471,1610612742,0,3,2026-01-30T02:49:58Z,140000,False,-22.0,25.0,1,left,MISS P. Washington floating Shot,[1629023],1610612742.0,DAL,floating,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,3.33,Missed,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2026-01-30T01:41:37.2Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,0,3,2026-01-30T01:41:45Z,150000,False,,,0,,M. Diabaté REBOUND (Off:0 Def:1),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M47.00S,2026-01-30T01:41:44.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,69.72733245729303,69.11764705882352,1610612766,0,3,2026-01-30T01:45:24Z,160000,False,96.0,232.0,1,right,MISS L. Ball 25' step back 3PT - blocked,"[1630163, 1629023]",1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,25.1,Missed,,,,,,Washington,1629023.0,,,,,,,,,,,
17,PT10M47.00S,2026-01-30T01:41:44.1Z,1,REGULAR,block,,[],1629023,,,1610612766,0,3,2026-01-30T01:41:46Z,170000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2026-01-30T01:41:44.1Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612742,0,3,2026-01-30T01:41:48Z,180000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
