actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-23T01:48:14.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-23T01:48:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-23T01:48:16.8Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2025-10-23T01:48:16Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. D. Lively II: Tip to J. Champagnie,"[1630577, 1641705, 1641726]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-10-23T01:48:25.9Z,1,REGULAR,turnover,bad pass,[],203084,,,1610612759,0,0,2025-10-23T01:48:31Z,70000,False,,,0,,H. Barnes bad pass TURNOVER (1 TO),"[203084, 203076]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,1.0,Davis,203076.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-10-23T01:48:25.9Z,1,REGULAR,steal,,[],203076,,,1610612742,0,0,2025-10-23T01:49:30Z,80000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-10-23T01:48:30.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642843,93.9060446780552,49.26470588235294,1610612742,0,0,2025-10-23T01:49:47Z,90000,False,-4.0,5.0,1,right,MISS C. Flagg running alley-oop DUNK,[1642843],1610612742.0,DAL,running alley-oop,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,,,,0.61,Missed,,,,,,,,,,,,,,,
10,PT11M42.00S,2025-10-23T01:48:32.0Z,1,REGULAR,rebound,offensive,[],203076,,,1610612742,0,0,2025-10-23T01:49:47Z,100000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M39.00S,2025-10-23T01:48:34.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203076,92.9862023653088,46.568627450980394,1610612742,2,0,2025-10-23T01:48:41Z,110000,False,-17.0,13.0,1,right,A. Davis putback DUNK (2 PTS),[203076],1610612742.0,DAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,2.18,Made,,,,,2.0,,,,,,,,,,
12,PT11M20.00S,2025-10-23T01:48:54.2Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612759,2,0,2025-10-23T01:49:27Z,120000,False,,,0,,P. Washington shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1629023, 1641705]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1627524.0,1.0,0.0,Wembanyama,1641705.0,,,,,
14,PT11M20.00S,2025-10-23T01:49:27.9Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,2,1,2025-10-23T01:49:28Z,140000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
15,PT11M20.00S,2025-10-23T01:49:41.4Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,2,2,2025-10-23T01:49:41Z,150000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
16,PT10M59.00S,2025-10-23T01:50:05.7Z,1,REGULAR,2pt,Jump Shot,[],203076,92.46057818659659,23.03921568627451,1610612742,4,2,2025-10-23T01:50:11Z,160000,False,-135.0,18.0,1,right,A. Davis 13' step back Jump Shot (4 PTS) (D. Lively II 1 AST),"[203076, 1641726]",1610612742.0,DAL,step back,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,13.6,Made,,,,,4.0,,,,,,D. Lively II,1641726.0,1.0,,
18,PT10M45.00S,2025-10-23T01:50:20.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,15.325229960578188,38.72549019607843,1610612759,4,2,2025-10-23T01:50:24Z,180000,False,56.0,92.0,1,left,MISS D. Vassell 10' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Right,,,,10.76,Missed,,,,,,,,,,,,,,,
19,PT10M43.00S,2025-10-23T01:50:22.1Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,4,2,2025-10-23T01:50:24Z,190000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),8-16 Right,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT10M40.00S,2025-10-23T01:50:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1629023,91.5407358738502,55.63725490196079,1610612742,6,2,2025-10-23T01:50:41Z,210000,False,28.0,27.0,1,right,P. Washington running finger roll Layup (2 PTS),[1629023],1610612742.0,DAL,running finger roll,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,3.9,Made,,,,,2.0,,,,,,,,,,
22,PT10M40.00S,2025-10-23T01:50:31.3Z,1,REGULAR,violation,defensive goaltending,[],1641705,,,1610612742,6,2,2025-10-23T01:50:41Z,220000,False,,,0,,V. Wembanyama defensive goaltending VIOLATION,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,1146.0,,,,,,,,,
23,PT10M18.00S,2025-10-23T01:51:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,10.726018396846255,63.48039215686274,1610612759,6,2,2025-10-23T01:51:06Z,230000,False,-67.0,48.0,1,left,MISS V. Wembanyama 8' driving bank Shot,[1641705],1610612759.0,SAS,driving bank,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Left,,,,8.29,Missed,,,,,,,,,,,,,,,
24,PT10M16.00S,2025-10-23T01:51:02.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,6,2,2025-10-23T01:51:06Z,240000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,
25,PT10M02.00S,2025-10-23T01:51:15.9Z,1,REGULAR,2pt,Jump Shot,[],1642843,72.40473061760841,38.526348039215684,1610612742,6,2,2025-10-23T01:51:23Z,250000,False,-57.0,207.0,1,right,MISS C. Flagg 21' pullup Shot,[1642843],1610612742.0,DAL,pullup,,,Flagg,C. Flagg,,,,,Mid-Range,16-24 Center,,,,21.47,Missed,,,,,,,,,,,,,,,
26,PT10M01.00S,2025-10-23T01:51:16.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,6,2,2025-10-23T01:51:23Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,16-24 Center,,,,,,25.0,,,,,,,,,,,,,,
28,PT09M45.00S,2025-10-23T01:51:44.5Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612759,6,2,2025-10-23T01:52:09Z,280000,False,,,0,,P. Washington shooting personal FOUL (2 PF) (Castle 2 FT),"[1629023, 1642264]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1146.0,2.0,0.0,Castle,1642264.0,,,,,
30,PT09M45.00S,2025-10-23T01:52:13.8Z,1,REGULAR,freethrow,1 of 2,[],1642264,,,1610612759,6,3,2025-10-23T01:52:13Z,300000,False,,,0,,S. Castle Free Throw 1 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
31,PT09M45.00S,2025-10-23T01:52:14.9Z,1,REGULAR,substitution,out,[],1629023,,,1610612759,6,3,2025-10-23T01:52:24Z,310000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M45.00S,2025-10-23T01:52:14.9Z,1,REGULAR,substitution,in,[],1630230,,,1610612759,6,3,2025-10-23T01:52:24Z,320000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M45.00S,2025-10-23T01:52:36.7Z,1,REGULAR,freethrow,2 of 2,[],1642264,,,1610612759,6,4,2025-10-23T01:52:36Z,330000,False,,,0,,S. Castle Free Throw 2 of 2 (2 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
34,PT09M32.00S,2025-10-23T01:52:52.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,93.77463863337714,50.0,1610612742,8,4,2025-10-23T01:52:57Z,340000,False,0.0,6.0,1,right,D. Lively II alley-oop DUNK (2 PTS) (A. Davis 1 AST),"[1641726, 203076]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,0.6,Made,,,,,2.0,,,,,,A. Davis,203076.0,1.0,,
36,PT09M31.00S,2025-10-23T01:53:00.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612759,8,4,2025-10-23T01:53:05Z,360000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,1146.0,,,,,,,,,
37,PT09M16.00S,2025-10-23T01:53:18.0Z,1,REGULAR,2pt,Jump Shot,[],1641705,23.47240473061761,65.68627450980392,1610612759,8,6,2025-10-23T01:54:10Z,370000,False,-78.0,168.0,1,left,V. Wembanyama 18' pullup Jump Shot (4 PTS) (D. Vassell 1 AST),"[1641705, 1630170]",1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,18.55,Made,,,,,4.0,,,,,,D. Vassell,1630170.0,1.0,,
