actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-16T01:41:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-16T01:41:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-16T01:41:14.7Z,1,REGULAR,jumpball,recovered,[],1630230,,,1610612742,0,0,2026-01-16T01:41:14Z,40000,False,,,0,,Jump Ball D. Powell vs. K. Filipowski: Tip to N. Marshall,"[1630230, 203939, 1642271]",1610612742.0,DAL,startperiod,N. Marshall,1630230.0,Marshall,N. Marshall,Powell,203939.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-16T01:41:28.0Z,1,REGULAR,turnover,lost ball,[],1630314,,,1610612742,0,0,2026-01-16T01:41:47Z,70000,False,,,0,,B. Williams lost ball TURNOVER (1 TO),"[1630314, 1642846]",1610612742.0,DAL,,,,Williams,B. Williams,,,,,Mid-Range,8-16 Right,1.0,Bailey,1642846.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-01-16T01:41:28.0Z,1,REGULAR,steal,,[],1642846,,,1610612762,0,0,2026-01-16T01:41:29Z,80000,False,,,0,,A. Bailey STEAL (1 STL),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2026-01-16T01:41:46.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642271,88.51839684625493,42.15686274509804,1610612762,0,2,2026-01-16T01:41:51Z,90000,False,-39.0,55.0,1,right,K. Filipowski 6' fadeaway Jump Shot (2 PTS) (K. George 1 AST),"[1642271, 1641718]",1610612762.0,UTA,fadeaway,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,6.79,Made,2.0,K. George,1641718.0,1.0,,,,,,,,,,,
11,PT11M13.00S,2026-01-16T01:41:59.0Z,1,REGULAR,3pt,Jump Shot,[],1630702,24.655059132720105,83.33333333333334,1610612742,0,2,2026-01-16T01:42:02Z,110000,False,-167.0,179.0,1,left,MISS J. Hardy 24' 3PT,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Left Center,,,,24.48,Missed,,,,,,,,,,,,,,,
12,PT11M12.00S,2026-01-16T01:42:00.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,0,2,2026-01-16T01:42:02Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,11.0,,,,,,,,,,
14,PT11M00.00S,2026-01-16T01:42:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642846,88.64980289093299,55.63725490196079,1610612762,0,4,2026-01-16T01:42:29Z,140000,False,28.0,54.0,1,right,A. Bailey 6' driving floating Jump Shot (2 PTS) (I. Collier 1 AST),"[1642846, 1642268]",1610612762.0,UTA,driving floating,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,6.11,Made,2.0,I. Collier,1642268.0,1.0,,,,,,,,,,,
16,PT10M46.00S,2026-01-16T01:42:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,7.046649145860711,44.6078431372549,1610612742,2,4,2026-01-16T01:44:30Z,160000,False,27.0,14.0,1,left,D. Powell driving Layup (2 PTS) (N. Marshall 1 AST),"[203939, 1630230]",1610612742.0,DAL,driving,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,3.03,Made,2.0,N. Marshall,1630230.0,1.0,,,,,,,,,,,
18,PT10M38.00S,2026-01-16T01:42:47.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642262,93.38042049934296,55.14705882352941,1610612762,2,4,2026-01-16T01:42:51Z,180000,False,26.0,10.0,1,right,MISS C. Williams driving DUNK - blocked,"[1642262, 203939]",1610612762.0,UTA,driving,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,2.75,Missed,,,,,,Powell,203939.0,,,,,,,,
