actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-28T00:40:39.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-28T00:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-28T00:40:41.9Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2025-10-28T00:40:41Z,40000,False,,,0,,Jump Ball C. Holmgren vs. A. Davis: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 203076]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-10-28T00:40:53.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,70.38436268068331,16.42156862745098,1610612760,0,3,2025-10-28T00:40:58Z,70000,False,-168.0,226.0,1,right,L. Dort 28' 3PT  (3 PTS) (C. Holmgren 1 AST),"[1629652, 1631096]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,28.15,Made,3.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-10-28T00:41:14.3Z,1,REGULAR,3pt,Jump Shot,[],1631108,26.62614980289093,19.362745098039216,1610612742,0,3,2025-10-28T00:41:18Z,90000,False,153.0,198.0,1,left,MISS M. Christie 25' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,25.02,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-10-28T00:41:17.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,3,2025-10-28T00:41:18Z,100000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2025-10-28T00:41:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,84.83902759526939,42.40196078431372,1610612760,0,5,2025-10-28T00:41:31Z,110000,False,-38.0,90.0,1,right,S. Gilgeous-Alexander 9' driving floating Jump Shot (2 PTS),[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,9.77,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2025-10-28T00:41:35.5Z,1,REGULAR,2pt,Jump Shot,[],1629023,23.653088042049937,80.90533088235294,1610612742,0,5,2025-10-28T00:41:44Z,120000,False,-155.0,170.0,1,left,MISS P. Washington 22' pullup Shot,[1629023],1610612742.0,DAL,pullup,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,22.96,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2025-10-28T00:41:37.5Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,5,2025-10-28T00:41:44Z,130000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:2),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,16-24 Left Center,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,
14,PT10M49.00S,2025-10-28T00:41:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,93.64323258869908,51.470588235294116,1610612760,0,7,2025-10-28T00:41:53Z,140000,False,7.0,7.0,1,right,C. Holmgren driving finger roll Layup (2 PTS) (C. Wallace 1 AST),"[1631096, 1641717]",1610612760.0,OKC,driving finger roll,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,C. Wallace,1641717.0,1.0,,,,,,,,,,,,,,
16,PT10M26.00S,2025-10-28T00:42:12.2Z,1,REGULAR,2pt,Jump Shot,[],203076,26.49474375821288,58.08823529411765,1610612742,2,7,2025-10-28T00:42:18Z,160000,False,-40.0,197.0,1,left,A. Davis 20' Jump Shot (2 PTS),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,20.07,Made,2.0,,,,,,,,,,,,,,,,,
