actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-16T00:40:35.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-16T00:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-16T00:40:37.1Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-03-16T00:40:37Z,40000,False,,,0,,Jump Ball N. Jokic vs. V. Wembanyama: Tip to A. Gordon,"[203932, 203999, 1641705]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-16T00:40:54.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,8.754927726675426,49.50980392156863,1610612743,0,0,2024-03-16T00:41:31Z,70000,False,2.0,30.0,1,left,MISS N. Jokic driving Hook - blocked,"[203999, 1641705]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.99,Missed,Wembanyama,1641705.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-03-16T00:40:54.2Z,1,REGULAR,block,,[],1641705,,,1610612743,0,0,2024-03-16T00:40:57Z,80000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2024-03-16T00:40:57.2Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2024-03-16T00:41:09Z,90000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M28.00S,2024-03-16T00:41:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,94.1688567674113,42.40196078431372,1610612759,0,0,2024-03-16T00:42:01Z,100000,False,-38.0,2.0,1,right,MISS J. Sochan driving Layup - blocked,"[1631110, 203999]",1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,3.81,Missed,Jokic,203999.0,,,,,,,,,,,,,,,,
11,PT11M28.00S,2024-03-16T00:41:06.7Z,1,REGULAR,block,,[],203999,,,1610612759,0,0,2024-03-16T00:41:09Z,110000,False,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2024-03-16T00:41:06.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2024-03-16T00:41:14Z,120000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M21.00S,2024-03-16T00:41:13.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,6.389618922470433,50.245098039215684,1610612743,0,2,2024-03-16T00:53:38Z,130000,False,-1.0,8.0,1,left,A. Gordon running DUNK (2 PTS) (M. Porter Jr. 1 AST),"[203932, 1629008]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,
15,PT11M04.00S,2024-03-16T00:41:32.7Z,1,REGULAR,foul,personal,[],203932,,,1610612759,0,2,2024-03-16T00:41:36Z,150000,False,,,0,,A. Gordon personal FOUL (1 PF),"[203932, 1641705]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,203593.0,1.0,0.0,Wembanyama,1641705.0,,,
17,PT10M51.00S,2024-03-16T00:42:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631110,87.86136662286465,36.76470588235294,1610612759,0,2,2024-03-16T00:46:06Z,170000,False,-66.0,62.0,1,right,MISS J. Sochan 9' driving floating Shot,[1631110],1610612759.0,SAS,driving floating,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Left,9.04,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2024-03-16T00:42:05.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,2,2024-03-16T00:42:05Z,180000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,
19,PT10M39.00S,2024-03-16T00:42:12.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,5.995400788436268,49.754901960784316,1610612743,0,4,2024-03-16T00:42:16Z,190000,False,1.0,4.0,1,left,A. Gordon alley-oop DUNK (4 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.41,Made,,,,,,,4.0,N. Jokic,203999.0,1.0,,,,,,,,
21,PT10M14.00S,2024-03-16T00:42:37.7Z,1,REGULAR,3pt,Jump Shot,[],1630200,73.53810775295663,81.61764705882352,1610612759,3,4,2024-03-16T00:42:43Z,210000,False,158.0,196.0,1,right,T. Jones 25' 3PT  (3 PTS) (J. Sochan 1 AST),"[1630200, 1631110]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,25.2,Made,,,,,,,3.0,J. Sochan,1631110.0,1.0,,,,,,,,
23,PT09M59.00S,2024-03-16T00:42:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,6.389618922470433,50.73529411764706,1610612743,3,6,2024-03-16T00:47:07Z,230000,False,-4.0,8.0,1,left,M. Porter Jr. cutting Layup (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,,,2.0,A. Gordon,203932.0,1.0,,,,,,,,
25,PT09M59.00S,2024-03-16T00:42:58.6Z,1,REGULAR,foul,personal,['1freethrow'],1630577,,,1610612743,3,6,2024-03-16T00:43:08Z,250000,False,,,0,,J. Champagnie shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[1630577, 1629008]",1610612759.0,SAS,shooting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203593.0,1.0,0.0,Porter Jr.,1629008.0,,,
27,PT09M59.00S,2024-03-16T00:43:21.3Z,1,REGULAR,freethrow,1 of 1,[],1629008,,,1610612743,3,7,2024-03-16T00:43:21Z,270000,False,,,0,,M. Porter Jr. Free Throw 1 of 1 (3 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
28,PT09M42.00S,2024-03-16T00:43:39.9Z,1,REGULAR,3pt,Jump Shot,[],1641705,69.07030223390277,28.676470588235293,1610612759,3,7,2024-03-16T00:43:46Z,280000,False,-107.0,238.0,1,right,MISS V. Wembanyama 26' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2024-03-16T00:43:40.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,3,7,2024-03-16T00:43:46Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,28.0,,,,,,,,,,,,,,,
30,PT09M41.00S,2024-03-16T00:43:45.6Z,1,REGULAR,foul,personal,[],1629008,,,1610612759,3,7,2024-03-16T00:44:00Z,300000,False,,,0,,M. Porter Jr. loose ball personal FOUL (1 PF),"[1629008, 1630577]",1610612743.0,DEN,loose ball,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203593.0,1.0,0.0,Champagnie,1630577.0,,,
32,PT09M41.00S,2024-03-16T00:43:59.9Z,1,REGULAR,substitution,out,[],1630577,,,1610612759,3,7,2024-03-16T00:44:06Z,320000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M41.00S,2024-03-16T00:43:59.9Z,1,REGULAR,substitution,in,[],1629640,,,1610612759,3,7,2024-03-16T00:44:06Z,330000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M33.00S,2024-03-16T00:44:26.7Z,1,REGULAR,substitution,out,[],1629640,,,1610612759,3,7,2024-03-16T00:44:31Z,350000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M33.00S,2024-03-16T00:44:26.7Z,1,REGULAR,substitution,in,[],1630577,,,1610612759,3,7,2024-03-16T00:44:31Z,360000,False,,,0,,SUB in: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M28.00S,2024-03-16T00:44:52.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630577,96.27135348226018,1.4705882352941175,1610612759,6,7,2024-03-16T00:44:56Z,370000,False,-243.0,-17.0,1,right,J. Champagnie 24' 3PT  (3 PTS) (J. Sochan 2 AST),"[1630577, 1631110]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,24.32,Made,,,,,,,3.0,J. Sochan,1631110.0,2.0,,,,,,,,
39,PT09M13.00S,2024-03-16T00:45:10.7Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,6,7,2024-03-16T00:45:23Z,390000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,203593.0,,,,,1.0,,
40,PT09M01.00S,2024-03-16T00:45:33.2Z,1,REGULAR,foul,technical,['1freethrow'],203999,,,1610612759,6,7,2024-03-16T00:45:40Z,400000,False,,,0,,N. Jokic defensive-3-second technical FOUL (1 Tech),[203999],1610612743.0,DEN,defensive-3-second,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,203593.0,0.0,1.0,,,,,
41,PT09M01.00S,2024-03-16T00:45:53.9Z,1,REGULAR,freethrow,1 of 1,[],1641705,,,1610612759,7,7,2024-03-16T00:45:53Z,410000,False,,,0,,V. Wembanyama technical Free Throw 1 of 1 (1 PTS),[1641705],1610612759.0,SAS,technical,,,Wembanyama,V. Wembanyama,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
