actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-01T01:10:20.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-01T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-01T01:10:24.3Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2024-02-01T01:10:24Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. W. Carter Jr.: Tip to D. Vassell,"[1630170, 1641705, 1628976]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Wembanyama,1641705.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-01T01:10:37.1Z,1,REGULAR,2pt,Jump Shot,[],1641705,74.58935611038108,51.9607843137255,1610612759,0,0,2024-02-01T01:10:45Z,70000,False,10.0,186.0,1,right,MISS V. Wembanyama 18' Jump Shot,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,18.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-02-01T01:10:40.1Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,0,2024-02-01T01:10:45Z,80000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2024-02-01T01:10:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631110,93.51182654402102,54.65686274509803,1610612759,2,0,2024-02-01T01:10:48Z,90000,False,23.0,8.0,1,right,J. Sochan driving finger roll Layup (2 PTS),[1631110],1610612759.0,SAS,driving finger roll,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,2.48,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M39.00S,2024-02-01T01:10:46.6Z,1,REGULAR,foul,personal,['1freethrow'],1630532,,,1610612759,2,0,2024-02-01T01:11:02Z,100000,False,,,0,,F. Wagner shooting personal FOUL (1 PF) (Sochan 1 FT),"[1630532, 1631110]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,1.0,0.0,Sochan,1631110.0,,,,,,,,
12,PT11M39.00S,2024-02-01T01:11:04.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1631110,,,1610612759,3,0,2024-02-01T01:11:04Z,120000,False,,,0,,J. Sochan Free Throw 1 of 1 (3 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
13,PT11M19.00S,2024-02-01T01:11:24.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628365,6.521024967148489,56.86274509803921,1610612753,3,0,2024-02-01T01:18:51Z,130000,False,-34.0,9.0,1,left,MISS M. Fultz Hook - blocked,"[1628365, 1631110]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,3.54,Missed,,,,,,,,,,,Sochan,1631110.0,,,,,,
14,PT11M19.00S,2024-02-01T01:11:24.4Z,1,REGULAR,block,,[],1631110,,,1610612753,3,0,2024-02-01T01:11:27Z,140000,False,,,0,,J. Sochan BLOCK (1 BLK),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2024-02-01T01:11:29.4Z,1,REGULAR,rebound,offensive,[],1628365,,,1610612753,3,0,2024-02-01T01:11:37Z,150000,False,,,0,,M. Fultz REBOUND (Off:1 Def:0),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
