actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
21,PT10M07.00S,2024-03-24T00:13:01.0Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,0,3,2024-03-24T00:13:02Z,210000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Left,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M04.00S,2024-03-24T00:13:03.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,71.04139290407359,21.568627450980394,1610612759,0,3,2024-03-24T00:15:25Z,220000,False,-142.0,220.0,1,right,MISS J. Champagnie 26' running 3PT,[1630577],1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,26.17,Missed,,,,,,,,,,,,,,,,
23,PT10M00.00S,2024-03-24T00:13:07.1Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,0,3,2024-03-24T00:13:11Z,230000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,
24,PT09M51.00S,2024-03-24T00:13:15.9Z,1,REGULAR,3pt,Jump Shot,[],201142,28.86005256241787,76.9607843137255,1610612756,0,3,2024-03-24T00:13:24Z,240000,False,-135.0,219.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,25.7,Missed,,,,,,,,,,,,,,,,
25,PT09M48.00S,2024-03-24T00:13:18.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,3,2024-03-24T00:13:24Z,250000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT09M45.00S,2024-03-24T00:13:23.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641705,92.85479632063075,49.50980392156863,1610612759,2,3,2024-03-24T00:13:33Z,260000,False,-2.0,15.0,1,right,V. Wembanyama running alley-oop DUNK (2 PTS) (D. Vassell 1 AST),"[1641705, 1630170]",1610612759.0,SAS,running alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,1.49,Made,,,,,2.0,,,D. Vassell,1630170.0,1.0,,,,,,
28,PT09M28.00S,2024-03-24T00:13:38.9Z,1,REGULAR,2pt,Jump Shot,[],1626164,20.581471747700395,38.970588235294116,1610612756,2,5,2024-03-24T00:16:02Z,280000,False,55.0,141.0,1,left,D. Booker 15' pullup Jump Shot (5 PTS) (J. Nurkic 1 AST),"[1626164, 203994]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,,,15.14,Made,,,,,5.0,,,J. Nurkic,203994.0,1.0,,,,,,
30,PT09M15.00S,2024-03-24T00:13:52.2Z,1,REGULAR,3pt,Jump Shot,[],1631110,79.05716162943496,91.17647058823529,1610612759,2,5,2024-03-24T00:13:59Z,300000,False,206.0,144.0,1,right,MISS J. Sochan 25' 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,,,25.15,Missed,,,,,,,,,,,,,,,,
31,PT09M11.00S,2024-03-24T00:13:56.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,5,2024-03-24T00:13:59Z,310000,False,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,
32,PT09M02.00S,2024-03-24T00:14:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,8.09789750328515,46.07843137254902,1610612756,2,5,2024-03-24T00:14:15Z,320000,False,20.0,24.0,1,left,MISS D. Booker driving Layup - blocked,"[1626164, 1630577]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,3.07,Missed,,,,,,,,,,,Champagnie,1630577.0,,,,
33,PT09M02.00S,2024-03-24T00:14:06.2Z,1,REGULAR,block,,[],1630577,,,1610612756,2,5,2024-03-24T00:14:09Z,330000,False,,,0,,J. Champagnie BLOCK (1 BLK),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M02.00S,2024-03-24T00:14:06.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,2,5,2024-03-24T00:14:15Z,340000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,32.0,,,,,,,,,,,,,,,
36,PT08M47.00S,2024-03-24T00:14:43.8Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612759,2,5,2024-03-24T00:14:59Z,360000,False,,,0,,D. Booker shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1626164, 1641705]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,203591.0,,,,,,,,,,,,,,,,1.0,0.0,Wembanyama,1641705.0
38,PT08M47.00S,2024-03-24T00:15:13.3Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,3,5,2024-03-24T00:15:13Z,380000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (3 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
39,PT08M47.00S,2024-03-24T00:15:31.1Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,4,5,2024-03-24T00:15:31Z,390000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (4 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
40,PT08M33.00S,2024-03-24T00:15:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,17.16491458607096,37.745098039215684,1610612756,4,7,2024-03-24T00:16:05Z,400000,False,61.0,109.0,1,left,B. Beal 12' pullup Jump Shot (2 PTS) (J. Nurkic 2 AST),"[203078, 203994]",1610612756.0,PHX,pullup,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,12.5,Made,,,,,2.0,,,J. Nurkic,203994.0,2.0,,,,,,
