actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-16T00:43:26.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-16T00:43:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2023-12-16T00:43:35.2Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2023-12-16T00:43:35Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. J. Hayes: Tip to K. Johnson,"[1629640, 1641705, 1629637]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Wembanyama,1641705.0,Hayes,1629637.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-12-16T00:43:44.2Z,1,REGULAR,2pt,Jump Shot,[],1631103,80.76544021024968,66.42156862745098,1610612759,2,0,2023-12-16T00:43:54Z,70000,False,82.0,128.0,1,right,M. Branham 15' pullup Jump Shot (2 PTS) (K. Johnson 1 AST),"[1631103, 1629640]",1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,Mid-Range,8-16 Right,15.23,Made,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,
8,PT11M24.00S,2023-12-16T00:44:01.0Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,2,0,2023-12-16T00:44:08Z,80000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1631110]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Sochan,1631110.0,,,,,,,,,,,
9,PT11M24.00S,2023-12-16T00:44:01.0Z,1,REGULAR,steal,,[],1631110,,,1610612759,2,0,2023-12-16T00:44:02Z,90000,False,,,0,,J. Sochan STEAL (1 STL),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-12-16T00:44:04.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631110,95.3515111695138,50.49019607843137,1610612759,4,0,2023-12-16T00:44:58Z,100000,False,2.0,-9.0,1,right,J. Sochan running DUNK (2 PTS) (K. Johnson 2 AST),"[1631110, 1629640]",1610612759.0,SAS,running,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,0.91,Made,2.0,K. Johnson,1629640.0,2.0,,,,,,,,,,,,,,
12,PT11M07.00S,2023-12-16T00:44:18.1Z,1,REGULAR,2pt,Jump Shot,[],1630559,17.427726675427067,18.872549019607842,1610612747,4,2,2023-12-16T00:44:42Z,120000,False,156.0,111.0,1,left,A. Reaves 19' pullup Jump Shot (2 PTS),[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Right,19.13,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2023-12-16T00:44:29.0Z,1,REGULAR,foul,offensive,[],1631110,,,1610612759,4,2,2023-12-16T00:44:51Z,130000,False,,,0,,J. Sochan offensive FOUL (1 PF),"[1631110, 1630559]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,2714.0,1.0,0.0,Reaves,1630559.0,,,,,,
16,PT11M00.00S,2023-12-16T00:44:29.0Z,1,REGULAR,turnover,offensive foul,[],1631110,,,1610612759,4,2,2023-12-16T00:44:29Z,150000,False,,,0,,J. Sochan offensive foul TURNOVER (1 TO),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,,,2714.0,,,,,,,,,,
17,PT10M51.00S,2023-12-16T00:44:52.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,5.469776609724048,96.56862745098039,1610612747,4,2,2023-12-16T00:44:56Z,160000,False,-233.0,-1.0,1,left,MISS T. Prince 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2023-12-16T00:44:56.2Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,4,2,2023-12-16T00:44:56Z,170000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,
19,PT10M30.00S,2023-12-16T00:45:12.3Z,1,REGULAR,3pt,Jump Shot,[],1631110,92.06636005256242,3.431372549019608,1610612759,4,2,2023-12-16T00:45:16Z,180000,False,-233.0,22.0,1,right,MISS J. Sochan 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Left Corner 3,24+ Left,23.38,Missed,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2023-12-16T00:45:15.3Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,4,2,2023-12-16T00:45:16Z,190000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,
21,PT10M21.00S,2023-12-16T00:45:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,13.354139290407357,54.41176470588235,1610612747,4,2,2023-12-16T00:46:33Z,200000,False,-22.0,73.0,1,left,MISS L. James 7' fadeaway Shot,[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,7.63,Missed,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2023-12-16T00:45:23.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,4,2,2023-12-16T00:45:29Z,210000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,
23,PT10M12.00S,2023-12-16T00:45:30.2Z,1,REGULAR,turnover,lost ball,[],1641705,,,1610612759,4,2,2023-12-16T00:45:36Z,220000,False,,,0,,V. Wembanyama lost ball TURNOVER (1 TO),"[1641705, 2544]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Right,,,,,,,1.0,James,2544.0,,,,,,,,,,,
24,PT10M12.00S,2023-12-16T00:45:30.2Z,1,REGULAR,steal,,[],2544,,,1610612747,4,2,2023-12-16T00:45:32Z,230000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
25,PT10M07.00S,2023-12-16T00:45:34.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",2544,6.389618922470433,49.50980392156863,1610612747,4,4,2023-12-16T00:47:27Z,240000,False,2.0,8.0,1,left,L. James running DUNK (2 PTS) (T. Prince 1 AST),"[2544, 1627752]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,T. Prince,1627752.0,1.0,,,,,,,,,,,,,,
