actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-04T01:40:33.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-04T01:40:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-04T01:40:36.4Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2024-02-04T01:40:36Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. J. Allen: Tip to T. Jones,"[1630200, 1641705, 1628386]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Wembanyama,1641705.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-02-04T01:40:53.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631110,86.02168199737189,44.6078431372549,1610612759,0,0,2024-02-04T01:41:30Z,70000,False,-27.0,79.0,1,right,MISS J. Sochan 8' Hook,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,8.34,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-02-04T01:40:54.1Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,0,0,2024-02-04T01:41:30Z,80000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:0),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2024-02-04T01:40:59.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641705,94.40999984741211,50.0,1610612759,0,0,2024-02-04T01:41:39Z,90000,False,0.0,0.0,1,right,MISS V. Wembanyama tip Layup,[1641705],1610612759.0,SAS,tip,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2024-02-04T01:41:01.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2024-02-04T01:41:39Z,100000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M33.00S,2024-02-04T01:41:06.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,6.389618922470433,50.98039215686274,1610612739,0,2,2024-02-04T01:42:12Z,110000,False,-5.0,8.0,1,left,D. Mitchell running Layup (2 PTS) (M. Strus 1 AST),"[1628378, 1629622]",1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,2.0,M. Strus,1629622.0,1.0,,,,,,,,,,
13,PT11M16.00S,2024-02-04T01:41:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,88.25558475689881,41.66666666666667,1610612759,0,2,2024-02-04T01:42:42Z,130000,False,-42.0,58.0,1,right,MISS T. Jones 7' driving Layup,[1630200],1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2024-02-04T01:41:16.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,2,2024-02-04T01:41:24Z,140000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M59.00S,2024-02-04T01:41:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,6.521024967148489,59.068627450980394,1610612739,0,2,2024-02-04T01:42:02Z,160000,False,-45.0,9.0,1,left,MISS E. Mobley Layup,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,4.61,Missed,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2024-02-04T01:41:56.4Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,2,2024-02-04T01:44:45Z,170000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT10M56.00S,2024-02-04T01:42:01.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628386,5.590000152587891,50.0,1610612739,0,2,2024-02-04T01:44:51Z,180000,False,0.0,0.0,1,left,MISS J. Allen putback Layup - blocked,"[1628386, 1630577]",1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,Champagnie,1630577.0,,,,,,,,
25,PT10M56.00S,2024-02-04T01:42:01.1Z,1,REGULAR,block,,[],1630577,,,1610612739,0,2,2024-02-04T01:42:52Z,185000,False,,,0,,J. Champagnie BLOCK (1 BLK),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2024-02-04T01:42:02.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,2,2024-02-04T01:44:51Z,190000,False,,,0,,J. Allen REBOUND (Off:2 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,18.0,3.0,1.0,2.0,,,,,,,,,,,,,,
