actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-10-28T00:10:22.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T00:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-10-28T00:10:28.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612759,0,0,2023-10-28T00:10:28Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Sengun: Tip to Team (SAS),"[1641705, 1630578]",1610612759.0,SAS,startperiod,Team (SAS),Wembanyama,1641705.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-10-28T00:10:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,15.193823915900131,35.049019607843135,1610612759,2,0,2023-10-28T00:11:04Z,70000,False,75.0,90.0,1,left,V. Wembanyama 11' fadeaway Jump Shot (2 PTS),[1641705],1610612759.0,SAS,fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,11.73,Made,2.0,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
8,PT11M11.00S,2023-10-28T00:11:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,90.09526938239159,43.13725490196079,1610612745,2,2,2023-10-28T00:16:22Z,80000,False,-34.0,41.0,1,right,A. Sengun floating Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630578, 1627832]",1610612745.0,HOU,floating,,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,2.0,Sengun,A. Sengun,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,,
10,PT10M58.00S,2023-10-28T00:11:34.5Z,1,REGULAR,3pt,Jump Shot,[],1628380,31.09395532194481,71.56862745098039,1610612759,2,2,2023-10-28T00:11:40Z,100000,False,-108.0,240.0,1,left,MISS Z. Collins 26' 3PT,[1628380],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,26.29,Missed,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,
11,PT10M54.00S,2023-10-28T00:11:38.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,2,2023-10-28T00:11:40Z,110000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,,Green,J. Green,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M46.00S,2023-10-28T00:11:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,93.51182654402102,54.90196078431373,1610612745,2,2,2023-10-28T00:11:57Z,120000,False,25.0,8.0,1,right,MISS J. Green finger roll Layup,[1630224],1610612745.0,HOU,finger roll,,,,,,Restricted Area,0-8 Center,2.59,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2023-10-28T00:11:49.0Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,2,2,2023-10-28T00:11:49Z,130000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,Sengun,A. Sengun,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M39.00S,2023-10-28T00:12:07.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,89.70105124835742,54.90196078431373,1610612745,2,2,2023-10-28T00:12:13Z,150000,False,25.0,44.0,1,right,MISS D. Brooks Layup - blocked,"[1628415, 1629640]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,5.06,Missed,,Brooks,D. Brooks,,,,,,,,Johnson,1629640.0,,,,,,,,,
16,PT10M39.00S,2023-10-28T00:12:07.8Z,1,REGULAR,block,,[],1629640,,,1610612745,2,2,2023-10-28T00:12:10Z,160000,False,,,0,,K. Johnson BLOCK (1 BLK),[1629640],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,
