actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-07T23:10:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-07T23:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-07T23:10:29.0Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2024-04-07T23:10:29Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. P. Reed: Tip to J. Champagnie,"[1630577, 1641705, 1630194]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-04-07T23:10:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,82.47371879106439,51.470588235294116,1610612759,0,0,2024-04-07T23:10:46Z,70000,False,7.0,112.0,1,right,MISS T. Jones 11' driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-04-07T23:10:42.5Z,1,REGULAR,rebound,defensive,[],201587,,,1610612755,0,0,2024-04-07T23:10:46Z,80000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-04-07T23:10:50.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.013797634691194,37.254901960784316,1610612755,0,0,2024-04-07T23:10:55Z,90000,False,64.0,248.0,1,left,MISS T. Maxey 25' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,25.64,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2024-04-07T23:10:52.7Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,0,2024-04-07T23:10:55Z,100000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M27.00S,2024-04-07T23:10:59.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630577,86.94152431011827,47.794117647058826,1610612759,0,0,2024-04-07T23:11:35Z,110000,False,-11.0,70.0,1,right,MISS J. Champagnie 7' running Shot,[1630577],1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,7.11,Missed,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-04-07T23:11:02.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,0,2024-04-07T23:11:04Z,120000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M13.00S,2024-04-07T23:11:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,7.835085413929041,54.41176470588235,1610612755,0,0,2024-04-07T23:11:18Z,130000,False,-22.0,21.0,1,left,MISS P. Reed Layup - blocked,"[1630194, 1641705]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,,,,
14,PT11M13.00S,2024-04-07T23:11:13.4Z,1,REGULAR,block,,[],1641705,,,1610612755,0,0,2024-04-07T23:11:16Z,140000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2024-04-07T23:11:13.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,0,2024-04-07T23:11:18Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,13.0,,,,,,,,,,,,,,,,,
17,PT11M08.00S,2024-04-07T23:11:30.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,8.229303547963205,3.431372549019608,1610612755,0,0,2024-04-07T23:11:36Z,170000,False,233.0,25.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,23.41,Missed,,,,,,,,,,,,,,,,,,
18,PT11M05.00S,2024-04-07T23:11:33.2Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,0,0,2024-04-07T23:11:54Z,180000,False,,,0,,M. Branham REBOUND (Off:0 Def:1),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Right Corner 3,24+ Right,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M57.00S,2024-04-07T23:11:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612759,0,0,2024-04-07T23:12:02Z,190000,False,,,0,,P. Reed shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1630194, 1641705]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,,,201638.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,
21,PT10M57.00S,2024-04-07T23:12:19.3Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,1,0,2024-04-07T23:12:19Z,210000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
22,PT10M57.00S,2024-04-07T23:12:40.8Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,2,0,2024-04-07T23:12:40Z,220000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
23,PT10M35.00S,2024-04-07T23:13:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,9.411957950065702,54.166666666666664,1610612755,2,0,2024-04-07T23:13:12Z,230000,False,-21.0,36.0,1,left,MISS P. Reed Layup,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,4.16,Missed,,,,,,,,,,,,,,,,,,
24,PT10M31.00S,2024-04-07T23:13:08.1Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,2,0,2024-04-07T23:13:08Z,240000,False,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
25,PT10M31.00S,2024-04-07T23:13:08.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630194,5.590000152587891,50.0,1610612755,2,0,2024-04-07T23:13:08Z,250000,False,0.0,0.0,1,left,MISS P. Reed tip Layup,[1630194],1610612755.0,PHI,tip,,,Reed,P. Reed,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
26,PT10M31.00S,2024-04-07T23:13:08.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,0,2024-04-07T23:13:08Z,260000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT10M31.00S,2024-04-07T23:13:10.7Z,1,REGULAR,turnover,out-of-bounds,[],1629640,,,1610612759,2,0,2024-04-07T23:13:26Z,270000,False,,,0,,K. Johnson step out-of-bounds TURNOVER (1 TO),[1629640],1610612759.0,SAS,step,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1628954.0,,,,,,1.0,,,,,
28,PT10M18.00S,2024-04-07T23:13:35.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626162,7.440867279894875,52.69607843137255,1610612755,2,2,2024-04-07T23:13:44Z,280000,False,-13.0,17.0,1,left,K. Oubre Jr. driving finger roll Layup (2 PTS) (P. Reed 1 AST),"[1626162, 1630194]",1610612755.0,PHI,driving finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,,,,,,,,2.0,,P. Reed,1630194.0,1.0,,
29,PT10M06.00S,2024-04-07T23:13:47.4Z,1,REGULAR,3pt,Jump Shot,[],1630577,80.1084099868594,94.36274509803921,1610612759,5,2,2024-04-07T23:13:52Z,290000,False,222.0,134.0,1,right,J. Champagnie 25' 3PT  (3 PTS) (T. Jones 1 AST),"[1630577, 1630200]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,25.94,Made,,,,,,,,,,,,3.0,,T. Jones,1630200.0,1.0,,
32,PT09M56.00S,2024-04-07T23:13:58.1Z,1,REGULAR,3pt,Jump Shot,[],1626166,27.414586070959263,81.37254901960785,1610612755,5,2,2024-04-07T23:14:04Z,310000,False,-157.0,205.0,1,left,MISS C. Payne 25' step back 3PT,[1626166],1610612755.0,PHI,step back,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
33,PT09M52.00S,2024-04-07T23:14:02.1Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,5,2,2024-04-07T23:14:04Z,320000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M40.00S,2024-04-07T23:14:13.8Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,5,2,2024-04-07T23:14:18Z,330000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 201587]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,1.0,,,,Batum,201587.0
35,PT09M40.00S,2024-04-07T23:14:13.8Z,1,REGULAR,steal,,[],201587,,,1610612755,5,2,2024-04-07T23:14:15Z,340000,False,,,0,,N. Batum STEAL (1 STL),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
36,PT09M35.00S,2024-04-07T23:14:18.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626166,29.25427069645204,15.931372549019606,1610612755,5,5,2024-04-07T23:14:39Z,350000,False,170.0,222.0,1,left,C. Payne 28' 3PT running pullup (3 PTS),[1626166],1610612755.0,PHI,running pullup,,,Payne,C. Payne,,,,,Above the Break 3,24+ Right Center,28.02,Made,,,,,,,,,,,,3.0,,,,,,
37,PT09M18.00S,2024-04-07T23:14:35.1Z,1,REGULAR,3pt,Jump Shot,[],1629640,88.38699080157687,95.83333333333334,1610612759,8,5,2024-04-07T23:14:42Z,360000,False,229.0,57.0,1,right,K. Johnson 3PT  (3 PTS) (J. Champagnie 1 AST),"[1629640, 1630577]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,23.61,Made,,,,,,,,,,,,3.0,,J. Champagnie,1630577.0,1.0,,
39,PT09M06.00S,2024-04-07T23:14:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,8.492115637319317,48.28431372549019,1610612755,8,7,2024-04-07T23:14:54Z,380000,False,9.0,27.0,1,left,P. Reed Layup (2 PTS) (K. Oubre Jr. 1 AST),"[1630194, 1626162]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,2.86,Made,,,,,,,,,,,,2.0,,K. Oubre Jr.,1626162.0,1.0,,
41,PT08M52.00S,2024-04-07T23:15:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,90.88370565045992,44.6078431372549,1610612759,8,7,2024-04-07T23:15:08Z,400000,False,-27.0,33.0,1,right,MISS V. Wembanyama cutting finger roll Layup,[1641705],1610612759.0,SAS,cutting finger roll,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,4.28,Missed,,,,,,,,,,,,,,,,,,
42,PT08M50.00S,2024-04-07T23:15:04.2Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,8,7,2024-04-07T23:15:08Z,410000,False,,,0,,P. Reed REBOUND (Off:1 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,
43,PT08M47.00S,2024-04-07T23:15:09.1Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612755,8,7,2024-04-07T23:15:20Z,420000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Maxey 2 FT),"[1629640, 1630178]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,201638.0,1.0,0.0,Maxey,1630178.0,,,,,,,
45,PT08M47.00S,2024-04-07T23:15:34.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630178,,,1610612755,8,8,2024-04-07T23:15:34Z,440000,False,,,0,,T. Maxey Free Throw 1 of 2 (1 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
46,PT08M47.00S,2024-04-07T23:15:52.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630178,,,1610612755,8,9,2024-04-07T23:15:52Z,450000,False,,,0,,T. Maxey Free Throw 2 of 2 (2 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
47,PT08M31.00S,2024-04-07T23:16:10.2Z,1,REGULAR,2pt,Jump Shot,[],1641705,87.59855453350855,75.49019607843137,1610612759,10,9,2024-04-07T23:16:15Z,460000,False,127.0,64.0,1,right,V. Wembanyama 14' Jump Shot (4 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Right,14.27,Made,,,,,,,,,,,,4.0,,,,,,
48,PT08M15.00S,2024-04-07T23:16:25.0Z,1,REGULAR,3pt,Jump Shot,[],201587,13.87976346911958,95.09803921568627,1610612755,10,9,2024-04-07T23:16:29Z,470000,False,-225.0,78.0,1,left,MISS N. Batum 3PT,[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Left Corner 3,24+ Left,23.86,Missed,,,,,,,,,,,,,,,,,,
49,PT08M13.00S,2024-04-07T23:16:27.0Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,10,9,2024-04-07T23:16:29Z,480000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Left Corner 3,24+ Left,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
