actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-31T23:10:26.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-31T23:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-31T23:10:28.9Z,1,REGULAR,jumpball,recovered,[],1631103,,,1610612759,0,0,2024-03-31T23:10:28Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. T. Jackson-Davis: Tip to M. Branham,"[1631103, 1641705, 1631218]",1610612759.0,SAS,startperiod,M. Branham,1631103.0,Branham,M. Branham,Wembanyama,1641705.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-31T23:10:41.5Z,1,REGULAR,turnover,out-of-bounds,[],1641705,,,1610612759,0,0,2024-03-31T23:10:50Z,70000,False,,,0,,V. Wembanyama lost ball out-of-bounds TURNOVER (1 TO),[1641705],1610612759.0,SAS,lost ball,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,1628951.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-03-31T23:11:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,92.19776609724047,49.01960784313725,1610612744,0,0,2024-03-31T23:11:20Z,80000,False,-5.0,21.0,1,right,MISS A. Wiggins driving finger roll Layup,[203952],1610612744.0,GSW,driving finger roll,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,2.14,Missed,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-03-31T23:11:16.6Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,0,0,2024-03-31T23:11:16Z,90000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M18.00S,2024-03-31T23:11:16.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203952,94.40999984741211,50.0,1610612744,0,0,2024-03-31T23:11:16Z,100000,False,0.0,0.0,1,right,MISS A. Wiggins putback Layup - blocked,"[203952, 1641705]",1610612744.0,GSW,putback,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,,
11,PT11M18.00S,2024-03-31T23:11:16.6Z,1,REGULAR,block,,[],1641705,,,1610612744,0,0,2024-03-31T23:11:18Z,110000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2024-03-31T23:11:20.6Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,0,2024-03-31T23:11:20Z,120000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Left,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M11.00S,2024-03-31T23:11:23.5Z,1,REGULAR,3pt,Jump Shot,[],1631103,14.011169513797633,4.6568627450980395,1610612759,0,0,2024-03-31T23:11:33Z,130000,False,227.0,79.0,1,left,MISS M. Branham 24' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Right Corner 3,24+ Right,,,24.01,Missed,,,,,,,,,,,,,,,,
14,PT11M11.00S,2024-03-31T23:11:23.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,0,2024-03-31T23:11:33Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Right Corner 3,24+ Right,,,,,13.0,,,,,,,,,,,,,,,
16,PT10M56.00S,2024-03-31T23:11:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,92.59198423127464,55.88235294117647,1610612744,0,0,2024-03-31T23:12:15Z,160000,False,29.0,17.0,1,right,MISS S. Curry driving finger roll Layup - blocked,"[201939, 1641705]",1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,3.4,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,,
20,PT10M56.00S,2024-03-31T23:11:49.8Z,1,REGULAR,block,,[],1641705,,,1610612744,0,0,2024-03-31T23:12:15Z,165000,False,,,0,,V. Wembanyama BLOCK (2 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2024-03-31T23:11:52.8Z,1,REGULAR,rebound,defensive,[],1626224,,,1610612759,0,0,2024-03-31T23:12:15Z,170000,False,,,0,,C. Osman REBOUND (Off:0 Def:1),[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,Restricted Area,0-8 Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M51.00S,2024-03-31T23:11:59.3Z,1,REGULAR,foul,personal,['2freethrow'],1631218,,,1610612759,0,0,2024-03-31T23:12:12Z,180000,False,,,0,,T. Jackson-Davis shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1631218, 1641705]",1610612744.0,GSW,shooting,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,8-16 Right,1628951.0,,,,,,,,,,1.0,0.0,Wembanyama,1641705.0,,,,,,
21,PT10M51.00S,2024-03-31T23:12:20.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641705,,,1610612759,1,0,2024-03-31T23:12:20Z,200000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
