actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-13T01:10:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-13T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-13T01:10:21.9Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2024-01-13T01:10:22Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. N. Richards: Tip to J. Sochan,"[1631110, 1641705, 1630208]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Wembanyama,1641705.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-13T01:10:34.7Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,0,0,2024-01-13T01:10:43Z,70000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 1630163]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,1.0,Ball,1630163.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-01-13T01:10:34.7Z,1,REGULAR,steal,,[],1630163,,,1610612766,0,0,2024-01-13T01:10:36Z,80000,False,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2024-01-13T01:10:43.4Z,1,REGULAR,foul,personal,[],1630200,,,1610612766,0,0,2024-01-13T01:11:01Z,90000,False,,,0,,T. Jones personal FOUL (1 PF),"[1630200, 1630208]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Center,,,,1627962.0,1.0,0.0,Richards,1630208.0,,,,,,,,,,,,
11,PT11M29.00S,2024-01-13T01:11:01.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626179,83.919185282523,51.470588235294116,1610612766,0,2,2024-01-13T01:11:09Z,110000,False,7.0,99.0,1,right,T. Rozier 9' fadeaway Jump Shot (2 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,fadeaway,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,9.9,Made,2.0,L. Ball,1630163.0,1.0,,,,,,
12,PT11M11.00S,2024-01-13T01:11:19.5Z,1,REGULAR,foul,personal,['3freethrow'],1641706,,,1610612759,0,2,2024-01-13T01:13:20Z,120000,False,,,0,,B. Miller flagrant-type-1 personal FOUL (1 PF) (Champagnie 3 FT),"[1641706, 1630577]",1610612766.0,CHA,flagrant-type-1,,,Miller,B. Miller,,,,,Right Corner 3,24+ Right,,,,1628159.0,1.0,0.0,Champagnie,1630577.0,,,,,,,,,,,,
16,PT11M11.00S,2024-01-13T01:13:24.9Z,1,REGULAR,freethrow,1 of 3,[],1630577,,,1610612759,1,2,2024-01-13T01:14:25Z,150000,False,,,0,,J. Champagnie flagrant Free Throw 1 of 3 (1 PTS),[1630577],1610612759.0,SAS,flagrant,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,
17,PT11M11.00S,2024-01-13T01:13:24.9Z,1,REGULAR,freethrow,2 of 3,[],1630577,,,1610612759,2,2,2024-01-13T01:14:25Z,160000,False,,,0,,J. Champagnie flagrant Free Throw 2 of 3 (2 PTS),[1630577],1610612759.0,SAS,flagrant,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,
18,PT11M11.00S,2024-01-13T01:13:24.9Z,1,REGULAR,freethrow,3 of 3,[],1630577,,,1610612759,3,2,2024-01-13T01:14:25Z,170000,False,,,0,,J. Champagnie flagrant Free Throw 3 of 3 (3 PTS),[1630577],1610612759.0,SAS,flagrant,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,Made,3.0,,,,,,,,,
