actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-27T01:10:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-27T01:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-27T01:10:33.1Z,1,REGULAR,jumpball,recovered,[],1631103,,,1610612759,0,0,2023-12-27T01:10:33Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. J. Collins: Tip to M. Branham,"[1631103, 1641705, 1628381]",1610612759.0,SAS,startperiod,M. Branham,1631103.0,Branham,M. Branham,Wembanyama,1641705.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-27T01:10:49.5Z,1,REGULAR,3pt,Jump Shot,[],1630577,28.991458607095925,75.49019607843137,1610612759,3,0,2023-12-27T01:10:54Z,70000,False,-127.0,220.0,1,left,J. Champagnie 25' 3PT  (3 PTS) (V. Wembanyama 1 AST),"[1630577, 1641705]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.43,Made,3.0,V. Wembanyama,1641705.0,1.0,,,,,,,,,,,,,,
9,PT11M16.00S,2023-12-27T01:11:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,94.1688567674113,54.90196078431373,1610612762,3,0,2023-12-27T01:11:27Z,90000,False,25.0,2.0,1,right,MISS J. Collins driving Layup,[1628381],1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,2.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2023-12-27T01:11:16.0Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,3,0,2023-12-27T01:11:27Z,100000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M04.00S,2023-12-27T01:11:25.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630577,6.258212877792378,50.245098039215684,1610612759,5,0,2023-12-27T01:11:30Z,110000,False,-1.0,6.0,1,left,J. Champagnie cutting DUNK (5 PTS) (J. Sochan 1 AST),"[1630577, 1631110]",1610612759.0,SAS,cutting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,0.64,Made,5.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
13,PT10M53.00S,2023-12-27T01:11:37.0Z,1,REGULAR,3pt,Jump Shot,[],203482,74.32654402102497,15.441176470588236,1610612762,5,3,2023-12-27T01:11:42Z,130000,False,-173.0,189.0,1,right,K. Olynyk 25' 3PT  (3 PTS) (C. Sexton 1 AST),"[203482, 1629012]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Left Center,25.59,Made,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
15,PT10M41.00S,2023-12-27T01:11:52.9Z,1,REGULAR,turnover,traveling,[],1641705,,,1610612759,5,3,2023-12-27T01:12:01Z,150000,False,,,0,,V. Wembanyama traveling TURNOVER (1 TO),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1662.0,1.0,,,,,,,,
16,PT10M29.00S,2023-12-27T01:12:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627739,94.95729303547962,53.67647058823529,1610612762,5,3,2023-12-27T01:12:22Z,160000,False,18.0,-5.0,1,right,MISS K. Dunn driving finger roll Layup,[1627739],1610612762.0,UTA,driving finger roll,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2023-12-27T01:12:22.6Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,5,3,2023-12-27T01:12:22Z,170000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,
