actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,shotActionNumber,area,areaDetail,turnoverTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-13T00:10:21.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-13T00:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-13T00:10:25.1Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2024-04-13T00:10:25Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. N. Jokic: Tip to J. Champagnie,"[1630577, 1641705, 203999]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-04-13T00:10:38.7Z,1,REGULAR,foul,technical,['1freethrow'],203999,,,1610612759,0,0,2024-04-13T00:11:03Z,70000,False,,,0,,N. Jokic defensive-3-second technical FOUL (1 Tech),[203999],1610612743.0,DEN,defensive-3-second,,,Jokic,N. Jokic,,,,,1627964.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-04-13T00:11:04.6Z,1,REGULAR,freethrow,1 of 1,[],1641705,,,1610612759,0,0,2024-04-13T00:11:04Z,80000,False,,,0,,MISS V. Wembanyama technical Free Throw 1 of 1,[1641705],1610612759.0,SAS,technical,,,Wembanyama,V. Wembanyama,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-04-13T00:11:04.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,0,0,2024-04-13T00:11:04Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
10,PT11M42.00S,2024-04-13T00:11:22.5Z,1,REGULAR,turnover,out-of-bounds,[],1630200,,,1610612759,0,0,2024-04-13T00:11:31Z,100000,False,,,0,,T. Jones bad pass out-of-bounds TURNOVER (1 TO),[1630200],1610612759.0,SAS,bad pass,,,Jones,T. Jones,,,,,1627964.0,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,
11,PT11M22.00S,2024-04-13T00:11:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203484,4.418528252299605,2.450980392156863,1610612743,0,0,2024-04-13T00:11:56Z,110000,False,238.0,-11.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Missed,,Right Corner 3,24+ Right,,23.8,,,,,,,,,,,,,
12,PT11M19.00S,2024-04-13T00:11:54.0Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2024-04-13T00:11:56Z,120000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,11.0,Right Corner 3,24+ Right,,,1.0,1.0,0.0,,,,,,,,,,
13,PT11M12.00S,2024-04-13T00:12:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,91.40932982917214,39.46078431372549,1610612759,2,0,2024-04-13T00:12:22Z,130000,False,-53.0,28.0,1,right,V. Wembanyama turnaround bank Jump Shot (2 PTS),[1641705],1610612759.0,SAS,turnaround bank,,,Wembanyama,V. Wembanyama,,,,,,,,Made,,In The Paint (Non-RA),0-8 Center,,5.98,,,,2.0,,,,,,,,,
14,PT11M00.00S,2024-04-13T00:12:12.3Z,1,REGULAR,2pt,Jump Shot,[],1629008,23.209592641261498,68.38235294117648,1610612743,2,0,2024-04-13T00:13:13Z,140000,False,-92.0,166.0,1,left,MISS M. Porter Jr. 18' step back Shot,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,,,,Missed,,Mid-Range,16-24 Left Center,,18.95,,,,,,,,,,,,,
15,PT11M00.00S,2024-04-13T00:12:12.3Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612759,2,0,2024-04-13T00:12:25Z,150000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,14.0,Mid-Range,16-24 Left Center,,,1.0,1.0,0.0,,,,,,,,,,
16,PT10M51.00S,2024-04-13T00:12:21.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,67.7562417871222,75.0,1610612759,2,0,2024-04-13T00:13:43Z,160000,False,125.0,251.0,1,right,MISS V. Wembanyama 28' running pullup 3PT,[1641705],1610612759.0,SAS,running pullup,,,Wembanyama,V. Wembanyama,,,,,,,,Missed,,Above the Break 3,24+ Right Center,,28.0,,,,,,,,,,,,,
17,PT10M48.00S,2024-04-13T00:12:24.5Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,2,0,2024-04-13T00:12:32Z,170000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,16.0,Above the Break 3,24+ Right Center,,,1.0,1.0,0.0,,,,,,,,,,
18,PT10M43.00S,2024-04-13T00:12:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,5.206964520367937,51.225490196078425,1610612743,2,2,2024-04-13T00:12:48Z,180000,False,-6.0,-4.0,1,left,N. Jokic Layup (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,Restricted Area,0-8 Center,,0.71,,,,2.0,J. Murray,1627750.0,1.0,,,,,,
20,PT10M27.00S,2024-04-13T00:12:46.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630572,86.41590013140605,49.50980392156863,1610612759,2,2,2024-04-13T00:13:05Z,200000,False,-2.0,75.0,1,right,MISS S. Mamukelashvili 7' floating Shot,[1630572],1610612759.0,SAS,floating,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,Missed,,In The Paint (Non-RA),0-8 Center,,7.52,,,,,,,,,,,,,
21,PT10M27.00S,2024-04-13T00:12:46.8Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,2,2,2024-04-13T00:13:05Z,210000,False,,,0,,J. Murray REBOUND (Off:0 Def:2),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,20.0,In The Paint (Non-RA),0-8 Center,,,2.0,2.0,0.0,,,,,,,,,,
22,PT10M17.00S,2024-04-13T00:12:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,13.87976346911958,50.245098039215684,1610612743,2,4,2024-04-13T00:13:08Z,220000,False,-1.0,78.0,1,left,N. Jokic 7' floating Jump Shot (4 PTS) (J. Murray 2 AST),"[203999, 1627750]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,,,,Made,,In The Paint (Non-RA),0-8 Center,,7.8,,,,4.0,J. Murray,1627750.0,2.0,,,,,,
24,PT10M01.00S,2024-04-13T00:13:11.7Z,1,REGULAR,3pt,Jump Shot,[],1630577,96.27135348226018,96.56862745098039,1610612759,5,4,2024-04-13T00:13:17Z,240000,False,233.0,-17.0,1,right,J. Champagnie 3PT  (3 PTS) (V. Wembanyama 1 AST),"[1630577, 1641705]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,Made,,Right Corner 3,24+ Right,,23.35,,,,3.0,V. Wembanyama,1641705.0,1.0,,,,,,
26,PT09M50.00S,2024-04-13T00:13:22.2Z,1,REGULAR,3pt,Jump Shot,[],1627750,31.09395532194481,25.245098039215684,1610612743,5,4,2024-04-13T00:13:28Z,260000,False,124.0,240.0,1,left,MISS J. Murray 26' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Missed,,Above the Break 3,24+ Right Center,,26.99,,,,,,,,,,,,,
27,PT09M47.00S,2024-04-13T00:13:25.2Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,4,2024-04-13T00:13:28Z,270000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,26.0,Above the Break 3,24+ Right Center,,,2.0,2.0,0.0,,,,,,,,,,
28,PT09M43.00S,2024-04-13T00:13:30.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,66.96780551905388,37.5,1610612759,5,4,2024-04-13T00:15:27Z,280000,False,-62.0,258.0,1,right,MISS V. Wembanyama 26' running pullup 3PT,[1641705],1610612759.0,SAS,running pullup,,,Wembanyama,V. Wembanyama,,,,,,,,Missed,,Above the Break 3,24+ Center,,26.55,,,,,,,,,,,,,
29,PT09M40.00S,2024-04-13T00:13:33.1Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,5,4,2024-04-13T00:13:37Z,290000,False,,,0,,J. Murray REBOUND (Off:0 Def:3),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,28.0,Above the Break 3,24+ Center,,,3.0,3.0,0.0,,,,,,,,,,
30,PT09M39.00S,2024-04-13T00:13:34.7Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,5,4,2024-04-13T00:13:41Z,300000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1641705]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,Wembanyama,1641705.0,,,,
31,PT09M39.00S,2024-04-13T00:13:34.7Z,1,REGULAR,steal,,[],1641705,,,1610612759,5,4,2024-04-13T00:13:36Z,310000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,
32,PT09M34.00S,2024-04-13T00:13:39.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641705,93.9060446780552,51.470588235294116,1610612759,7,4,2024-04-13T00:14:59Z,320000,False,7.0,5.0,1,right,V. Wembanyama running DUNK (4 PTS) (B. Wesley 1 AST),"[1641705, 1631104]",1610612759.0,SAS,running,,,Wembanyama,V. Wembanyama,,,,,,,,Made,,Restricted Area,0-8 Center,,0.88,,,,4.0,B. Wesley,1631104.0,1.0,,,,,,
34,PT09M14.00S,2024-04-13T00:13:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,5.206964520367937,50.0,1610612743,7,6,2024-04-13T00:16:16Z,340000,False,0.0,-4.0,1,left,M. Porter Jr. cutting Layup (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,Restricted Area,0-8 Center,,0.36,,,,2.0,A. Gordon,203932.0,1.0,,,,,,
36,PT09M07.00S,2024-04-13T00:14:05.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631104,93.64323258869908,50.245098039215684,1610612759,9,6,2024-04-13T00:14:19Z,360000,False,1.0,7.0,1,right,B. Wesley driving DUNK (2 PTS) (T. Jones 1 AST),"[1631104, 1630200]",1610612759.0,SAS,driving,,,Wesley,B. Wesley,,,,,,,,Made,,Restricted Area,0-8 Center,,0.74,,,,2.0,T. Jones,1630200.0,1.0,,,,,,
