actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
381,PT09M18.00S,2024-01-25T04:07:42.3Z,3,REGULAR,foul,personal,['2freethrow'],1631104,,,1610612760,58,74,2024-01-25T04:07:50Z,3750000,False,,,0,,B. Wesley shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1631104, 1628983]",1610612759.0,SAS,shooting,,,Wesley,B. Wesley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203591.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
383,PT09M18.00S,2024-01-25T04:08:08.3Z,3,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628983,,,1610612760,58,75,2024-01-25T04:08:08Z,3770000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (20 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,20.0,,,,,,,,,,,,,,,,,
384,PT09M18.00S,2024-01-25T04:08:20.2Z,3,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628983,,,1610612760,58,76,2024-01-25T04:08:20Z,3780000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (21 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,21.0,,,,,,,,,,,,,,,,,
385,PT09M01.00S,2024-01-25T04:08:38.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631104,5.601182654402102,48.28431372549019,1610612759,60,76,2024-01-25T04:09:22Z,3790000,False,9.0,0.0,1,left,B. Wesley cutting Layup (7 PTS) (J. Sochan 3 AST),"[1631104, 1631110]",1610612759.0,SAS,cutting,,,Wesley,B. Wesley,,,,,Restricted Area,0-8 Center,0.86,Made,7.0,J. Sochan,1631110.0,3.0,,,,,,,,,,,,,,
387,PT08M52.00S,2024-01-25T04:08:50.8Z,3,REGULAR,foul,personal,['2freethrow'],1631110,,,1610612760,60,76,2024-01-25T04:08:55Z,3810000,False,,,0,,J. Sochan shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1631110, 1628983]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2004.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
389,PT08M52.00S,2024-01-25T04:09:11.1Z,3,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,60,77,2024-01-25T04:09:11Z,3830000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (22 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,22.0,,,,,,,,,,,,,,,,,
390,PT08M52.00S,2024-01-25T04:09:24.3Z,3,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,60,78,2024-01-25T04:09:24Z,3840000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (23 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,23.0,,,,,,,,,,,,,,,,,
391,PT08M33.00S,2024-01-25T04:09:45.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631104,13.87976346911958,49.26470588235294,1610612759,62,78,2024-01-25T04:10:11Z,3850000,False,4.0,78.0,1,left,B. Wesley 7' step back Jump Shot (9 PTS) (V. Wembanyama 3 AST),"[1631104, 1641705]",1610612759.0,SAS,step back,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),0-8 Center,7.81,Made,9.0,V. Wembanyama,1641705.0,3.0,,,,,,,,,,,,,,
393,PT08M13.00S,2024-01-25T04:10:09.6Z,3,REGULAR,foul,personal,[],1630577,,,1610612760,62,78,2024-01-25T04:10:15Z,3870000,False,,,0,,J. Champagnie personal FOUL (1 PF),"[1630577, 1629652]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2004.0,1.0,0.0,Dort,1629652.0,,,,,
395,PT08M09.00S,2024-01-25T04:10:31.8Z,3,REGULAR,3pt,Jump Shot,[],1631096,66.96780551905388,54.65686274509803,1610612760,62,78,2024-01-25T04:10:35Z,3890000,False,23.0,258.0,1,right,MISS C. Holmgren 25' 3PT - blocked,"[1631096, 1631104]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,25.9,Missed,,,,,,,,,,,,,,,,,Wesley,1631104.0
408,PT08M09.00S,2024-01-25T04:10:31.8Z,3,REGULAR,block,,[],1631104,,,1610612760,62,78,2024-01-25T04:12:03Z,3895000,False,,,0,,B. Wesley BLOCK (1 BLK),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
396,PT08M07.00S,2024-01-25T04:10:33.8Z,3,REGULAR,rebound,defensive,[],1641705,,,1610612759,62,78,2024-01-25T04:10:35Z,3900000,False,,,0,,V. Wembanyama REBOUND (Off:3 Def:3),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,,395.0,6.0,3.0,3.0,,,,,,,,,,
397,PT08M03.00S,2024-01-25T04:10:41.8Z,3,REGULAR,foul,personal,[],1628983,,,1610612759,62,78,2024-01-25T04:10:50Z,3910000,False,,,0,,S. Gilgeous-Alexander personal FOUL (3 PF),"[1628983, 1630170]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2004.0,3.0,0.0,Vassell,1630170.0,,,,,
399,PT07M53.00S,2024-01-25T04:11:12.7Z,3,REGULAR,3pt,Jump Shot,[],1631110,31.35676741130092,32.1078431372549,1610612759,62,78,2024-01-25T04:11:17Z,3930000,False,89.0,242.0,1,left,MISS J. Sochan 25' 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
400,PT07M50.00S,2024-01-25T04:11:15.7Z,3,REGULAR,rebound,defensive,[],1631114,,,1610612760,62,78,2024-01-25T04:44:36Z,3940000,False,,,0,,J. Williams REBOUND (Off:0 Def:4),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,399.0,4.0,4.0,0.0,,,,,,,,,,
401,PT07M35.00S,2024-01-25T04:11:29.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,93.64323258869908,51.71568627450981,1610612760,62,78,2024-01-25T04:11:35Z,3950000,False,9.0,7.0,1,right,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,,,,,,,
403,PT07M31.00S,2024-01-25T04:11:33.8Z,3,REGULAR,rebound,defensive,[],1641705,,,1610612759,62,78,2024-01-25T04:11:35Z,3970000,False,,,0,,V. Wembanyama REBOUND (Off:3 Def:4),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,401.0,7.0,4.0,3.0,,,,,,,,,,
404,PT07M29.00S,2024-01-25T04:11:36.6Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,24.917871222076215,14.705882352941178,1610612759,65,78,2024-01-25T04:13:31Z,3980000,False,176.0,182.0,1,left,D. Vassell 25' 3PT running pullup (15 PTS) (V. Wembanyama 4 AST),"[1630170, 1641705]",1610612759.0,SAS,running pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,25.33,Made,15.0,V. Wembanyama,1641705.0,4.0,,,,,,,,,,,,,,
406,PT07M17.00S,2024-01-25T04:11:48.6Z,3,REGULAR,2pt,Jump Shot,[],1628983,94.56307490144546,71.07843137254902,1610612760,65,78,2024-01-25T04:11:52Z,4000000,False,105.0,-1.0,1,right,MISS S. Gilgeous-Alexander 10' fadeaway Shot,[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,10.54,Missed,,,,,,,,,,,,,,,,,,
407,PT07M15.00S,2024-01-25T04:11:50.6Z,3,REGULAR,rebound,defensive,[],1630577,,,1610612759,65,78,2024-01-25T04:11:52Z,4010000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Right,,,,,,,406.0,2.0,2.0,0.0,,,,,,,,,,
