actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-30T00:10:42.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-30T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-30T00:10:45.4Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2024-03-30T00:10:45Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. I. Hartenstein: Tip to J. Sochan,"[1631110, 1641705, 1628392]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Wembanyama,1641705.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-30T00:10:59.4Z,1,REGULAR,3pt,Jump Shot,[],1630577,92.59198423127464,96.56862745098039,1610612759,3,0,2024-03-30T00:11:06Z,70000,False,233.0,17.0,1,right,J. Champagnie 3PT  (3 PTS) (T. Jones 1 AST),"[1630577, 1630200]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,23.34,Made,3.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2024-03-30T00:11:09.2Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612752,3,0,2024-03-30T00:11:24Z,90000,False,,,0,,J. Hart bad pass out-of-bounds TURNOVER (1 TO),[1628404],1610612752.0,NYK,bad pass,,,Hart,J. Hart,,,,,Mid-Range,16-24 Right Center,,,,,,,202007.0,1.0,,,,,,,,,,,,
10,PT11M24.00S,2024-03-30T00:11:34.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641705,72.61826544021025,45.09803921568628,1610612759,5,0,2024-03-30T00:11:42Z,100000,False,-25.0,205.0,1,right,V. Wembanyama 20' Jump Shot (2 PTS) (D. Vassell 1 AST),"[1641705, 1630170]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,20.64,Made,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
12,PT11M07.00S,2024-03-30T00:11:55.1Z,1,REGULAR,foul,offensive,[],1628392,,,1610612752,5,0,2024-03-30T00:12:24Z,120000,False,,,0,,I. Hartenstein offensive FOUL (1 PF),"[1628392, 1630200]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,1627519.0,,1.0,0.0,Jones,1630200.0,,,,,,,,
14,PT11M07.00S,2024-03-30T00:11:55.1Z,1,REGULAR,turnover,offensive foul,[],1628392,,,1610612752,5,0,2024-03-30T00:11:55Z,140000,False,,,0,,I. Hartenstein offensive foul TURNOVER (1 TO),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,1627519.0,1.0,,,,,,,,,,,,
15,PT10M56.00S,2024-03-30T00:12:16.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630170,80.3712220762155,63.970588235294116,1610612759,7,0,2024-03-30T00:12:43Z,150000,False,70.0,132.0,1,right,D. Vassell 14' pullup Jump Shot (2 PTS) (V. Wembanyama 1 AST),"[1630170, 1641705]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,14.94,Made,2.0,V. Wembanyama,1641705.0,1.0,,,,,,,,,,,,,,
16,PT10M33.00S,2024-03-30T00:12:40.3Z,1,REGULAR,2pt,Jump Shot,[],1628973,10.463206307490145,18.38235294117647,1610612752,7,0,2024-03-30T00:13:21Z,160000,False,158.0,46.0,1,left,MISS J. Brunson 16' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right,16.46,Missed,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2024-03-30T00:12:46.3Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,7,0,2024-03-30T00:13:21Z,170000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
19,PT10M18.00S,2024-03-30T00:12:58.1Z,1,REGULAR,turnover,traveling,[],1641705,,,1610612759,7,0,2024-03-30T00:13:06Z,180000,False,,,0,,V. Wembanyama traveling TURNOVER (1 TO),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2882.0,1.0,,,,,,,,,,,,
20,PT10M02.00S,2024-03-30T00:13:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628973,5.650459921156373,54.43474264705882,1610612752,7,2,2024-03-30T00:13:31Z,190000,False,-22.0,1.0,1,left,J. Brunson driving Layup (2 PTS),[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M47.00S,2024-03-30T00:13:33.7Z,1,REGULAR,3pt,Jump Shot,[],1641705,66.5735873850197,50.0,1610612759,7,2,2024-03-30T00:13:42Z,200000,False,0.0,262.0,1,right,MISS V. Wembanyama 26' pullup 3PT,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,26.17,Missed,,,,,,,,,,,,,,,,,,
22,PT09M44.00S,2024-03-30T00:13:36.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,7,2,2024-03-30T00:13:42Z,210000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,
23,PT09M34.00S,2024-03-30T00:13:50.1Z,1,REGULAR,foul,offensive,[],1628392,,,1610612752,7,2,2024-03-30T00:14:03Z,220000,False,,,0,,I. Hartenstein charge offensive FOUL (2 PF),"[1628392, 1641705]",1610612752.0,NYK,charge,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,,2.0,0.0,Wembanyama,1641705.0,,,,,,,,
25,PT09M34.00S,2024-03-30T00:13:50.1Z,1,REGULAR,turnover,offensive foul,[],1628392,,,1610612752,7,2,2024-03-30T00:13:50Z,240000,False,,,0,,I. Hartenstein offensive foul TURNOVER (2 TO),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,2.0,,,,,,,,,,,,
