actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-21T01:10:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-21T01:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-21T01:10:25.8Z,1,REGULAR,jumpball,recovered,[],1628380,,,1610612759,0,0,2023-11-21T01:10:25Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. I. Zubac: Tip to Z. Collins,"[1628380, 1641705, 1627826]",1610612759.0,SAS,startperiod,Z. Collins,1628380.0,Collins,Z. Collins,Wembanyama,1641705.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-11-21T01:10:43.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628380,8.623521681997373,39.705882352941174,1610612759,0,0,2023-11-21T01:10:50Z,70000,False,51.0,29.0,1,left,MISS Z. Collins turnaround bank Hook,[1628380],1610612759.0,SAS,turnaround bank,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,5.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-11-21T01:10:45.0Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2023-11-21T01:10:50Z,80000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-11-21T01:10:59.3Z,1,REGULAR,foul,personal,[],1641705,,,1610612746,0,0,2023-11-21T01:11:08Z,90000,False,,,0,,V. Wembanyama personal FOUL (1 PF),"[1641705, 202331]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,,,,101283.0,1.0,0.0,George,202331.0,,,,,,,,,
11,PT11M26.00S,2023-11-21T01:11:46.8Z,1,REGULAR,substitution,out,[],202331,,,1610612746,0,0,2023-11-21T01:12:01Z,110000,False,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2023-11-21T01:11:46.8Z,1,REGULAR,substitution,in,[],1626181,,,1610612746,0,0,2023-11-21T01:12:01Z,120000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2023-11-21T01:12:13.0Z,1,REGULAR,3pt,Jump Shot,[],201935,69.99014454664915,80.3921568627451,1610612746,0,0,2023-11-21T01:12:25Z,130000,False,152.0,230.0,1,right,MISS J. Harden 27' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,27.54,Missed,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2023-11-21T01:12:16.0Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,0,2023-11-21T01:12:25Z,140000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M05.00S,2023-11-21T01:12:26.4Z,1,REGULAR,2pt,Jump Shot,[],1641705,13.87976346911958,25.735294117647058,1610612759,2,0,2023-11-21T01:12:31Z,150000,False,121.0,78.0,1,left,V. Wembanyama 14' Jump Shot (2 PTS) (K. Johnson 1 AST),"[1641705, 1629640]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Right,14.42,Made,,,,,,,,,,2.0,K. Johnson,1629640.0,1.0,,,,,
17,PT10M49.00S,2023-11-21T01:12:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,87.07293035479631,61.51960784313726,1610612746,2,0,2023-11-21T01:12:50Z,170000,False,58.0,69.0,1,right,MISS K. Leonard 8' driving floating Shot,[202695],1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,8.99,Missed,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2023-11-21T01:12:44.8Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,2,0,2023-11-21T01:12:44Z,180000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Right,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M36.00S,2023-11-21T01:12:55.2Z,1,REGULAR,3pt,Jump Shot,[],1628380,29.122864651773984,75.98039215686273,1610612759,2,0,2023-11-21T01:13:01Z,190000,False,-130.0,221.0,1,left,MISS Z. Collins 25' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
20,PT10M33.00S,2023-11-21T01:12:58.2Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,2,0,2023-11-21T01:13:01Z,200000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M20.00S,2023-11-21T01:13:11.3Z,1,REGULAR,3pt,Jump Shot,[],1626181,90.75229960578186,2.2058823529411766,1610612746,2,0,2023-11-21T01:13:16Z,210000,False,-239.0,34.0,1,right,MISS N. Powell 24' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Left Corner 3,24+ Left,24.15,Missed,,,,,,,,,,,,,,,,,,
22,PT10M18.00S,2023-11-21T01:13:13.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,2,0,2023-11-21T01:13:16Z,220000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Left Corner 3,24+ Left,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,
23,PT10M07.00S,2023-11-21T01:13:24.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626181,94.95729303547962,19.11764705882353,1610612746,2,2,2023-11-21T01:14:39Z,230000,False,-154.0,-5.0,1,right,N. Powell 15' fadeaway Jump Shot (2 PTS) (T. Mann 1 AST),"[1626181, 1629611]",1610612746.0,LAC,fadeaway,,,Powell,N. Powell,,,,,Mid-Range,8-16 Left,15.45,Made,,,,,,,,,,2.0,T. Mann,1629611.0,1.0,,,,,
25,PT09M52.00S,2023-11-21T01:13:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631110,19.66162943495401,35.53921568627451,1610612759,2,2,2023-11-21T01:13:47Z,250000,False,72.0,132.0,1,left,MISS J. Sochan 15' pullup bank Shot,[1631110],1610612759.0,SAS,pullup bank,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,15.08,Missed,,,,,,,,,,,,,,,,,,
