actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-17T20:40:19.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T20:40:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-17T20:40:21.8Z,1,REGULAR,jumpball,recovered,[],1631103,,,1610612759,0,0,2023-12-17T20:40:21Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. J. Valanciunas: Tip to M. Branham,"[1631103, 1641705, 202685]",1610612759.0,SAS,startperiod,M. Branham,1631103.0,Branham,M. Branham,Wembanyama,1641705.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-12-17T20:40:44.5Z,1,REGULAR,2pt,Jump Shot,[],1631103,5.995400788436268,70.34313725490196,1610612759,2,0,2023-12-17T20:40:53Z,70000,False,-102.0,4.0,1,left,M. Branham 10' driving floating Jump Shot (2 PTS) (D. Vassell 1 AST),"[1631103, 1630170]",1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,Mid-Range,8-16 Left,10.18,Made,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
9,PT11M07.00S,2023-12-17T20:41:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,89.96386333771353,49.50980392156863,1610612740,2,0,2023-12-17T20:41:22Z,90000,False,-2.0,42.0,1,right,MISS H. Jones driving reverse Layup - blocked,"[1630529, 1641705]",1610612740.0,NOP,driving reverse,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,4.19,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,,,,
10,PT11M07.00S,2023-12-17T20:41:12.4Z,1,REGULAR,block,,[],1641705,,,1610612740,2,0,2023-12-17T20:42:02Z,100000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2023-12-17T20:41:12.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,2,0,2023-12-17T20:41:22Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,,,,,,,,,,,
13,PT11M04.00S,2023-12-17T20:41:30.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,90.48948751642575,82.35294117647058,1610612740,2,0,2023-12-17T20:42:20Z,130000,False,162.0,37.0,1,right,MISS B. Ingram 16' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right,16.6,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-12-17T20:41:33.4Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,2,0,2023-12-17T20:41:38Z,140000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M59.00S,2023-12-17T20:41:36.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631103,6.389618922470433,96.81372549019608,1610612759,2,0,2023-12-17T21:00:40Z,150000,False,-234.0,8.0,1,left,MISS M. Branham running 3PT,[1631103],1610612759.0,SAS,running,,,Branham,M. Branham,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2023-12-17T20:41:41.7Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,0,2023-12-17T20:41:43Z,160000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
